ITERATIONS,DeltaOmega,RewardMean,Wins,RewardStd,NormDeltaVar,NormDeltaOmega,TimestepsMean,Omega,TimestepsStd,ConfortViolation,Traj,ReturnsStd,OmegaBefore,ReturnsMean
16,-0.014552307977831802,7.152318542352617,1.6,0.7877157717397325,0.267089756523565,0.014552307977831802,84.46,7.298183938656393,35.181932863332,0,250,257.9476485687349,7.312736246634225,604.0848240871021
17,-0.044920262213422824,7.174306133607854,3.5999999999999996,0.7362570569627381,0.2730329245819494,0.044920262213422824,95.476,7.2532636764429705,39.1311822463876,0,250,287.58585736532154,7.298183938656393,684.9740524123434
18,-0.0390925526288477,7.228789981811769,12.0,0.6416871314783408,0.269776757394347,0.0390925526288477,117.136,7.214171123814123,48.179969946026326,0,250,356.46168096764575,7.2532636764429705,846.7515433095034
19,0.015556891870411427,7.289527200178745,24.0,0.54014411319241,0.27584619026170687,0.015556891870411427,145.616,7.229728015684534,47.8856611523742,0,250,356.91506975433043,7.214171123814123,1061.4717927812283
20,0.005137005158209362,7.2944053956445245,31.6,0.4864692536053795,0.2637530878996871,0.005137005158209362,162.34,7.234865020842744,39.79558266943707,0,250,296.75180154976255,7.229728015684534,1184.1737719289317
21,-0.011085160174926223,7.289436525387104,36.8,0.46691838771066024,0.23853452448636017,0.011085160174926223,164.172,7.223779860667817,39.91989999987475,0,250,296.65119909702446,7.234865020842744,1196.7213732458515
22,-0.027605603358976438,7.307054923281532,48.0,0.4165999627801502,0.2363577878684416,0.027605603358976438,172.6,7.196174257308841,34.901919717975396,0,250,260.95470561856223,7.223779860667817,1261.1976797583925
23,-0.03971188288022365,7.332469429112179,59.599999999999994,0.36470343231989855,0.2334498189326809,0.03971188288022365,180.16,7.156462374428617,32.510527525710806,0,250,243.7477054873279,7.196174257308841,1321.0176923488502
24,-0.0335432518935086,7.370595005199984,70.39999999999999,0.3139636305072167,0.23594158656366881,0.0335432518935086,184.572,7.122919122535109,32.300910451564675,0,250,242.82055764855707,7.156462374428617,1360.4054612997713
25,-0.002663384540634972,7.407456903996015,82.8,0.24317356733540096,0.2407187826627216,0.002663384540634972,192.7,7.120255737994474,23.206076790358164,0,250,176.1422319091775,7.122919122535109,1427.4169454000323
