NormDeltaOmega,ConfortViolation,ITERATIONS,TimestepsStd,OmegaBefore,RewardMean,TimestepsMean,NormDeltaVar,DeltaOmega,Traj,Omega,RewardStd,Wins,ReturnsMean,ReturnsStd
0.024287443458510083,0,455,0.0,6.536852834396799,7.846400332286553,201.0,0.06949433232043238,0.024287443458510083,250,6.561140277855309,0.06906627207631168,100.0,1577.126466789597,2.248451317423809
0.03335069283086245,0,456,0.0,6.561140277855309,7.8311162017244795,201.0,0.05580575813665807,0.03335069283086245,250,6.594490970686172,0.06960317004752369,100.0,1574.0543565466205,2.0858848689897744
0.02758568558435126,0,457,0.0,6.594490970686172,7.810253723120336,201.0,0.0783134618938982,0.02758568558435126,250,6.622076656270523,0.0696421570547905,100.0,1569.8609983471877,2.2851396273546207
0.03972516489513289,0,458,0.0,6.622076656270523,7.790147034156171,201.0,0.061209576842786266,0.03972516489513289,250,6.661801821165656,0.07031926191334728,100.0,1565.8195538653904,2.4061644066167904
0.03435860168206517,0,459,0.0,6.661801821165656,7.765224858053589,201.0,0.0359742813073186,0.03435860168206517,250,6.696160422847721,0.0698453363251176,100.0,1560.8101964687714,2.2017635607102553
0.0406536208957764,0,460,0.0,6.696160422847721,7.742088249619268,201.0,0.06578101155297864,0.0406536208957764,250,6.736814043743498,0.07002956481169438,100.0,1556.1597381734728,2.1970025419719077
0.030956741525169917,0,461,0.0,6.736814043743498,7.7146615953799325,201.0,0.07212499694962779,0.030956741525169917,250,6.7677707852686675,0.07043778369846354,100.0,1550.6469806713667,2.166873441205282
0.04206217819499258,0,462,0.0,6.7677707852686675,7.69318133013904,201.0,0.06242486854535919,0.04206217819499258,250,6.80983296346366,0.07056884421683164,100.0,1546.329447357947,1.9547580112675313
0.04462524526269096,0,463,0.0,6.80983296346366,7.665115308806269,201.0,0.05857095020047707,0.04462524526269096,250,6.854458208726351,0.0717818624167085,100.0,1540.6881770700597,2.4621720485681053
0.040257601759048356,0,464,0.0,6.854458208726351,7.635324722024518,201.0,0.03453839567601862,0.040257601759048356,250,6.894715810485399,0.07129078505831564,100.0,1534.700269126928,1.9534122659236928
0.017156144002623108,0,465,0.0,6.894715810485399,7.607220378485385,201.0,0.03168886946236933,0.017156144002623108,250,6.9118719544880225,0.07217800382196206,100.0,1529.0512960755627,2.1413236259407764
0.019440772133409112,0,466,0.0,6.9118719544880225,7.594702447199647,201.0,0.058611532180260786,0.019440772133409112,250,6.931312726621432,0.07256521338814939,100.0,1526.535191887129,2.375389595082258
0.005771002385935198,0,467,0.0,6.931312726621432,7.581889980988658,201.0,0.050410821568410154,0.005771002385935198,250,6.937083729007367,0.07246237877348717,100.0,1523.9598861787204,2.204861989859317
0.007762664111989892,0,468,0.0,6.937083729007367,7.57658382679268,201.0,0.05243791602129282,-0.007762664111989892,250,6.929321064895377,0.07340377806919249,100.0,1522.8933491853284,2.454125948146613
0.0017345517550690914,0,469,0.0,6.929321064895377,7.5824898734802,201.0,0.06752190825111808,0.0017345517550690914,250,6.931055616650446,0.07280132035894801,100.0,1524.08046456952,2.0823470766592
0.0008616724558319078,0,470,0.0,6.931055616650446,7.581766217195713,201.0,0.05592205670659474,0.0008616724558319078,250,6.931917289106278,0.07257795929429285,100.0,1523.935009656338,2.074089644893354
0.0010464378707748523,0,471,0.0,6.931917289106278,7.581795598418019,201.0,0.02693344804302742,-0.0010464378707748523,250,6.930870851235503,0.07228726698670325,100.0,1523.9409152820217,2.189375657138877
0.00752870390084226,0,472,0.0,6.930870851235503,7.58170066267206,201.0,0.04596597262795883,-0.00752870390084226,250,6.923342147334661,0.0725621252747106,100.0,1523.9218331970837,2.0493390606203823
0.0019597472509502722,0,473,6.438131405928276,6.923342147334661,7.58524518447385,200.592,0.07985761009044243,-0.0019597472509502722,250,6.9213824000837105,0.08065693215070317,99.6,1521.5395020439787,49.68906220870424
0.009952504026133902,0,474,0.0,6.9213824000837105,7.58729703133794,201.0,0.06886307383168691,0.009952504026133902,250,6.931334904109844,0.07274398759136182,100.0,1525.0467032989256,2.104511007572728
0.00870187083382401,0,475,0.0,6.931334904109844,7.580365679821494,201.0,0.09001753299276635,0.00870187083382401,250,6.940036774943668,0.07309991600947308,100.0,1523.6535016441203,2.15441967877613
0.004636787170432477,0,476,0.0,6.940036774943668,7.575509453647919,201.0,0.05915317137482277,0.004636787170432477,250,6.944673562114101,0.07217245617374143,100.0,1522.6774001832318,1.9913197360598291
0.0013555348522977795,0,477,0.0,6.944673562114101,7.571395221796669,201.0,0.046219640589288,0.0013555348522977795,250,6.946029096966399,0.07335252543548045,100.0,1521.8504395811303,2.1671054721631404
0.004577330707456362,0,478,0.0,6.946029096966399,7.5703566714382795,201.0,0.027617038823187508,0.004577330707456362,250,6.950606427673855,0.07295625914507431,100.0,1521.6416909590944,2.1980629422185998
0.00846866043746175,0,479,0.0,6.950606427673855,7.567391713239015,201.0,0.055872349075180065,0.00846866043746175,250,6.959075088111317,0.07290980736560507,100.0,1521.045734361042,2.135162969337774
0.0052601802697038735,0,480,0.0,6.959075088111317,7.560790867869029,201.0,0.04596321850284932,0.0052601802697038735,250,6.964335268381021,0.07378425442603741,100.0,1519.7189644416749,2.4352417779123554
0.003808589386401273,0,481,0.0,6.964335268381021,7.55729847425689,201.0,0.05141259060958224,0.003808589386401273,250,6.968143857767422,0.07290105542770858,100.0,1519.0169933256352,2.2401401269018906
0.00706574536932969,0,482,0.0,6.968143857767422,7.5558194602966156,201.0,0.042622511628668716,-0.00706574536932969,250,6.961078112398092,0.07286238170780936,100.0,1518.71971151962,2.1804537208159913
0.010493996544639117,0,483,0.0,6.961078112398092,7.559549865499299,201.0,0.08578751050002209,0.010493996544639117,250,6.971572108942731,0.07295592196881204,100.0,1519.4695229653594,2.122828310819016
0.006123561905963193,0,484,0.0,6.971572108942731,7.553616228661625,201.0,0.10682825208919466,0.006123561905963193,250,6.977695670848695,0.07244710738032706,100.0,1518.2768619609867,2.2153312207260014
0.0036174494484360054,0,485,0.0,6.977695670848695,7.548986603169322,201.0,0.08943325911504114,-0.0036174494484360054,250,6.974078221400259,0.07316801576869614,100.0,1517.3463072370337,2.1606651882884895
0.016559950318321803,0,486,0.0,6.974078221400259,7.552482209488851,201.0,0.07430196631368648,-0.016559950318321803,250,6.957518271081937,0.07235822010691668,100.0,1518.0489241072587,2.0404051379107324
