RewardStd,DualReg,Primal,ITERATIONS,Eta,DeltaOmega,WeightMedian,WeightMean,LossReg,TimestepsStd,Traj,DualAfter,Omega,WeightMax,TimestepsMean,NormDeltaOmega,ReturnsMean,ConfortViolation,Epsilon,ReturnsStd,OmegaBefore,Wins,DualBefore,RewardMean,WeightMin,NormDeltaVar
2.9842212422003835,0.0,7.962627674878856,10,1.0206578526496353,[[-0.00052527]],0.0027988083494385756,0.00039442480041545586,0.0,0.0,100,7.962627474026653,[[0.99855223]],1.0,500.0,0.0005252747800895685,1485.030303030303,0,1.3601,75.95392736209467,[[0.9990775]],0.0,7.962672541380019,2.97424,0.00039442480041545586,6.446046991973176
2.985419977155643,0.0,7.9629499703250595,11,1.0194321965282072,[[1.78182513e-05]],0.002779096803625318,0.0003907253296817645,0.0,0.0,100,7.962949823812974,[[0.99857005]],1.0,500.0,1.7818251262680107e-05,1486.989898989899,0,1.3601,76.1255601494702,[[0.99855223]],0.0,7.9629895499124155,2.9734,0.0003907253296817645,0.17716544258175304
2.987136983802383,0.0,7.962937180065692,12,1.0198143663131811,[[1.04412589e-05]],0.0027852331636380144,0.0003918760695902971,0.0,0.0,100,7.962937017993409,[[0.99858049]],1.0,500.0,1.0441258913918006e-05,1485.1313131313132,0,1.3601,80.48246517910587,[[0.99857005]],0.0,7.962978283542563,2.9708,0.0003918760695902971,0.10484384638434108
3.0146959472557096,0.0,7.992129704905586,13,0.8149817165453614,[[0.00110926]],0.0006348458465606472,5.456209575947624e-05,0.0,0.0,100,7.992130179143218,[[0.99968975]],1.0,500.0,0.0011092638181970926,1511.6363636363637,0,1.3601,78.40344438752271,[[0.99858049]],0.0,7.994214281150258,3.02384,5.456209575947624e-05,21.740128995951082
2.994380635523813,0.0,7.97106512226974,14,0.9811800873402992,[[-0.00080288]],0.002209287148733657,0.00028774175517992553,0.0,0.0,100,7.971065211585609,[[0.99888688]],1.0,500.0,0.0008028772356134528,1492.888888888889,0,1.3601,82.7605635954965,[[0.99968975]],0.0,7.971099173555278,2.98436,0.00028774175517992553,18.262294683178254
2.9998920247235565,0.0,7.979557130378612,15,0.9307488442245734,[[0.00031233]],0.0015861871093920646,0.00018498615329126723,0.0,0.0,100,7.979557764900438,[[0.9991992]],1.0,500.0,0.00031232730805497155,1500.6868686868686,0,1.3601,83.61004319170101,[[0.99888688]],0.0,7.9799637684345175,3.0028,0.00018498615329126723,4.709017105596118
2.9998383732461322,0.0,7.97963161885025,16,0.9302271117482299,[[2.57911873e-06]],0.0015804624828078002,0.00018409652377245354,0.0,0.0,100,7.979632287815479,[[0.99920178]],1.0,500.0,2.5791187314716524e-06,1501.4747474747476,0,1.3601,78.6705627481973,[[0.9991992]],0.0,7.980043929054809,3.00312,0.00018409652377245354,0.04612098288085065
2.9925599647124868,0.0,7.971941936896588,17,0.9760918512754013,[[-0.00029544]],0.002139972086983481,0.0002757681748673994,0.0,0.0,100,7.9719422184159825,[[0.99890634]],1.0,500.0,0.0002954447859173648,1493.5151515151515,0,1.3601,82.14404244877122,[[0.99920178]],0.0,7.971996505175518,2.98976,0.0002757681748673994,4.50288195783142
3.0063527138378157,0.0,7.986311580942585,18,0.878456017640617,[[0.00055311]],0.0010806792318797615,0.00011089936869701741,0.0,0.0,100,7.986312008592873,[[0.99945945]],1.0,500.0,0.0005531094131824288,1509.3131313131314,0,1.3601,81.84743709415552,[[0.99890634]],0.0,7.98739785002941,3.0156,0.00011089936869701741,10.07497205116887
2.9966039741013493,0.0,7.975028554094819,19,0.9591466074995181,[[-0.00042905]],0.0019197488973812453,0.00023859384487261712,0.0,0.0,100,7.975032025745287,[[0.99903039]],1.0,500.0,0.0004290549678568345,1495.7777777777778,0,1.3601,79.94386358160742,[[0.99945945]],0.0,7.975183943008742,2.99332,0.00023859384487261712,8.353262312167757
