OmegaBefore,ConfortViolation,WeightMax,RewardMean,Omega,DeltaOmega,Wins,ReturnsMean,Epsilon,ITERATIONS,NormDeltaVar,WeightMean,Primal,Traj,WeightMedian,DualBefore,TimestepsStd,DualAfter,TimestepsMean,LossReg,Eta,NormDeltaOmega,DualReg,WeightMin,RewardStd,ReturnsStd
[[0.99999999]],0,1.0,2.97568,[[0.99999999]],[[0.]],0.0,1486.6666666666667,1.4401,10,0.0,1.1894133350861652e-251,8.000000000000343,100,6.40471195295973e-189,8.045560906217297,0.0,8.000556526450781,500.0,0.0,0.013846210872931529,0.0,0.0,1.1894133350861652e-251,2.989054789996329,82.9379712237228
[[0.99999999]],0,1.0,2.99064,[[0.99999999]],[[0.]],0.0,1495.4747474747476,1.4401,11,0.0,1.2342786899006223e-261,8.000000000000425,100,2.082379708295865e-196,8.051682511378761,0.0,8.000617051712402,500.0,0.0,0.013316372213921408,0.0,0.0,1.2342786899006223e-261,2.9913328785676794,84.45168882946244
[[0.99999999]],0,1.0,3.02308,[[0.99999999]],[[0.]],0.0,1512.141414141414,1.4401,12,0.0,0.0,7.999999999999614,100,9.547935163801582e-290,8.075298099520483,0.0,8.00063247499498,500.0,0.0,0.009015867673980682,0.0,0.0,0.0,3.0174338954813913,74.46523290188192
[[0.99999999]],0,1.0,2.95012,[[0.99999999]],[[0.]],0.0,1475.3333333333333,1.4401,13,0.0,1.4099860121202344e-218,8.00000000000055,100,4.0917689570693974e-164,8.030467569659738,0.0,8.0003986214026,500.0,0.0,0.015948328357429167,0.0,0.0,1.4099860121202344e-218,2.975942201320449,71.25824425101543
[[0.99999999]],0,1.0,3.00896,[[0.99999999]],[[0.]],0.0,1504.4040404040404,1.4401,14,0.0,7.833314786004401e-280,8.000000000000158,100,4.682299444462669e-210,8.064863621787083,0.0,8.000742266796328,500.0,0.0,0.012448156534750355,0.0,0.0,7.833314786004401e-280,3.0056878943762606,78.34963327406317
[[0.99999999]],0,1.0,2.98212,[[0.99999999]],[[0.]],0.0,1491.2323232323233,1.4401,15,0.0,1.1121823283214187e-259,7.999999999999827,100,6.090206138130699e-195,8.050294199797733,0.0,8.000603313289652,500.0,0.0,0.01341689341144708,0.0,0.0,1.1121823283214187e-259,2.9942612286839636,76.27261423657498
[[0.99999999]],0,1.0,2.98936,[[0.99999999]],[[0.]],0.0,1495.3333333333333,1.4401,16,0.0,1.138409653225218e-265,8.000000000000357,100,1.9598549370586466e-199,8.054216386360894,0.0,8.000641432780103,500.0,0.0,0.0131135627549173,0.0,0.0,1.138409653225218e-265,2.997313261973129,73.85161207489384
[[0.99999999]],0,1.0,2.99728,[[0.99999999]],[[0.]],0.0,1497.858585858586,1.4401,17,0.0,2.0451150134505873e-268,7.9999999999995905,100,1.7101661369512966e-201,8.056229662872516,0.0,8.000660913106252,500.0,0.0,0.01297906223907671,0.0,0.0,2.0451150134505873e-268,2.9960494991905593,82.10131830054297
[[0.99999999]],0,1.0,3.0178,[[0.99999999]],[[0.]],0.0,1509.1515151515152,1.4401,18,0.0,2.4514575208404746e-285,7.999999999999602,100,3.483920843930873e-214,8.069594811623032,0.0,8.000786027718924,500.0,0.0,0.012207402509767814,0.0,0.0,2.4514575208404746e-285,3.009345968811164,90.04828823956642
[[0.99999999]],0,1.0,3.0044,[[0.99999999]],[[0.]],0.0,1501.858585858586,1.4401,19,0.0,6.568998331092473e-275,7.999999999999816,100,2.307407838550163e-206,8.06099446064787,0.0,8.000706114735195,500.0,0.0,0.012671690733268851,0.0,0.0,6.568998331092473e-275,3.0009033040069784,72.52516248833778
