NormDeltaOmega,ITERATIONS,ReturnsMean,ReturnsStd,RewardMean,Eta,ConfortViolation,DualAfter,DeltaOmega,DualReg,TimestepsStd,WeightMin,RewardStd,WeightMax,WeightMean,Primal,WeightMedian,LossReg,NormDeltaVar,Wins,Epsilon,Traj,TimestepsMean,Omega,DualBefore,OmegaBefore
0.004152867590682341,508,1510.638380103232,48.403476492156564,7.527359805739191,1.747289445132717,0,7.530945597889918,-0.004152867590682341,0.0,6.357461185842638,0.011152833273713147,0.08469052927084174,1.0,0.011152833273713147,7.530946882822431,0.8297366264048611,0.0,0.022230118863791046,99.60079840319361,0.001,501,200.6841046277666,6.995852677261134,7.531491654192153,7.000005544851816
0.003909747022222909,509,1508.2542799319895,64.19181725553487,7.528894257584994,1.788290198421441,0,7.532686613007785,-0.003909747022222909,0.0,8.405629205783674,0.012354738424709936,0.09481548949630983,1.0,0.012354738424709936,7.532689536334313,0.8339354622092687,0.0,0.07993915390780618,99.00398406374502,0.001,502,200.3293172690763,6.991942930238911,7.533278682363715,6.995852677261134
0.0038118595548608525,510,1507.58034915458,68.75297902385819,7.532241516718509,1.7903292597592397,0,7.536038267637871,-0.0038118595548608525,0.0,9.006658048096172,0.012193991467313606,0.09491776227362303,1.0,0.012193991467313606,7.536041301593418,0.820656799686317,0.0,0.10530037576934098,99.00398406374502,0.001,502,200.15060240963857,6.98813107068405,7.536633439438372,6.991942930238911
0.0038871194527487773,511,1510.6783919415382,61.40840516282497,7.534698621799991,1.756602054206338,0,7.538305286771092,-0.0038871194527487773,0.0,8.06141384673586,0.011427045106352214,0.08518074323081819,1.0,0.011427045106352214,7.538306852279788,0.8346124689710424,0.0,0.02284710368002344,99.60079840319361,0.001,501,200.4949698189135,6.984243951231301,7.538864140196103,6.98813107068405
0.004310482089475265,512,1511.1913944694095,57.279653830088414,7.5387464046865205,1.746748098490663,0,7.542373545091604,-0.004310482089475265,0.0,7.497191951791432,0.011267747303804341,0.08766557292817978,1.0,0.011267747303804341,7.542374824144403,0.8450887692374436,0.0,0.022245182266037104,99.40119760479041,0.001,501,200.45674044265593,6.979933469141826,7.542913735078481,6.984243951231301
0.004337596061787963,513,1515.113199278361,15.306418357222451,7.540988759784464,1.7600256690068583,0,7.544561335482383,-0.004337596061787963,0.0,1.9288096871680251,0.011532258263305943,0.08231940548184348,1.0,0.011532258263305943,7.544563004929454,0.8383883488019478,0.0,0.023858243803586258,99.8,0.001,500,200.9133064516129,6.975595873080038,7.545130077352844,6.979933469141826
0.004020685737856411,514,1507.9732264260513,89.46087278481373,7.544600098220039,1.7607158202095103,0,7.548339339568898,-0.004020685737856411,0.0,11.720722839233124,0.011639263213032516,0.093867341465707,1.0,0.011639263213032516,7.548341068745229,0.8464427853801564,0.0,0.05179991706259385,99.00596421471172,0.001,503,199.875751503006,6.971575187342181,7.5488895879203,6.975595873080038
0.004445294123240018,515,1517.2584213246212,2.324655618561402,7.548586982785284,1.7230890438633644,0,7.552041186647399,-0.004445294123240018,0.0,0.0,0.5961486160741252,0.0774192831103487,1.0,0.5961486160741252,7.552041270018555,0.8319833896390642,0.0,0.006889054793987569,100.0,0.001,500,201.0,6.967129893218941,7.552560113121103,6.971575187342181
0.004250134989075782,516,1515.4875298847942,31.1479696696831,7.549289700669063,1.7568741796015448,0,7.55289731996913,-0.004250134989075782,0.0,4.01056868289894,0.011391488081023094,0.08522470624451621,1.0,0.011391488081023094,7.552898894621655,0.8385582336596452,0.0,0.15386462063625192,99.6,0.001,500,200.7459677419355,6.962879758229866,7.553456504114688,6.967129893218941
0.0041853308740638084,517,1515.8719767051784,47.21005499339568,7.554440745420381,1.7446045918928959,0,7.558064341316654,-0.0041853308740638084,0.0,6.171240350045353,0.011192403928736617,0.0876274363277144,1.0,0.011192403928736617,7.558065564984421,0.851490144241293,0.0,0.03932412257644523,99.40119760479041,0.001,501,200.6579476861167,6.958694427355802,7.558601188823014,6.962879758229866
0.0042442435634484355,518,1515.2995428317688,44.79424718014028,7.556875657384441,1.7575883240422872,0,7.560608882543656,-0.0042442435634484355,0.0,5.7958895311985055,0.011402711622644729,0.09379828765190226,1.0,0.011402711622644729,7.560610501586993,0.8413854266086049,0.0,0.033352990728806195,99.0,0.001,500,200.5201612903226,6.954450183792353,7.561154986158295,6.958694427355802
0.004352221288587366,519,1506.894961941968,99.70202866674957,7.558471985935344,1.8176778052368265,0,7.562527693635554,-0.004352221288587366,0.0,13.015126750385043,0.013082004178162032,0.10843208800285024,1.0,0.013082004178162032,7.562532752455516,0.838528664867965,0.0,0.005649573987530353,98.01980198019803,0.001,505,199.36526946107784,6.950097962503766,7.563137874088577,6.954450183792353
0.003521603165012266,520,1514.1330024587878,78.59233573735808,7.562167176091317,1.7382643781691258,0,7.565778045593079,-0.003521603165012266,0.0,10.2920029044448,0.010605388446587774,0.08738052679915081,1.0,0.010605388446587774,7.565779112223957,0.8231681781749152,0.0,0.02291123184634151,99.40239043824701,0.001,502,200.22489959839356,6.946576359338754,7.566305873103937,6.950097962503766
0.004385032596795568,521,1518.0635390612242,40.85120389089033,7.565830450044657,1.7258747721848593,0,7.5694169826015365,-0.004385032596795568,0.0,5.281119059666475,0.010609398163670996,0.08690930108206162,1.0,0.010609398163670996,7.569417791094211,0.851512371321554,0.0,0.14202138785353652,99.4,0.001,500,200.6451612903226,6.942191326741958,7.569927129479156,6.946576359338754
0.0037534812448942745,522,1517.5722130576125,56.584790906124375,7.567699820128168,1.7457655271560526,0,7.571285525021163,-0.0037534812448942745,0.0,7.36100830649181,0.011176014994752854,0.08479711272160462,1.0,0.011176014994752854,7.5712867763123315,0.8544440073621002,0.0,0.09984220550706112,99.6,0.001,500,200.53225806451613,6.938437845497064,7.571828231399745,6.942191326741958
0.004021295377906853,523,1518.68188842832,46.29954288883383,7.570720963228779,1.7483378085134913,0,7.57435379431242,-0.004021295377906853,0.0,5.997506080183816,0.010988742187020527,0.0878817579975379,1.0,0.010988742187020527,7.574355121922544,0.8362085023566627,0.0,0.05471048746714782,99.4,0.001,500,200.59879032258064,6.934416550119157,7.574895507476624,6.938437845497064
