Wins,TimestepsMean,Traj,LossReg,WeightMin,ReturnsMean,DualReg,Eta,TimestepsStd,WeightMedian,DualAfter,Omega,WeightMean,RewardStd,ReturnsStd,Primal,DeltaOmega,ConfortViolation,Epsilon,ITERATIONS,NormDeltaOmega,OmegaBefore,DualBefore,NormDeltaVar,WeightMax,RewardMean
0.0,13.948381696428571,3585,0.0,0.651517159417509,88.73778972267903,0.0001,16.877976032975095,5.12999132525241,0.978573077614926,6.4902992018326735,7.7848623631974805,0.651517159417509,1.7727224972691067,35.51091491267421,6.518784870823046,-0.04325710069786215,0,0.001,298,0.04325710069786215,7.828119463895343,6.788670593177999,0.2136237462710808,1.0,6.361820235021904
0.0,15.794944707740916,3166,0.0,0.6307369226848659,114.31360110186687,0.0001,17.487975867539458,5.895239172599873,0.9821420890924208,7.375068259861017,6.5830977258487176,0.6307369226848659,1.88561780371426,45.962297520874316,7.405650572406315,-0.037585814875834345,0,0.001,328,0.037585814875834345,6.620683540724552,7.670073254827959,0.5057928755920195,1.0,7.237330111644433
0.0,17.45495810055866,2865,0.0,0.6137855192863764,137.59165245117484,0.0001,17.766952936396486,6.266269037623243,0.9839375073829403,8.025110715586104,5.547032761711924,0.6137855192863764,1.9469640590884998,52.84458106461824,8.056676238184842,-0.03215508959672686,0,0.001,358,0.03215508959672686,5.579187851308651,8.311006506627692,0.3790362876676175,1.0,7.882589138514256
0.0,19.252599152868694,2598,0.0,0.5985707204873206,161.0905009993198,0.0001,17.744512616946903,6.927544452627761,0.9857661243668939,8.510293858468023,4.650050994337092,0.5985707204873206,1.9618110653442902,61.64371048745253,8.541779978776741,-0.028424877757585065,0,0.001,388,0.028424877757585065,4.678475872094677,8.7799684531517,0.4036966055066618,1.0,8.36717945051219
0.0,21.023549201009253,2379,0.0,0.5866134565211986,183.3836670808989,0.0001,17.57977718779734,7.4679770867474415,0.9893733640308116,8.864349397273523,3.8788209235176394,0.5866134565211986,1.952529263693102,68.91847930255328,8.895253296077405,-0.02344915148447102,0,0.001,418,0.02344915148447102,3.9022700750021104,9.116990215902764,0.19465791562710116,1.0,8.722737506777916
0.0,22.439856373429084,2229,0.0,0.5771356927896955,201.37412128272268,0.0001,17.428126639812827,7.789618740541669,0.9912491658368945,9.114022219293789,3.227353926300685,0.5771356927896955,1.941205239367836,73.72920537371392,9.144395192203346,-0.020216971644602566,0,0.001,448,0.020216971644602566,3.2475708979452875,9.354013798784367,0.21368363232923065,1.0,8.973922993963813
0.0,24.526987242394505,2039,0.0,0.5645669254224561,224.87076559716124,0.0001,17.02050173114635,9.20788201051482,0.9920462867425096,9.303439329934042,2.6830240501689526,0.5645669254224561,1.8933312249216807,88.66456234641151,9.332407968115936,-0.016570624820861024,0,0.001,478,0.016570624820861024,2.6995946749898136,9.52312919101278,0.1804559451356221,1.0,9.168223496065403
0.0,25.957943925233646,1927,0.0,0.5566013426507455,241.3621601674423,0.0001,16.766321219512328,9.101584124266653,0.9932587447779028,9.430423647701106,2.2273371373705646,0.5566013426507455,1.8642240507897678,88.66095008643983,9.458551925498325,-0.014161991067453972,0,0.001,508,0.014161991067453972,2.2414991284380186,9.638126080292611,0.13216938274746168,1.0,9.298172015728213
0.0,27.7210205213533,1804,0.0,0.5475027317318029,260.538453212532,0.0001,16.417103544948862,9.938264045973975,0.9940571014632318,9.526658049930536,1.844291271567061,0.5475027317318029,1.8211270959908028,97.61813009782503,9.553609484564744,-0.01261630254969237,0,0.001,538,0.01261630254969237,1.8569075741167533,9.720146147074324,0.13267801931192177,1.0,9.398612437906847
0.0,29.203855140186917,1713,0.0,0.5401198815150118,276.58216606435775,0.0001,16.134840667942978,9.869470963557822,0.994489639888107,9.595388069620812,1.5195571832763468,0.5401198815150118,1.7864101239205985,97.49129379906294,9.621420422596238,-0.01003207234567105,0,0.001,568,0.01003207234567105,1.5295892556220179,9.778112260849348,0.6503434012274372,1.0,9.470690997010099
