ReturnsMean,WeightMean,WeightMax,Eta,DualReg,OmegaBefore,Traj,Wins,ReturnsStd,TimestepsMean,NormDeltaOmega,WeightMin,ITERATIONS,DualBefore,DualAfter,ConfortViolation,LossReg,TimestepsStd,Omega,Epsilon,WeightMedian,RewardStd,DeltaOmega,NormDeltaVar,Primal,RewardMean
1936.712587095411,5.496147086819253e-05,1.0,1.0000631757989202,0.0001,2.325244508614654,251,93.62549800796812,82.05077527290264,199.48,0.006277216670952157,5.496147086819253e-05,1468,9.713582566467094,9.713582562480628,0,0.0,8.116748117318906,2.318967291943702,0.001,0.9119116855053981,0.17813828290721723,-0.006277216670952157,0.004023421351147529,9.7134456475069,9.708826943100592
1941.0781142286285,5.468700879710261e-05,1.0,0.9999617137091213,0.0001,2.318967291943702,251,94.82071713147411,73.99377541819887,199.876,0.006369712020702689,5.468700879710261e-05,1469,9.715643836076774,9.715643834612457,0,0.0,7.311677235764718,2.312597579922999,0.001,0.9097306888860268,0.1611001483331725,-0.006369712020702689,0.0784775083590322,9.715405600384418,9.71145806313613
1944.208278500089,5.417464608558622e-05,1.0,0.9999805494810887,0.0001,2.312597579922999,250,95.19999999999999,53.7509538726586,200.18072289156626,0.006360004541324571,5.417464608558622e-05,1470,9.716356694861005,9.7163566944831,0,0.0,5.2045961576451605,2.3062375753816746,0.001,0.9022257945309147,0.1556108433860637,-0.006360004541324571,0.08172731411790782,9.716137271836718,9.71229959211001
1943.6980328626912,5.415243969702045e-05,1.0,0.9999008498714284,0.0001,2.3062375753816746,250,95.6,75.95762314062097,200.06827309236948,0.005304859461805922,5.415243969702045e-05,1471,9.719001251462789,9.719001241641498,0,0.0,7.598837196352184,2.3009327159198687,0.001,0.9044184181848668,0.1490351554265848,-0.005304859461805922,0.06160586985280461,9.71870222267278,9.71518171117002
1943.0665274593925,5.420121385387004e-05,1.0,1.0000218577425557,0.0001,2.3009327159198687,250,94.39999999999999,65.08811508705139,200.00401606425703,0.006373991733103157,5.420121385387004e-05,1472,9.71956621368156,9.719566213204342,0,0.0,6.466781346207834,2.2945587241867655,0.001,0.9052619123708618,0.1674175941438335,-0.006373991733103157,0.2073619514969472,9.719388039586763,9.715156345744049
1944.88324410083,5.383241450737397e-05,1.0,0.9998864050209089,0.0001,2.2945587241867655,250,96.0,65.74289512641982,200.14457831325302,0.005462524652450007,5.383241450737397e-05,1473,9.72099748660591,9.720997473714414,0,0.0,6.567779199802701,2.2890961995343155,0.001,0.9011518614766187,0.14258029144608578,-0.005462524652450007,0.030213705075662463,9.720684030595732,9.71734853395918
1943.398894933091,5.446994462500745e-05,1.0,0.9998919954199126,0.0001,2.2890961995343155,251,95.2191235059761,63.36571358462542,199.956,0.006542519232271893,5.446994462500745e-05,1474,9.723142474581762,9.723142462927573,0,0.0,6.1982307152928735,2.2825536803020436,0.001,0.9134615940824808,0.15487080203160955,-0.006542519232271893,0.21691598974165402,9.722834595195538,9.71918275487279
1941.5051501572545,5.423706854818978e-05,1.0,0.9999193462040193,0.0001,2.2825536803020436,251,95.61752988047809,102.13453076065943,199.744,0.005970202415135795,5.423706854818978e-05,1475,9.72385496885657,9.723854962358036,0,0.0,10.299439984775871,2.276583477886908,0.001,0.9104199501177619,0.14906958008596236,-0.005970202415135795,0.02889547458325236,9.723574418270209,9.720019642119794
1948.2820776144742,2.182128326917522e-05,1.0,0.9155041239839579,0.0001,2.276583477886908,250,96.39999999999999,53.77310008550513,200.3734939759036,0.006514862923998166,2.182128326917522e-05,1476,9.72665111062406,9.726642261561537,0,0.0,5.328662008060602,2.2700686149629097,0.001,0.90017730795605,0.13528832026722906,-0.006514862923998166,0.506852173746848,9.726365169308005,9.723243952035402
1947.0579434183596,2.407772630505741e-05,1.0,0.9234460634426505,0.0001,2.2700686149629097,250,94.8,46.92930753663352,200.23694779116465,0.006047841686639632,2.407772630505741e-05,1477,9.727804444065871,9.727797664425228,0,0.0,4.541208055539841,2.26402077327627,0.001,0.9075172736773733,0.1604762713016517,-0.006047841686639632,0.01543932810726668,9.727529058761831,9.72375434976737
