ITERATIONS,WeightMax,WeightMedian,Omega,OmegaBefore,ConfortViolation,Primal,ReturnsMean,ReturnsStd,RewardMean,Wins,DualReg,DualBefore,NormDeltaOmega,DeltaOmega,RewardStd,Eta,TimestepsMean,DualAfter,WeightMin,TimestepsStd,NormDeltaVar,WeightMean,Traj,LossReg,Epsilon
254,1.0,0.8507037274993057,5.806240794420708,5.820653382551307,0,8.277455311039517,1646.0723813269574,103.17045796900423,8.272416666028327,96.42857142857143,0.0001,8.277783174181048,0.014412588130599424,-0.014412588130599424,0.1346209645277973,1.6082304421195301,198.9840637450199,8.27731258665443,0.004939969739508179,12.2734345737035,0.035605518060991166,0.004939969739508179,252,0.0,0.001
255,1.0,0.8621083048995368,5.793255484546582,5.806240794420708,0,8.284962872088226,1624.3258422721672,162.79234787090826,8.278417486340045,92.15686274509804,0.0001,8.285362540188343,0.012985309874125939,-0.012985309874125939,0.18215570337956313,1.7414462700007456,196.21259842519686,8.284756074363061,0.007390773063641055,19.36171639478596,0.4239043288367439,0.007390773063641055,255,0.0,0.001
256,1.0,0.8679078178896596,5.780639845145351,5.793255484546582,0,8.292274133559571,1626.5503540035804,196.97209969507895,8.286066468782588,93.33333333333333,0.0001,8.29267922511313,0.012615639401230894,-0.012615639401230894,0.17128092176766374,1.724854168348906,196.29527559055117,8.29207584390833,0.007073893423051091,23.53777783806218,0.02392491410614066,0.007073893423051091,255,0.0,0.001
257,1.0,0.8584280601021136,5.766658350903284,5.780639845145351,0,8.300708050260807,1648.235658280959,95.34616797109237,8.295254697131218,95.23809523809523,0.0001,8.301052168527976,0.013981494242067072,-0.013981494242067072,0.14938016855861888,1.6410827459328945,198.69721115537848,8.300550015008056,0.0054462572470094575,11.224082682472682,0.3177238377576019,0.0054462572470094575,252,0.0,0.001
258,1.0,0.8498943950853541,5.7531094624991015,5.766658350903284,0,8.310285071772311,1640.1676421507138,160.99580253724494,8.30504954350136,95.66929133858267,0.0001,8.310595076497126,0.013548888404182335,-0.013548888404182335,0.14395557137864495,1.604110018890358,197.4901185770751,8.310144270187767,0.004771127587642299,19.167993053354575,0.027514859940187306,0.004771127587642299,254,0.0,0.001
259,1.0,0.846243333788576,5.741041426570311,5.7531094624991015,0,8.317180125160776,1648.9064522050583,125.30822288484563,8.311619053951787,94.86166007905138,0.0001,8.317518562183295,0.012068035928790799,-0.012068035928790799,0.15372699372090162,1.6426759443130259,198.38492063492063,8.317021350157123,0.005341594107746824,14.821378636153955,0.016559864305611537,0.005341594107746824,253,0.0,0.001
260,1.0,0.8548819218392809,5.72949918527907,5.741041426570311,0,8.324028255045087,1646.640106555149,141.86146875308938,8.318547473591876,94.86166007905138,0.0001,8.324338513027719,0.011542241291240707,-0.011542241291240707,0.15311014139555046,1.616259518885814,197.9484126984127,8.323881776678373,0.0049500470979932515,16.829482039992858,0.007370858401847804,0.0049500470979932515,253,0.0,0.001
261,1.0,0.8635558259990634,5.716953963717722,5.72949918527907,0,8.331635510280877,1662.1156113254292,82.84429885626888,8.326605649495248,96.01593625498009,0.0001,8.331920539257421,0.012545221561348185,-0.012545221561348185,0.13872675859520905,1.5724335875460849,199.616,8.331513791616063,0.0043096903016617005,9.771619313092382,0.05439750360888637,0.0043096903016617005,251,0.0,0.001
262,1.0,0.8607715179571526,5.704423437027168,5.716953963717722,0,8.338270732531997,1650.8020106021283,154.4258226501528,8.333456340670972,96.83794466403161,0.0001,8.3385635068359,0.012530526690554211,-0.012530526690554211,0.12913106094918564,1.569113666226167,198.09126984126985,8.33815035390093,0.004229759883933442,18.33299791832251,0.02166823936970499,0.004229759883933442,253,0.0,0.001
263,1.0,0.8627273924512906,5.691230387437565,5.704423437027168,0,8.346723645780525,1655.3673577226027,131.54649148089626,8.341652468062964,96.03174603174604,0.0001,8.347020039208667,0.013193049589602879,-0.013193049589602879,0.1393823775645879,1.583943953773504,198.44621513944224,8.346597257831569,0.004433309034165181,15.570943404415669,0.5642142720033614,0.004433309034165181,252,0.0,0.001
264,1.0,0.843568143737296,5.6787335171442495,5.691230387437565,0,8.353905938437297,1670.3144395763495,68.89894453608647,8.349465706977723,97.6,0.0001,8.35415807649509,0.012496870293315254,-0.012496870293315254,0.11694966558409947,1.5168018039176558,200.05220883534136,8.35380774947963,0.003416625588123054,8.08596416058017,0.046217664612011204,0.003416625588123054,250,0.0,0.001
265,1.0,0.8550565263223856,5.665953690251044,5.6787335171442495,0,8.361208704557152,1671.3495285392114,59.304121186104105,8.356640232366061,97.2,0.0001,8.361461380602845,0.01277982689320556,-0.01277982689320556,0.12270047801589772,1.5229690526247077,200.00401606425703,8.361107824196262,0.0035232391628298027,6.893625477543841,0.0511865785608749,0.0035232391628298027,250,0.0,0.001
266,1.0,0.8648719604384549,5.653871700584783,5.665953690251044,0,8.367114023171682,1657.7254046031885,136.2777808616161,8.361803401280788,95.25691699604744,0.0001,8.367409422375262,0.012081989666261173,-0.012081989666261173,0.14874607409050394,1.594509455456367,198.25,8.366983396825372,0.00454277129449771,16.064262070603053,0.02360564570232488,0.00454277129449771,253,0.0,0.001
267,1.0,0.8436860735679004,5.6417815722416185,5.653871700584783,0,8.373900960906555,1660.961302715367,113.8224263311084,8.368221151977895,94.44444444444444,0.0001,8.374230631439268,0.012090128343164253,-0.012090128343164253,0.15880136001591777,1.6419204140440042,198.48605577689244,8.373742536359318,0.005132518397892222,13.379341451289585,0.16789562927590748,0.005132518397892222,252,0.0,0.001
268,1.0,0.8578241285590584,5.630713768435784,5.6417815722416185,0,8.380393861604887,1658.8755058230408,154.0699615333373,8.375151965738956,95.65217391304348,0.0001,8.380705312462718,0.011067803805834053,-0.011067803805834053,0.14488127326364586,1.6042103589570886,198.07142857142858,8.38025929639311,0.004610171293153197,18.19501003084845,0.027907864595368457,0.004610171293153197,253,0.0,0.001
269,1.0,0.8699503655656444,5.6210106145719925,5.630713768435784,0,8.384590063061783,1664.1477836253794,149.08553804410272,8.379074863636067,95.23809523809523,0.0001,8.384947812092763,0.009703153863791947,-0.009703153863791947,0.1509457651595403,1.6537543899283607,198.60956175298804,8.384426151620714,0.005451855100018545,17.628044598923747,0.037815924226105795,0.005451855100018545,252,0.0,0.001
270,1.0,0.8738165629858217,5.610923221864143,5.6210106145719925,0,8.38972699502891,1657.3041395004652,129.73901047489755,8.38356054748541,93.2806324110672,0.0001,8.390101226551414,0.010087392707849752,-0.010087392707849752,0.17228568595356528,1.7006032031829361,197.68650793650792,8.389540643919064,0.0062798191928401985,15.212024552310444,0.03890449205271165,0.0062798191928401985,253,0.0,0.001
271,1.0,0.8642853203412945,5.600362411309067,5.610923221864143,0,8.396512261593,1658.2025333467595,147.0111122180435,8.390698969521788,94.09448818897637,0.0001,8.396845967182987,0.010560810555075406,-0.010560810555075406,0.163214090761811,1.6519019564893136,197.62450592885375,8.396349207184157,0.005348763401812104,17.282736944633385,0.008431361040541782,0.005348763401812104,254,0.0,0.001
272,1.0,0.8609934627802603,5.589310006440452,5.600362411309067,0,8.402438780888946,1657.6102645846693,141.55983606963196,8.396477339861388,93.7007874015748,0.0001,8.402781033735959,0.011052404868615362,-0.011052404868615362,0.16764885412381184,1.6662686304918028,197.4189723320158,8.402269084592405,0.00554573914802926,16.583194137368512,0.18424901148903008,0.00554573914802926,254,0.0,0.001
273,1.0,0.8647850796020691,5.580061568362079,5.589310006440452,0,8.4072550325349,1658.0567048499372,154.91016215160732,8.40145383458959,94.48818897637796,0.0001,8.407626937888775,0.009248438078373056,-0.009248438078373056,0.16024611689537047,1.678866198285233,197.35573122529644,8.407079536300207,0.005768718733216888,18.170686573497054,0.06721661120117385,0.005768718733216888,254,0.0,0.001
274,1.0,0.8660357996176288,5.569660769437096,5.580061568362079,0,8.414766173958434,1645.170102982964,199.0215479673843,8.408716679898157,93.359375,0.0001,8.415092954634124,0.010400798924982801,-0.010400798924982801,0.1715758194757923,1.6596101773035798,195.65098039215687,8.41459955408218,0.00542662865682235,23.383582078106365,0.0747199922777502,0.00542662865682235,256,0.0,0.001
275,1.0,0.8597261878007569,5.560349491559232,5.569660769437096,0,8.419917641872352,1668.6559858921619,150.33571103922802,8.415148073042108,96.83794466403161,0.0001,8.420192286735224,0.009311277877864121,-0.009311277877864121,0.12930607851091452,1.5512345487751267,198.29365079365078,8.419804663273249,0.003767817118489445,17.675230386373702,0.1378532002229252,0.003767817118489445,253,0.0,0.001
276,1.0,0.8537349484495554,5.549675442395223,5.560349491559232,0,8.426665870637741,1657.0588954520417,168.19004122587435,8.421113404904656,94.50980392156862,0.0001,8.426955227674561,0.010674049164008714,-0.010674049164008714,0.15821173728795593,1.6011692434401643,196.7755905511811,8.426532585074504,0.004415253428834362,19.718711751916917,0.0634729538227772,0.004415253428834362,255,0.0,0.001
277,1.0,0.860399678594158,5.538998088823326,5.549675442395223,0,8.431431196137044,1677.2637550221461,103.48763210664809,8.42620068256463,95.63492063492063,0.0001,8.43173504837683,0.010677353571897363,-0.010677353571897363,0.14527023472485825,1.5972159450096821,199.05179282868525,8.431299455065002,0.004377314849444273,12.067923089831986,0.10817192727101593,0.004377314849444273,252,0.0,0.001
278,1.0,0.8474447613587829,5.527905426350225,5.538998088823326,0,8.436788760703784,1672.6312267893077,130.89977638741465,8.43140257857989,95.25691699604744,0.0001,8.437097000347112,0.011092662473100923,-0.011092662473100923,0.15018250380681716,1.609720603246284,198.38095238095238,8.436645336695207,0.004476859691765469,15.312023050094373,0.03208494248342219,0.004476859691765469,253,0.0,0.001
279,1.0,0.8665407727738184,5.5178850586827854,5.527905426350225,0,8.441992479421211,1670.582590767584,164.20571893564582,8.436552132245396,95.25691699604744,0.0001,8.442317368148139,0.010020367667439523,-0.010020367667439523,0.1508828425318283,1.6253849948165215,198.01190476190476,8.44184174907091,0.004797641579629424,19.26042948614931,0.027504303365613797,0.004797641579629424,253,0.0,0.001
280,1.0,0.8523427178415797,5.507225643992187,5.5178850586827854,0,8.44837022332368,1675.8108325250962,140.85905761137363,8.443238020061868,96.03174603174604,0.0001,8.448678289746548,0.010659414690598723,-0.010659414690598723,0.14105805378336936,1.5962922372463277,198.47410358565736,8.448238851036136,0.004276160039174362,16.508187232715333,0.07511229082604816,0.004276160039174362,252,0.0,0.001
281,1.0,0.8508069557941187,5.496297607327953,5.507225643992187,0,8.454835957352646,1664.4615371753162,171.39842312781215,8.449068842737702,94.09448818897637,0.0001,8.455145171792823,0.010928036664234142,-0.010928036664234142,0.16369158905052317,1.6297057847521703,197.0,8.454683210567778,0.004740581673100521,20.052894481223873,0.01848524897606229,0.004740581673100521,254,0.0,0.001
282,1.0,0.8567447541074285,5.487547385144378,5.496297607327953,0,8.458730477058479,1663.4113141943294,175.2355377430832,8.453010219817617,94.50980392156862,0.0001,8.45906778166757,0.008750222183574685,-0.008750222183574685,0.1600673427399357,1.6489860843341646,196.78346456692913,8.458568775108064,0.0050583039866163556,20.44823409883004,0.037068036887433,0.0050583039866163556,255,0.0,0.001
283,1.0,0.8642637056470515,5.477161216684984,5.487547385144378,0,8.464784959878495,1668.31732698093,155.48139307862323,8.459139701341707,94.48818897637796,0.0001,8.465093532069504,0.010386168459393552,-0.010386168459393552,0.15954948307050948,1.6229965812317668,197.22134387351778,8.464635339816581,0.004684409289516053,18.102650292184254,0.06685069758539094,0.004684409289516053,254,0.0,0.001
284,1.0,0.8698080853397955,5.468523717194865,5.477161216684984,0,8.468126355754004,1663.6224570413442,193.72090543403408,8.462451918992457,94.90196078431372,0.0001,8.468489717410973,0.008637499490119716,-0.008637499490119716,0.15662353365744663,1.665632896330024,196.59055118110237,8.46795695515176,0.005374431542761621,22.6616170450781,0.00884019736488048,0.005374431542761621,255,0.0,0.001
285,1.0,0.8565146789827119,5.458006772704107,5.468523717194865,0,8.475676413357661,1680.2580826908863,124.2200700486899,8.470508325177821,95.65217391304348,0.0001,8.475956094798189,0.010516944490757574,-0.010516944490757574,0.14510362885948905,1.573743936223575,198.36507936507937,8.475554186265978,0.003915948467865319,14.428313860833393,0.24782327114718447,0.003915948467865319,253,0.0,0.001
286,1.0,0.8653518965172218,5.448186356413909,5.458006772704107,0,8.481193433488835,1689.829677750273,84.87675585181721,8.476109262218927,96.01593625498009,0.0001,8.481484360927311,0.009820416290198253,-0.009820416290198253,0.14085043927980762,1.5794103846924807,199.364,8.481068887458182,0.004018097157134179,9.774226516712206,0.037584003882116586,0.004018097157134179,251,0.0,0.001
287,1.0,0.8625874506503063,5.4384532724706265,5.448186356413909,0,8.486894188749178,1684.7579779786208,107.90546073329989,8.481445925403765,94.84126984126983,0.0001,8.48718165592009,0.009733083943282317,-0.009733083943282317,0.15486401401893915,1.5941762596948204,198.6414342629482,8.486763715156828,0.004196132047665593,12.500156028295585,0.058920787964777815,0.004196132047665593,252,0.0,0.001
288,1.0,0.8684926605471104,5.427988951469337,5.4384532724706265,0,8.492170361292976,1684.1850635019935,122.87490437723709,8.487012516094687,95.63492063492063,0.0001,8.49244324570948,0.010464321001289356,-0.010464321001289356,0.1453332815678893,1.567460011297425,198.4422310756972,8.49205072259952,0.0038453832461485217,14.28005495522665,0.1752108653216652,0.0038453832461485217,252,0.0,0.001
289,1.0,0.8379861471162656,5.417346623328154,5.427988951469337,0,8.498702609819754,1684.7401580160833,129.98151714032159,8.493585252610242,95.65217391304348,0.0001,8.49896334217924,0.010642328141183377,-0.010642328141183377,0.1448834348762164,1.5547596448334908,198.3531746031746,8.4985882348153,0.0035349551631356823,15.067252340639213,0.02246724416442615,0.0035349551631356823,253,0.0,0.001
290,1.0,0.8497171786765338,5.40699926792714,5.417346623328154,0,8.504077769439458,1692.608311777889,93.17812446123128,8.49918097278166,96.42857142857143,0.0001,8.504346595000488,0.010347355401013836,-0.010347355401013836,0.13533955900386868,1.5521529575954052,199.15139442231074,8.503964472134864,0.003538172466828401,10.754457430725717,0.20742993108357344,0.003538172466828401,252,0.0,0.001
