TimestepsStd,Omega,DeltaOmega,RewardStd,Wins,Theta,ConfortViolation,NormDeltaVar,ReturnsMean,ReturnsStd,RewardMean,TimestepsMean,NormDeltaOmega,OmegaBefore,Traj,ITERATIONS
0.0,0.86739225,0.00472454,2.5884649891393163,0.0,0.10410713,0,0.3368830676989667,1253.5,66.92645216952711,2.507,500.0,0.004724544432137989,0.8626677,20,16
0.0,0.86914554,0.00175329,2.5997947534372785,0.0,0.10104224,0,0.4756723603498507,1254.1,57.91536929002525,2.5082,500.0,0.0017532858892044256,0.86739225,20,17
0.0,0.87082693,0.0016814,2.5734084401820088,0.0,0.09803467,0,0.47939254818889765,1243.5,67.54813098820722,2.487,500.0,0.0016813996965017175,0.86914554,20,18
0.0,0.87456019,0.00373325,2.6167054400524337,0.0,0.09592924,0,0.34345609997594195,1264.6,88.11152024565233,2.5292,500.0,0.0037332509792041835,0.87082693,20,19
0.0,0.87804326,0.00348307,2.618221617816185,0.0,0.0945014,0,0.23677447320415723,1266.7,64.26281973271949,2.5334,500.0,0.00348307444481899,0.87456019,20,20
0.0,0.87940325,0.00135999,2.5997892145325934,0.0,0.09279,0,0.28805813600004626,1254.9,59.663975730753975,2.5098,500.0,0.0013599865964120106,0.87804326,20,21
0.0,0.87998626,0.00058302,2.6474829631179877,0.0,0.09117584,0,0.2760939782648322,1279.3,59.76713143526298,2.5586,500.0,0.0005830166963243233,0.87940325,20,22
0.0,0.88145475,0.00146849,2.6069729265951342,0.0,0.08978974,0,0.2406164619114648,1254.8,55.91565076076644,2.5096,500.0,0.001468489851776389,0.87998626,20,23
0.0,0.88391946,0.0024647,2.652667480103754,0.0,0.08868789,0,0.19367465746374535,1285.9,62.64654818902634,2.5718,500.0,0.002464703006121116,0.88145475,20,24
0.0,0.88678594,0.00286648,2.6222644794146905,0.0,0.08770819,0,0.17403586700752527,1263.5,72.67152124457007,2.527,500.0,0.002866481957098377,0.88391946,20,25
0.0,0.8897071,0.00292116,2.6321039417165877,0.0,0.08606886,0,0.2951850627566017,1268.9,68.97383561902296,2.5378,500.0,0.0029211638019908115,0.88678594,20,26
0.0,0.89314397,0.00343687,2.628852099301138,0.0,0.0845254,0,0.2826137712305794,1269.6,59.29789203673264,2.5392,500.0,0.0034368708635548195,0.8897071,20,27
0.0,0.89686656,0.00372259,2.662988366478532,0.0,0.08247614,0,0.382558585447228,1298.2,56.355656326583585,2.5964,500.0,0.0037225851147079103,0.89314397,20,28
0.0,0.9004706,0.00360404,2.664915751013529,0.0,0.08049804,0,0.3775669226942213,1280.1,69.40453875648191,2.5602,500.0,0.003604042637979754,0.89686656,20,29
0.0,0.90434876,0.00387815,2.6913587349143926,0.0,0.07940753,0,0.21178443252616574,1305.2,64.40931609635363,2.6104,500.0,0.0038781540854030405,0.9004706,20,30
0.0,0.90779883,0.00345008,2.6922080157372683,0.0,0.07819303,0,0.239016789204058,1302.0,64.29930015171237,2.604,500.0,0.0034500752703520154,0.90434876,20,31
0.0,0.9120416,0.00424277,2.675992705520701,0.0,0.07731101,0,0.17572147886859568,1297.6,70.26122686090814,2.5952,500.0,0.004242771386025801,0.90779883,20,32
0.0,0.91504279,0.00300119,2.703947662215376,0.0,0.0763044,0,0.20280196720590737,1302.6,55.107531245738095,2.6052,500.0,0.003001188243060837,0.9120416,20,33
0.0,0.91795805,0.00291526,2.741830950295806,0.0,0.07512804,0,0.24013436638662,1327.4,60.893677832760275,2.6548,500.0,0.0029152611469690504,0.91504279,20,34
0.0,0.92132214,0.00336409,2.7044499551664845,0.0,0.07460242,0,0.10841527087857372,1306.9,78.31085493084596,2.6138,500.0,0.003364090571803313,0.91795805,20,35
0.0,0.9239401,0.00261796,2.6941340649641026,0.0,0.07390696,0,0.1445314335129595,1307.1,83.62409939724314,2.6142,500.0,0.0026179557751244698,0.92132214,20,36
0.0,0.92608985,0.00214975,2.7058543863260636,0.0,0.07341642,0,0.102699310616444,1315.1,68.31829915915647,2.6302,500.0,0.0021497539277054445,0.9239401,20,37
0.0,0.92824966,0.00215981,2.7103427384742322,0.0,0.07257771,0,0.17706421987450227,1308.4,68.89876631696681,2.6168,500.0,0.0021598103657258783,0.92608985,20,38
0.0,0.93086135,0.00261169,2.726703474894181,0.0,0.07258815,0,0.0022144452266346093,1319.8,59.85950216966391,2.6396,500.0,0.0026116874582828853,0.92824966,20,39
