ITERATIONS,Theta,Epsilon,OmegaBefore,WeightMedian,LossReg,ReturnsStd,NormDeltaVar,TimestepsMean,WeightMean,DualReg,Omega,ConfortViolation,NormDeltaOmega,ThetaBefore,DualBefore,TimestepsStd,Eta,ReturnsMean,DeltaOmega,Primal,DualAfter,Wins,Traj,RewardMean,WeightMin,WeightMax,RewardStd
36,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
37,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
38,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
39,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
40,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
41,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
42,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
43,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
44,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
45,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
46,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
