Primal,NormDeltaOmega,DualReg,ReturnsStd,OmegaBefore,LossReg,NormDeltaVar,ThetaBefore,TimestepsStd,RewardStd,RewardMean,Eta,WeightMin,DeltaOmega,DualBefore,ITERATIONS,WeightMax,WeightMedian,WeightMean,Wins,Theta,DualAfter,Omega,TimestepsMean,ReturnsMean,ConfortViolation,Epsilon,Traj
3.208178493337585,1.57942438569859e-16,0.0,99.78625355674983,2.194556617986145e-08,0.0,1.5808082287802092,0.3976384377632825,0.0,3.209369277599572,2.7378,24.302125469558227,0.6626643728859805,[[-1.57942439e-16]],8.140573822962065,10,1.0,0.7195067915013458,0.6626643728859805,0.0,0.4244191574306659,3.208178899480962,2.194556602191901e-08,500.0,1371.578947368421,0,0.01,20
3.488622601118248,2.4021981439074046e-16,0.0,99.24445880691837,2.194556602191901e-08,0.0,1.605591121721706,0.4244191574306659,0.0,3.4289167443961075,2.9886,25.712717009225656,0.6777934966958994,[[-2.40219814e-16]],8.317744335507783,11,1.0,0.7326185621021922,0.6777934966958994,0.0,0.45208083424776835,3.4886219102476366,2.1945565781699195e-08,500.0,1492.1052631578948,0,0.01,20
3.6385703030709546,1.53773031383563e-16,0.0,105.52336260469367,2.1945565781699195e-08,0.0,1.5049823256948907,0.45208083424776835,0.0,3.5606470423225045,3.1208,26.55543430775384,0.6862105617613775,[[-1.53773031e-16]],8.41246882276948,12,1.0,0.7398878890035274,0.6862105617613775,0.0,0.47828416852231376,3.6385703029193026,2.1945565627926164e-08,500.0,1561.3684210526317,0,0.01,20
3.810990800535366,1.5396685303597398e-16,0.0,121.2676351512639,2.1945565627926164e-08,0.0,1.2122699091163924,0.47828416852231376,0.0,3.6822915419613373,3.277,27.316728732758104,0.6934500662215314,[[-1.53966853e-16]],8.504872184635282,13,1.0,0.7461259677143735,0.6934500662215314,0.0,0.49948522238055837,3.8109908048556047,2.194556547395931e-08,500.0,1646.9473684210527,0,0.01,20
4.089544157518875,1.8817839135284451e-16,0.0,127.05555309945017,2.194556547395931e-08,0.0,2.2232550886417264,0.49948522238055837,0.0,3.8692442879714894,3.5308,28.469172062162713,0.7038027536753363,[[-1.88178391e-16]],8.643023907359659,14,1.0,0.7550240218524855,0.7038027536753363,0.0,0.5383169123720084,4.089544292263207,2.194556528578092e-08,500.0,1766.2105263157894,0,0.01,20
4.368245837159711,2.1584348995307238e-16,0.0,125.47739309248229,2.194556528578092e-08,0.0,1.4320915382085264,0.5383169123720084,0.0,4.004589367213573,3.792,29.261634837601775,0.7105297890456272,[[-2.1584349e-16]],8.756726588934331,15,1.0,0.7607918164173351,0.7105297890456272,0.0,0.5631153161519947,4.368245831960783,2.194556506993743e-08,500.0,1902.9473684210527,0,0.01,20
4.70928769374136,2.4295018208282284e-16,0.0,110.89842124121971,2.194556506993743e-08,0.0,2.1655839131567705,0.5631153161519947,0.0,4.157101759639762,4.1136,30.126522401073622,0.717535085540404,[[-2.42950182e-16]],8.885627783287479,16,1.0,0.7667865976353955,0.717535085540404,0.0,0.5999858203531133,4.70928766389624,2.1945564826987248e-08,500.0,2044.5263157894738,0,0.01,20
4.987027278305155,2.0968227486514055e-16,0.0,77.74822636948774,2.1945564826987248e-08,0.0,2.004206517928396,0.5999858203531133,0.0,4.267062015016889,4.3776,30.722162469039777,0.7221676819402196,[[-2.09682275e-16]],8.982345414197104,17,1.0,0.770744508993144,0.7221676819402196,0.0,0.6331374960878379,4.987027210017956,2.1945564617304973e-08,500.0,2187.0526315789475,0,0.01,20
5.360082550090943,2.330037852031259e-16,0.0,135.63957454528338,2.1945564617304973e-08,0.0,2.3007350404153577,0.6331374960878379,0.0,4.370854085873835,4.7384,31.212876345328763,0.7258727185288286,[[-2.33003785e-16]],9.096537353800507,18,1.0,0.7739062949429715,0.7258727185288286,0.0,0.6696830595093635,5.360082548603038,2.1945564384301188e-08,500.0,2363.8947368421054,0,0.01,20
5.698710864276587,2.29619888578845e-16,0.0,110.64304612812182,2.1945564384301188e-08,0.0,2.0325593745645367,0.6696830595093635,0.0,4.433491157090539,5.0704,31.431989135988285,0.7274956777529695,[[-2.29619889e-16]],9.189978542994746,19,1.0,0.7752902706720928,0.7274956777529695,0.0,0.700363852398252,5.698710857230401,2.19455641546813e-08,500.0,2531.8947368421054,0,0.01,20
6.149682107758512,3.1613636320699125e-16,0.0,136.81845949551456,2.19455641546813e-08,0.0,2.668059190714059,0.700363852398252,0.0,4.471536536807007,5.519,31.39902468671868,0.7272527284312815,[[-3.16136363e-16]],9.302366172731565,20,1.0,0.7750831353807816,0.7272527284312815,0.0,0.7380378794601881,6.149682282886147,2.1945563838544936e-08,500.0,2764.842105263158,0,0.01,20
6.588063046956445,3.683125008794476e-16,0.0,139.4549739187976,2.1945563838544936e-08,0.0,2.6416170643303545,0.7380378794601881,0.0,4.459882958105515,5.962,31.018339111437264,0.7244156679344834,[[-3.68312501e-16]],9.40118764120587,21,1.0,1.0,0.7244156679344834,0.0,0.7721881958747734,6.58806304579416,2.1945563470232435e-08,500.0,2989.684210526316,0,0.01,20
7.112307748234943,5.728131873473804e-16,0.0,92.64892182147314,2.1945563470232435e-08,0.0,3.530288171375215,0.7721881958747734,0.0,4.385612823768191,6.5004,30.126254814975454,0.7175329700459032,[[-5.72813187e-16]],9.50942434834061,22,1.0,1.0,0.7175329700459032,0.0,0.8127271198199961,7.112307706186938,2.1945562897419248e-08,500.0,3246.4210526315787,0,0.01,20
7.627548689057556,7.535951083337881e-16,0.0,125.04394795298008,2.1945562897419248e-08,0.0,3.754055577320724,0.8127271198199961,0.0,4.234991338834119,7.0406,28.693176138639632,0.7057353850414783,[[-7.53595108e-16]],9.606334776463113,23,1.0,1.0,0.7057353850414783,0.0,0.8494907479492156,7.627548171626557,2.194556214382414e-08,500.0,3519.8947368421054,0,0.01,20
8.048499382778125,8.64847995663859e-16,0.0,130.47486252413728,2.194556214382414e-08,0.0,3.402479629649182,0.8494907479492156,0.0,4.045457457445327,7.4914,27.04619410366108,0.6909154727481741,[[-8.64847996e-16]],9.679906850231584,24,1.0,1.0,0.6909154727481741,0.0,0.8774806649560688,8.048499634434274,2.1945561278976144e-08,500.0,3741.684210526316,0,0.01,20
8.465565459823413,1.3386228317266532e-15,0.0,123.31982157525124,2.1945561278976144e-08,0.0,4.153693289681868,0.8774806649560688,0.0,3.7908909559627277,7.9476,24.929272989761227,0.6695597696865155,[[-1.33862283e-15]],9.74934356142324,25,1.0,1.0,0.6695597696865155,0.0,0.9054706586480942,8.465565365725997,2.1945559940353312e-08,500.0,3984.1052631578946,0,0.01,20
8.793168286172161,1.633874284056277e-15,0.0,95.6054913292075,2.1945559940353312e-08,0.0,3.9250252610069296,0.9054706586480942,0.0,3.527431785307832,8.315,22.808325749803227,0.6450442306809756,[[-1.63387428e-15]],9.801667429928884,26,1.0,1.0,0.6450442306809756,0.0,0.9265114208970057,8.793168290971318,2.1945558306479028e-08,500.0,4159.894736842105,0,0.01,20
9.164843808677915,3.44825197076927e-15,0.0,86.91524830437771,2.1945558306479028e-08,0.0,5.772014227705775,0.9265114208970057,0.0,3.134944490736638,8.7452,19.72283326843399,0.6022837829442271,[[-3.44825197e-15]],9.859441163074088,27,1.0,1.0,0.6022837829442271,0.0,0.9497093760512211,9.164841416739337,2.1945554858227057e-08,500.0,4377.0526315789475,0,0.01,20
9.453742361614768,5.844488058210466e-15,0.0,87.88572282804705,2.1945554858227057e-08,0.0,6.380436824346646,0.9497093760512211,0.0,2.7236396531112557,9.0948,16.549439116193327,0.5464840893880695,[[-5.84448806e-15]],9.903882904835022,28,1.0,1.0,0.5464840893880695,0.0,0.9672314289881833,9.453742135102956,2.1945549013739e-08,500.0,4552.315789473684,0,0.01,20
9.701197406105937,1.4344020708837013e-14,0.0,68.80507615107423,2.1945549013739e-08,0.0,8.853096398797291,0.9672314289881833,0.0,2.236813590802774,9.4136,12.834016921624958,0.458782391021619,[[-1.43440207e-14]],9.942697475386373,29,1.0,1.0,0.458782391021619,0.0,0.9820963477034174,9.701197338504665,2.194553466971829e-08,500.0,4700.421052631579,0,0.01,20
9.879929474077004,5.006927640216605e-14,0.0,42.30871896939241,2.194553466971829e-08,0.0,13.30845257382645,0.9820963477034174,0.0,1.7082259335345547,9.6696,8.790833495444165,0.32060400014475576,[[-5.00692764e-14]],9.97282413690445,30,1.0,1.0,0.32060400014475576,0.0,0.9928699140717393,9.879928844256973,2.1945484600441888e-08,500.0,4835.1578947368425,0,0.01,20
9.987372895993412,7.063334295864409e-13,0.0,19.599310293704715,2.1945484600441888e-08,0.0,31.384621439999535,0.9928699140717393,0.0,1.1024538266975175,9.8666,3.8460587807929225,0.07426880511883295,[[-7.0633343e-13]],9.995294898254604,31,1.0,1.0,0.07426880511883295,0.0,0.9992024752666945,9.987368015249505,2.19447782670123e-08,500.0,4933.1578947368425,0,0.01,20
9.999999999999648,1.5628731327844834e-08,0.0,11.983367975374913,2.19447782670123e-08,0.0,156.13116939333992,0.9992024752666945,0.0,0.5744707477322061,9.9656,0.031121407797300285,2.8283343597528766e-140,[[-1.56287313e-08]],10.006393901324623,32,1.0,1.0,2.8283343597528766e-140,0.0,0.999999985691066,10.00019897485787,6.316046939167466e-09,500.0,4983.368421052632,0,0.01,20
9.999999999999508,0.0,0.0,0.0,6.316046939167466e-09,0.0,0.0,0.999999985691066,0.0,0.44676615807377346,9.98,0.03107305485617784,1.7154523370568488e-140,[[0.]],10.007998088311146,33,1.0,1.0,1.7154523370568488e-140,0.0,0.999999985691066,10.000248522209754,6.316046939167466e-09,500.0,4990.0,0,0.01,20
9.999999999999508,0.0,0.0,0.0,6.316046939167466e-09,0.0,0.0,0.999999985691066,0.0,0.44676615807377346,9.98,0.03107305485617784,1.7154523370568488e-140,[[0.]],10.007998088311146,34,1.0,1.0,1.7154523370568488e-140,0.0,0.999999985691066,10.000248522209754,6.316046939167466e-09,500.0,4990.0,0,0.01,20
9.999999999999508,0.0,0.0,0.0,6.316046939167466e-09,0.0,0.0,0.999999985691066,0.0,0.44676615807377346,9.98,0.03107305485617784,1.7154523370568488e-140,[[0.]],10.007998088311146,35,1.0,1.0,1.7154523370568488e-140,0.0,0.999999985691066,10.000248522209754,6.316046939167466e-09,500.0,4990.0,0,0.01,20
9.999999999999508,0.0,0.0,0.0,6.316046939167466e-09,0.0,0.0,0.999999985691066,0.0,0.44676615807377346,9.98,0.03107305485617784,1.7154523370568488e-140,[[0.]],10.007998088311146,36,1.0,1.0,1.7154523370568488e-140,0.0,0.999999985691066,10.000248522209754,6.316046939167466e-09,500.0,4990.0,0,0.01,20
9.999999999999508,0.0,0.0,0.0,6.316046939167466e-09,0.0,0.0,0.999999985691066,0.0,0.44676615807377346,9.98,0.03107305485617784,1.7154523370568488e-140,[[0.]],10.007998088311146,37,1.0,1.0,1.7154523370568488e-140,0.0,0.999999985691066,10.000248522209754,6.316046939167466e-09,500.0,4990.0,0,0.01,20
9.999999999999508,0.0,0.0,0.0,6.316046939167466e-09,0.0,0.0,0.999999985691066,0.0,0.44676615807377346,9.98,0.03107305485617784,1.7154523370568488e-140,[[0.]],10.007998088311146,38,1.0,1.0,1.7154523370568488e-140,0.0,0.999999985691066,10.000248522209754,6.316046939167466e-09,500.0,4990.0,0,0.01,20
9.999999999999508,0.0,0.0,0.0,6.316046939167466e-09,0.0,0.0,0.999999985691066,0.0,0.44676615807377346,9.98,0.03107305485617784,1.7154523370568488e-140,[[0.]],10.007998088311146,39,1.0,1.0,1.7154523370568488e-140,0.0,0.999999985691066,10.000248522209754,6.316046939167466e-09,500.0,4990.0,0,0.01,20
9.999999999999508,0.0,0.0,0.0,6.316046939167466e-09,0.0,0.0,0.999999985691066,0.0,0.44676615807377346,9.98,0.03107305485617784,1.7154523370568488e-140,[[0.]],10.007998088311146,40,1.0,1.0,1.7154523370568488e-140,0.0,0.999999985691066,10.000248522209754,6.316046939167466e-09,500.0,4990.0,0,0.01,20
9.999999999999508,0.0,0.0,0.0,6.316046939167466e-09,0.0,0.0,0.999999985691066,0.0,0.44676615807377346,9.98,0.03107305485617784,1.7154523370568488e-140,[[0.]],10.007998088311146,41,1.0,1.0,1.7154523370568488e-140,0.0,0.999999985691066,10.000248522209754,6.316046939167466e-09,500.0,4990.0,0,0.01,20
9.999999999999508,0.0,0.0,0.0,6.316046939167466e-09,0.0,0.0,0.999999985691066,0.0,0.44676615807377346,9.98,0.03107305485617784,1.7154523370568488e-140,[[0.]],10.007998088311146,42,1.0,1.0,1.7154523370568488e-140,0.0,0.999999985691066,10.000248522209754,6.316046939167466e-09,500.0,4990.0,0,0.01,20
9.999999999999508,0.0,0.0,0.0,6.316046939167466e-09,0.0,0.0,0.999999985691066,0.0,0.44676615807377346,9.98,0.03107305485617784,1.7154523370568488e-140,[[0.]],10.007998088311146,43,1.0,1.0,1.7154523370568488e-140,0.0,0.999999985691066,10.000248522209754,6.316046939167466e-09,500.0,4990.0,0,0.01,20
9.999999999999508,0.0,0.0,0.0,6.316046939167466e-09,0.0,0.0,0.999999985691066,0.0,0.44676615807377346,9.98,0.03107305485617784,1.7154523370568488e-140,[[0.]],10.007998088311146,44,1.0,1.0,1.7154523370568488e-140,0.0,0.999999985691066,10.000248522209754,6.316046939167466e-09,500.0,4990.0,0,0.01,20
9.999999999999508,0.0,0.0,0.0,6.316046939167466e-09,0.0,0.0,0.999999985691066,0.0,0.44676615807377346,9.98,0.03107305485617784,1.7154523370568488e-140,[[0.]],10.007998088311146,45,1.0,1.0,1.7154523370568488e-140,0.0,0.999999985691066,10.000248522209754,6.316046939167466e-09,500.0,4990.0,0,0.01,20
9.999999999999508,0.0,0.0,0.0,6.316046939167466e-09,0.0,0.0,0.999999985691066,0.0,0.44676615807377346,9.98,0.03107305485617784,1.7154523370568488e-140,[[0.]],10.007998088311146,46,1.0,1.0,1.7154523370568488e-140,0.0,0.999999985691066,10.000248522209754,6.316046939167466e-09,500.0,4990.0,0,0.01,20
9.999999999999508,0.0,0.0,0.0,6.316046939167466e-09,0.0,0.0,0.999999985691066,0.0,0.44676615807377346,9.98,0.03107305485617784,1.7154523370568488e-140,[[0.]],10.007998088311146,47,1.0,1.0,1.7154523370568488e-140,0.0,0.999999985691066,10.000248522209754,6.316046939167466e-09,500.0,4990.0,0,0.01,20
9.999999999999508,0.0,0.0,0.0,6.316046939167466e-09,0.0,0.0,0.999999985691066,0.0,0.44676615807377346,9.98,0.03107305485617784,1.7154523370568488e-140,[[0.]],10.007998088311146,48,1.0,1.0,1.7154523370568488e-140,0.0,0.999999985691066,10.000248522209754,6.316046939167466e-09,500.0,4990.0,0,0.01,20
9.999999999999508,0.0,0.0,0.0,6.316046939167466e-09,0.0,0.0,0.999999985691066,0.0,0.44676615807377346,9.98,0.03107305485617784,1.7154523370568488e-140,[[0.]],10.007998088311146,49,1.0,1.0,1.7154523370568488e-140,0.0,0.999999985691066,10.000248522209754,6.316046939167466e-09,500.0,4990.0,0,0.01,20
9.999999999999508,0.0,0.0,0.0,6.316046939167466e-09,0.0,0.0,0.999999985691066,0.0,0.44676615807377346,9.98,0.03107305485617784,1.7154523370568488e-140,[[0.]],10.007998088311146,50,1.0,1.0,1.7154523370568488e-140,0.0,0.999999985691066,10.000248522209754,6.316046939167466e-09,500.0,4990.0,0,0.01,20
9.999999999999508,0.0,0.0,0.0,6.316046939167466e-09,0.0,0.0,0.999999985691066,0.0,0.44676615807377346,9.98,0.03107305485617784,1.7154523370568488e-140,[[0.]],10.007998088311146,51,1.0,1.0,1.7154523370568488e-140,0.0,0.999999985691066,10.000248522209754,6.316046939167466e-09,500.0,4990.0,0,0.01,20
9.999999999999508,0.0,0.0,0.0,6.316046939167466e-09,0.0,0.0,0.999999985691066,0.0,0.44676615807377346,9.98,0.03107305485617784,1.7154523370568488e-140,[[0.]],10.007998088311146,52,1.0,1.0,1.7154523370568488e-140,0.0,0.999999985691066,10.000248522209754,6.316046939167466e-09,500.0,4990.0,0,0.01,20
