NormDeltaOmega,DualBefore,ReturnsStd,Theta,Epsilon,LossReg,OmegaBefore,NormDeltaVar,ConfortViolation,ITERATIONS,RewardMean,Wins,DualReg,RewardStd,Eta,WeightMedian,DeltaOmega,TimestepsMean,WeightMax,TimestepsStd,WeightMin,ThetaBefore,Omega,ReturnsMean,WeightMean,Primal,DualAfter,Traj
4.601720461039842e-16,7.76413948198466,48.628844762509914,0.3437927971013565,0.01,0.0,2.851015765924198e-08,1.432264663246384,0,10,2.4062,0.0,0.0,2.7332401211748665,21.13348033866988,0.6848562870227741,[[-4.60172046e-16]],500.0,1.0,0.0,0.6230161557348831,0.32154165567623594,2.8510157199069934e-08,1205.157894736842,0.6230161557348831,2.811192546285827,2.81119254594193,20
3.968038735022771e-16,7.917090343675111,60.73656845692254,0.37290563874328836,0.01,0.0,2.8510157199069934e-08,1.8095119703702505,0,11,2.527,0.0,0.0,2.918265066781974,22.37489883109738,0.6993922634709804,[[-3.96803874e-16]],500.0,1.0,0.0,0.6395890648027804,0.3437927971013565,2.851015680226606e-08,1266.7368421052631,0.6395890648027804,2.9575042862757575,2.9575041719029436,20
3.506842166173136e-16,8.025291477341982,101.94507238671969,0.39646079805259654,0.01,0.0,2.851015680226606e-08,1.4219683921692816,0,12,2.6234,0.0,0.0,3.056235010597189,23.292278187321134,0.7093108135873496,[[-3.50684217e-16]],500.0,1.0,0.0,0.6509471441715307,0.37290563874328836,2.8510156451581844e-08,1318.2105263157894,0.6509471441715307,3.0728430421161366,3.07284303219486,20
4.3333352923754586e-16,8.195457170201053,65.88027418215401,0.42420018086873656,0.01,0.0,2.8510156451581844e-08,1.6382747760999532,0,13,2.8292,0.0,0.0,3.266500782182671,24.664429163618166,0.7229944405171838,[[-4.33333529e-16]],500.0,1.0,0.0,0.6666819503161222,0.39646079805259654,2.8510156018248314e-08,1416.0,0.6666819503161222,3.3072453828512596,3.307245484222536,20
3.619798906598723e-16,8.300763567888952,76.32675057399992,0.45141599594042314,0.01,0.0,2.8510156018248314e-08,1.5800496466734413,0,14,2.9578,0.0,0.0,3.4104280024653795,25.597464755628852,0.7315929851550725,[[-3.61979891e-16]],500.0,1.0,0.0,0.6766076686583062,0.42420018086873656,2.8510155656268424e-08,1478.7368421052631,0.6766076686583062,3.4553630745116273,3.4553615185029853,20
2.9801787186152364e-16,8.428641868028887,79.91851806112193,0.4784868554313175,0.01,0.0,2.8510155656268424e-08,1.554934014392567,0,15,3.1546,0.0,0.0,3.577387152657649,26.656513518651426,0.7407335748709729,[[-2.98017872e-16]],500.0,1.0,0.0,0.6871911181935552,0.45141599594042314,2.8510155358250552e-08,1575.3684210526317,0.6871911181935552,3.674568151884082,3.674566351030588,20
1.8656130619486255e-16,8.503056968299834,76.9428323236374,0.5075390094121885,0.01,0.0,2.8510155358250552e-08,1.6609151790209644,0,16,3.255,0.0,0.0,3.6914732831215233,27.385715469444516,0.7466766171142336,[[-1.86561306e-16]],500.0,1.0,0.0,0.6940898427117459,0.4784868554313175,2.8510155171689246e-08,1627.8947368421052,0.6940898427117459,3.7903308952772785,3.7903309054683056,20
3.0903865062547384e-16,8.640668983339193,134.3886949473053,0.5367934610057493,0.01,0.0,2.8510155171689246e-08,1.6754576819661864,0,17,3.528,0.0,0.0,3.864869467394727,28.441176683394097,0.7548152102411047,[[-3.09038651e-16]],500.0,1.0,0.0,0.7035594549491548,0.5075390094121885,2.8510154862650595e-08,1761.6842105263158,0.7035594549491548,4.086154575504325,4.086154700982443,20
3.318920495286481e-16,8.758471613406481,137.5413712628468,0.5669327502630783,0.01,0.0,2.8510154862650595e-08,1.7415328907467869,0,18,3.7886,0.0,0.0,4.011945916883726,29.31167305162379,0.7611469729239826,[[-3.3189205e-16]],500.0,1.0,0.0,0.7109444294175824,0.5367934610057493,2.8510154530758545e-08,1889.0526315789473,0.7109444294175824,4.3658670986187635,4.365867092739505,20
3.640295449561052e-16,8.890229217629118,87.91017828433395,0.6053158712274056,0.01,0.0,2.8510154530758545e-08,2.26167126637187,0,19,4.117,0.0,0.0,4.168970016682778,30.202932943978894,0.7673019040565674,[[-3.64029545e-16]],500.0,1.0,0.0,0.7181378958488913,0.5669327502630783,2.8510154166729e-08,2055.8947368421054,0.7181378958488913,4.714292122433039,4.7142920888744095,20
4.1889240165408074e-16,9.017483610900666,157.4287861691166,0.6402490726669187,0.01,0.0,2.8510154166729e-08,2.125438588844167,0,20,4.4928,0.0,0.0,4.294222649094944,30.842194536093018,0.7715259941580054,[[-4.18892402e-16]],500.0,1.0,0.0,0.7230830871649188,0.6053158712274056,2.85101537478366e-08,2245.5789473684213,0.7230830871649188,5.105350154356841,5.105349947356709,20
3.3231359731241737e-16,9.083242374425284,103.82651202047553,0.6630713416753884,0.01,0.0,2.85101537478366e-08,1.436657485021687,0,21,4.6992,0.0,0.0,4.35567668221598,31.135290903548803,0.7734121740658113,[[-3.32313597e-16]],500.0,1.0,0.0,0.7252934490536995,0.6402490726669187,2.8510153415523e-08,2351.0526315789475,0.7252934490536995,5.3190321368961,5.319031943202156,20
4.551562776410913e-16,9.194508040639038,122.92654834529701,0.7020412307546058,0.01,0.0,2.8510153415523e-08,2.5717948530739942,0,22,5.087,0.0,0.0,4.436263179749371,31.44012423361238,0.77534133002086,[[-4.55156278e-16]],500.0,1.0,0.0,0.7275555678398337,0.6630713416753884,2.8510152960366724e-08,2537.8947368421054,0.7275555678398337,5.715589067268351,5.715588805673587,20
5.038287958761282e-16,9.298097807536758,139.08932142756342,0.7351826148515002,0.01,0.0,2.8510152960366724e-08,2.3434490181096894,0,23,5.5042,0.0,0.0,4.4676819895780415,31.384081771680773,0.7749891150717004,[[-5.03828796e-16]],500.0,1.0,0.0,0.7271424572126768,0.7020412307546058,2.8510152456537928e-08,2769.0526315789475,0.7271424572126768,6.134459435229396,6.134459484309921,20
