DeltaOmega,RewardMean,TimestepsMean,NormDeltaVar,RewardStd,Wins,Omega,ConfortViolation,ReturnsStd,ITERATIONS,NormDeltaOmega,ReturnsMean,Traj,TimestepsStd,Theta,OmegaBefore
[[0.00312628]],2.5392,500.0,0.8876586631576977,2.623673638240854,0.0,0.8856082920114715,0,60.17840144104859,47,0.003126283935615204,1269.6,40,0.0,0.09730780525303014,0.8824820080758563
[[0.00358988]],2.5179,500.0,0.8707734477146047,2.6102834309706675,0.0,0.8891981756184717,0,65.24567035443808,48,0.0035898836070001883,1258.95,40,0.0,0.09208350645948131,0.8856082920114715
[[0.0029055]],2.5211,500.0,0.9004059125494877,2.6101062794453402,0.0,0.8921036782464202,0,60.47146021058198,49,0.0029055026279485308,1260.55,40,0.0,0.08694781095633276,0.8891981756184717
[[0.00284656]],2.5344,500.0,0.9051785640895673,2.630896546806811,0.0,0.8949502397591147,0,71.17134254740458,50,0.0028465615126944677,1267.2,40,0.0,0.08204748663230987,0.8921036782464202
[[0.0023957]],2.5937,500.0,0.8904724012910279,2.6792760794662427,0.0,0.8973459425951795,0,67.8791389161648,51,0.002395702836064828,1296.85,40,0.0,0.0774734725043658,0.8949502397591147
[[0.00271373]],2.5716,500.0,0.9185716408704039,2.6634701875560762,0.0,0.9000596753987096,0,77.6605433923817,52,0.0027137328035300445,1285.8,40,0.0,0.0730009179936181,0.8973459425951795
[[0.00314689]],2.6218,500.0,0.8350797504788048,2.7015856010868875,0.0,0.9032065629997501,0,79.98493608173979,53,0.0031468876010405378,1310.9,40,0.0,0.06914253028150963,0.9000596753987096
[[0.00313669]],2.596,500.0,0.86353156452072,2.6835767177407095,0.0,0.9063432502879449,0,66.41535966928132,54,0.0031366872881948282,1298.0,40,0.0,0.0653519140449623,0.9032065629997501
[[0.00304312]],2.5846,500.0,0.7780852535181921,2.679149648675863,0.0,0.9093863694975206,0,70.46069826506121,55,0.003043119209575673,1292.3,40,0.0,0.06210279725514797,0.9063432502879449
[[0.00256624]],2.622,500.0,0.8153435543694556,2.7027978096779637,0.0,0.9119526091027074,0,69.69791962462007,56,0.0025662396051867598,1311.0,40,0.0,0.05886037647176631,0.9093863694975206
[[0.0034367]],2.6504,500.0,0.7523159425960344,2.735430467038049,0.0,0.9153893042162202,0,72.00805510496726,57,0.0034366951135128554,1325.2,40,0.0,0.05600999170460876,0.9119526091027074
[[0.00321161]],2.6636,500.0,0.8045730279771561,2.7381079306703744,0.0,0.9186009185846725,0,74.08481625812404,58,0.003211614368452298,1331.8,40,0.0,0.05310557975294216,0.9153893042162202
[[0.00378601]],2.665,500.0,0.8996916682974643,2.7516858468945906,0.0,0.9223869269265984,0,86.11823268042605,59,0.003786008341925884,1332.5,40,0.0,0.05002636751133793,0.9186009185846725
[[0.00385247]],2.6852,500.0,0.879984495704413,2.7498547161622917,0.0,0.9262393985011264,0,63.181009805162184,60,0.003852471574527949,1342.6,40,0.0,0.04717878659838093,0.9223869269265984
[[0.00355833]],2.7246,500.0,0.8762958735415012,2.7921595298263315,0.0,0.9297977240082416,0,66.12798197435032,61,0.003558325507115212,1362.3,40,0.0,0.0444966808724698,0.9262393985011264
[[0.00267503]],2.7189,500.0,0.8435308600727964,2.7859258407215366,0.0,0.9324727518886311,0,65.02151566981502,62,0.0026750278803895355,1359.45,40,0.0,0.04205263450004214,0.9297977240082416
[[0.00282069]],2.7017,500.0,0.8611321155189273,2.773196190319033,0.0,0.9352934397283958,0,69.26887829321332,63,0.002820687839764746,1350.85,40,0.0,0.03969026054488987,0.9324727518886311
[[0.0029357]],2.706,500.0,0.8358030917057135,2.7730063108474887,0.0,0.9382291423578564,0,60.00166664351916,64,0.0029357026294605237,1353.0,40,0.0,0.03751938247637092,0.9352934397283958
[[0.0026591]],2.7246,500.0,0.8677189122577289,2.7983128559901944,0.0,0.940888243036203,0,78.83977422595781,65,0.0026591006783466264,1362.3,40,0.0,0.035386517913916726,0.9382291423578564
[[0.00292929]],2.7566,500.0,0.8666048113222118,2.8206305039831077,0.0,0.9438175341118695,0,71.95908559730313,66,0.002929291075666529,1378.3,40,0.0,0.03337321222331507,0.940888243036203
