TimestepsMean,ReturnsStd,NormDeltaVar,Omega,ITERATIONS,DeltaOmega,ReturnsMean,RewardMean,RewardStd,ConfortViolation,TimestepsStd,OmegaBefore,Wins,NormDeltaOmega,Theta,Traj
500.0,78.34664957737503,0.9346839539719554,0.054376356763695934,54,[[-0.00346084]],4316.95,8.6339,3.2449916471387104,0,0.0,0.057837200470911,0.0,0.0034608437072150694,0.9776332086513496,40
500.0,92.7747810560607,0.8915255178325339,0.0511144633306952,55,[[-0.00326189]],4354.8,8.7096,3.1685434887342168,0,0.0,0.054376356763695934,0.0,0.0032618934330007343,0.9789579117033482,40
500.0,108.9443780100653,0.8941030012835895,0.04807128861818883,56,[[-0.00304317]],4365.85,8.7317,3.147954114976901,0,0.0,0.0511144633306952,0.0,0.003043174712506369,0.9802092463441078,40
500.0,98.51211854386241,0.910878282938576,0.045265919667197126,57,[[-0.00280537]],4449.75,8.8995,2.964236790474067,0,0.0,0.04807128861818883,0.0,0.0028053689509917046,0.9814090182867153,40
500.0,84.11003210081424,0.8768401568392861,0.042646287642785594,58,[[-0.00261963]],4457.95,8.9159,2.947291500683297,0,0.0,0.045265919667197126,0.0,0.002619632024411532,0.982496424234788,40
500.0,78.88669089269749,0.851809617594931,0.04021856597416215,59,[[-0.00242772]],4473.3,8.9466,2.9100426869721345,0,0.0,0.042646287642785594,0.0,0.002427721668623442,0.9834928733867423,40
500.0,81.11780014275536,0.8307047424180212,0.03796825615381507,60,[[-0.00225031]],4501.55,9.0031,2.841124845901707,0,0.0,0.04021856597416215,0.0,0.002250309820347081,0.9844108398568128,40
500.0,73.18468077405271,0.8138808711424943,0.03589322119337407,61,[[-0.00207503]],4543.45,9.0869,2.733870587646752,0,0.0,0.03796825615381507,0.0,0.002075034960441001,0.9852614304497193,40
500.0,67.91104475709382,0.7855692729272477,0.0339752738906195,62,[[-0.00191795]],4565.3,9.1306,2.675171702900582,0,0.0,0.03589322119337407,0.0,0.0019179473027545677,0.9860390117080925,40
500.0,76.90123536068846,0.7727373269936919,0.03218684857978482,63,[[-0.00178843]],4569.0,9.138,2.6641614065217594,0,0.0,0.0339752738906195,0.0,0.0017884253108346806,0.9867643935240218,40
500.0,65.19662567955493,0.7545790022703116,0.030535880825734264,64,[[-0.00165097]],4599.0,9.198,2.5799217042383282,0,0.0,0.03218684857978482,0.0,0.0016509677540505578,0.987436807245357,40
500.0,76.0255055885852,0.7551262663488743,0.028991849309672676,65,[[-0.00154403]],4594.15,9.1883,2.594868611317344,0,0.0,0.030535880825734264,0.0,0.001544031516061587,0.9880759242392722,40
500.0,74.93537215494429,0.7417204523244365,0.027540949635940365,66,[[-0.0014509]],4637.3,9.2746,2.465561769658185,0,0.0,0.028991849309672676,0.0,0.0014508996737323115,0.9886723959228916,40
