NormDeltaVar,ITERATIONS,ReturnsMean,Wins,Traj,NormDeltaOmega,RewardStd,ConfortViolation,OmegaBefore,TimestepsMean,ReturnsStd,DeltaOmega,Theta,RewardMean,Omega,TimestepsStd
0.986661352217773,71,4312.75,0.0,40,0.0026411854288471218,3.2540051859208834,0,0.03816666524534014,500.0,116.21246705926175,[[-0.00264119]],0.9619022147992823,8.6255,0.03552547981649302,0.0
0.9630304178637985,72,4365.05,0.0,40,0.0024175333186700274,3.1485796782041264,0,0.03552547981649302,500.0,87.81000797175683,[[-0.00241753]],0.9642971431569021,8.7301,0.03310794649782299,0.0
0.9306062468542606,73,4398.55,0.0,40,0.0022026050877976613,3.078251385121105,0,0.03310794649782299,500.0,79.36370392062105,[[-0.00220261]],0.9664732895818305,8.7971,0.03090534141002533,0.0
0.9165623314469613,74,4438.45,0.0,40,0.0019882041419370736,2.9898572524453404,0,0.03090534141002533,500.0,82.30490568611326,[[-0.0019882]],0.9684911406002733,8.8769,0.028917137268088255,0.0
0.9011358166195791,75,4461.65,0.0,40,0.0018208682262609577,2.9381145501835015,0,0.028917137268088255,500.0,83.78291890355695,[[-0.00182087]],0.9703602228750192,8.9233,0.027096269041827298,0.0
0.8686110607974058,76,4500.05,0.0,40,0.00166205421747,2.843659612189898,0,0.027096269041827298,500.0,60.80869592418505,[[-0.00166205]],0.9720598555792814,9.0001,0.025434214824357298,0.0
0.8427401541843835,77,4513.7,0.0,40,0.0015666224092962984,2.8101333135636106,0,0.025434214824357298,500.0,87.83797584188743,[[-0.00156662]],0.9736181952188765,9.0274,0.023867592415061,0.0
0.8198201165095469,78,4563.75,0.0,40,0.0014521489906923202,2.6786085473618573,0,0.023867592415061,500.0,77.06255575829289,[[-0.00145215]],0.9750528497837907,9.1275,0.02241544342436868,0.0
0.8026038177146333,79,4579.85,0.0,40,0.0013286793191177697,2.6353170416479306,0,0.02241544342436868,500.0,70.76918467807863,[[-0.00132868]],0.9763836043754673,9.1597,0.02108676410525091,0.0
0.786146525850917,80,4622.15,0.0,40,0.0012152872880987833,2.5127509844789637,0,0.02108676410525091,500.0,65.42841508091114,[[-0.00121529]],0.977619808753955,9.2443,0.019871476817152126,0.0
