Traj,Omega,NormDeltaVar,ReturnsStd,NormDeltaOmega,RewardMean,DeltaOmega,RewardStd,Theta,OmegaBefore,Wins,ITERATIONS,TimestepsMean,TimestepsStd,ReturnsMean,ConfortViolation
40,0.9447766904536696,0.7809562432175952,64.89836284529834,0.0007199319314250552,2.5821,[[0.00071993]],2.6653629377628856,0.12652945936588403,0.9440567585222446,0.0,26,500.0,0.0,1291.05,0
40,0.9459069072806902,0.7915615337545496,71.42672819050303,0.0011302168270205248,2.5617,[[0.00113022]],2.641418768389442,0.12053129529503934,0.9447766904536696,0.0,27,500.0,0.0,1280.85,0
40,0.9467883987577009,0.8192604668123415,56.288897661972385,0.0008814914770107762,2.5952,[[0.00088149]],2.6756937343425538,0.11458325234536396,0.9459069072806902,0.0,28,500.0,0.0,1297.6,0
40,0.9479318348413031,0.8068762483755947,62.10344193359978,0.001143436083602123,2.6085,[[0.00114344]],2.684907400637869,0.10897654078000797,0.9467883987577009,0.0,29,500.0,0.0,1304.25,0
40,0.9495330457400397,0.8023869437451125,60.61278742971651,0.0016012108987366602,2.6286,[[0.00160121]],2.7081473445881774,0.10364125942467896,0.9479318348413031,0.0,30,500.0,0.0,1314.3,0
40,0.951455664854507,0.7962892152988807,64.30923339614615,0.0019226191144673388,2.6243,[[0.00192262]],2.7095478423530373,0.09857621862790145,0.9495330457400397,0.0,31,500.0,0.0,1312.15,0
40,0.9535737366133974,0.7853839620491456,70.04311172413745,0.0021180717588903386,2.6835,[[0.00211807]],2.7516227484886078,0.093797692096502,0.951455664854507,0.0,32,500.0,0.0,1341.75,0
40,0.9558584986472048,0.7824295346797072,63.29136986983296,0.0022847620338074526,2.6429,[[0.00228476]],2.722366542183473,0.08924468576403555,0.9535737366133974,0.0,33,500.0,0.0,1321.45,0
40,0.9578477947512498,0.7767451972130459,69.9997142851312,0.0019892961040449686,2.6556,[[0.0019893]],2.7403263747225437,0.08492289836188147,0.9558584986472048,0.0,34,500.0,0.0,1327.8,0
40,0.9597142891049231,0.7783008430648195,78.32545882406308,0.0018664943536732537,2.6707,[[0.00186649]],2.7531729894795935,0.08078374667918259,0.9578477947512498,0.0,35,500.0,0.0,1335.35,0
40,0.9615475308754747,0.7608080618963271,72.19272816565392,0.0018332417705516635,2.7402,[[0.00183324]],2.8056557094554564,0.07691629381596328,0.9597142891049231,0.0,36,500.0,0.0,1370.1,0
40,0.9635357244123064,0.80815354776405,77.880661912955,0.0019881935368316617,2.6979,[[0.00198819]],2.7642604056058104,0.07299466727604564,0.9615475308754747,0.0,37,500.0,0.0,1348.95,0
40,0.9653581449232801,0.7715654209926797,62.6026956288625,0.001822420510973699,2.7241,[[0.00182242]],2.7961901205032538,0.06942326415978595,0.9635357244123064,0.0,38,500.0,0.0,1362.05,0
40,0.9671063582169878,0.7016782524726111,66.00134468327141,0.0017482132937076678,2.7217,[[0.00174821]],2.7969535409083934,0.0663164252521043,0.9653581449232801,0.0,39,500.0,0.0,1360.85,0
40,0.9688685124543575,0.7028224348913028,69.0991859575784,0.0017621542373696952,2.7431,[[0.00176215]],2.811405767583185,0.06333440896237076,0.9671063582169878,0.0,40,500.0,0.0,1371.55,0
40,0.9706214755522935,0.6813638391585215,68.20586485046576,0.0017529630979360444,2.7632,[[0.00175296]],2.8108229684560357,0.06056320408494195,0.9688685124543575,0.0,41,500.0,0.0,1381.6,0
40,0.9723609810123023,0.6271015174682617,81.10092477894442,0.0017395054600087834,2.7356,[[0.00173951]],2.7996593792817013,0.05811331667869933,0.9706214755522935,0.0,42,500.0,0.0,1367.8,0
40,0.9739519462242495,0.6240836914336327,68.79053350570847,0.0015909652119472373,2.7935,[[0.00159097]],2.847623175562384,0.05576777245384348,0.9723609810123023,0.0,43,500.0,0.0,1396.75,0
40,0.9753217579449636,0.6085117271591045,68.61251707961165,0.0013698117207140426,2.7843,[[0.00136981]],2.844973375973842,0.05356675470540821,0.9739519462242495,0.0,44,500.0,0.0,1392.15,0
40,0.9766603913233967,0.5583542929089731,70.83353725460843,0.0013386333784330962,2.8002,[[0.00133863]],2.850417506261144,0.05161948393567017,0.9753217579449636,0.0,45,500.0,0.0,1400.1,0
40,0.9778282264986163,0.6259194309224796,71.37023188977321,0.001167835175219678,2.7714,[[0.00116784]],2.8405179175636266,0.04951621205282634,0.9766603913233967,0.0,46,500.0,0.0,1385.7,0
40,0.9787658549008429,0.6393835911002554,95.4580405204297,0.0009376284022265535,2.8275,[[0.00093763]],2.8662595398881794,0.04745172884347547,0.9778282264986163,0.0,47,500.0,0.0,1413.75,0
40,0.9797420484216091,0.6311866016470589,73.37014038421897,0.0009761935207661665,2.7983,[[0.00097619]],2.857081922171641,0.04549411261097128,0.9787658549008429,0.0,48,500.0,0.0,1399.15,0
40,0.980799270083805,0.6038983735081089,91.66841058947188,0.0010572216621959063,2.8209,[[0.00105722]],2.86669202915137,0.0436933055290402,0.9797420484216091,0.0,49,500.0,0.0,1410.45,0
40,0.9818378518496848,0.6350175488440897,65.78903784066158,0.001038581765879787,2.8309,[[0.00103858]],2.879410562945132,0.04187316480770737,0.980799270083805,0.0,50,500.0,0.0,1415.45,0
40,0.98289696814035,0.6060775603850956,71.89740954999701,0.0010591162906652407,2.8315,[[0.00105912]],2.879167891943782,0.040203762229993244,0.9818378518496848,0.0,51,500.0,0.0,1415.75,0
40,0.9837258290138019,0.5357748281531514,73.08077722629939,0.0008288608734519087,2.84,[[0.00082886]],2.883470131629596,0.03878126713298113,0.98289696814035,0.0,52,500.0,0.0,1420.0,0
40,0.9843122685581775,0.49524105844068345,74.75745782194576,0.0005864395443756498,2.8723,[[0.00058644]],2.9117851414553235,0.037509442927056255,0.9837258290138019,0.0,53,500.0,0.0,1436.15,0
40,0.984733129583901,0.5426981739576533,66.70605294873921,0.0004208610257234735,2.8191,[[0.00042086]],2.8757738419423733,0.03616178990490513,0.9843122685581775,0.0,54,500.0,0.0,1409.55,0
40,0.985086125098398,0.5432122836118722,66.34815370453047,0.00035299551449696764,2.8283,[[0.000353]],2.8855015352621107,0.034859591346062105,0.984733129583901,0.0,55,500.0,0.0,1414.15,0
40,0.9855148278627738,0.509238913288776,67.22321027740344,0.0004287027643757879,2.8256,[[0.0004287]],2.876383952117658,0.033679962714011594,0.985086125098398,0.0,56,500.0,0.0,1412.8,0
40,0.9858887402640896,0.5372913971946005,93.96382282559603,0.0003739124013157902,2.85,[[0.00037391]],2.8949438681950297,0.032477146250654065,0.9855148278627738,0.0,57,500.0,0.0,1425.0,0
40,0.9862816741134263,0.5145087758546509,83.99510402398464,0.0003929338493366963,2.8983,[[0.00039293]],2.926099299408685,0.031364308278456085,0.9858887402640896,0.0,58,500.0,0.0,1449.15,0
40,0.9866308479271673,0.49635385995677694,70.49617010873712,0.00034917381374099943,2.8866,[[0.00034917]],2.9124457831863584,0.030325756553862274,0.9862816741134263,0.0,59,500.0,0.0,1443.3,0
40,0.9869030454874029,0.5014278832177013,70.1126949988374,0.0002721975602356652,2.8562,[[0.0002722]],2.901744571805038,0.02931044586873923,0.9866308479271673,0.0,60,500.0,0.0,1428.1,0
40,0.987080807872962,0.4961243294549291,73.93130257204994,0.0001777623855591104,2.9075,[[0.00017776]],2.934594307566209,0.028338355518278617,0.9869030454874029,0.0,61,500.0,0.0,1453.75,0
40,0.9872431325478451,0.4836658301129404,83.02817292943402,0.00016232467488308533,2.8747,[[0.00016232]],2.9198458709322317,0.027420843160766158,0.987080807872962,0.0,62,500.0,0.0,1437.35,0
40,0.9873890152037724,0.4925008805995077,84.2739431853049,0.00014588265592729854,2.9081,[[0.00014588]],2.9322950721235403,0.026516257077930223,0.9872431325478451,0.0,63,500.0,0.0,1454.05,0
40,0.9875156890476263,0.4312878718757034,62.810747487989666,0.00012667384385389724,2.8558,[[0.00012667]],2.901173273005251,0.02574799464017069,0.9873890152037724,0.0,64,500.0,0.0,1427.9,0
40,0.9875811579037009,0.40588534204497506,76.83213845780944,6.546885607461306e-05,2.8847,[[6.54688561e-05]],2.9219010780654435,0.025044801698860312,0.9875156890476263,0.0,65,500.0,0.0,1442.35,0
40,0.9875862111731797,0.40957913284618286,65.87106724503558,5.053269478749733e-06,2.8731,[[5.05326948e-06]],2.913879954630939,0.024354188634097818,0.9875811579037009,0.0,66,500.0,0.0,1436.55,0
