epsilon,J,primal
1.510099999999999998e+00,3.009373737373737256e+00,8.000000000000440536e+00
1.530100000000000016e+00,3.028161616161616276e+00,8.015283839226887252e+00
1.550100000000000033e+00,3.038181818181818095e+00,8.032470698730755032e+00
1.570100000000000051e+00,3.034222222222222154e+00,8.059157271262082034e+00
1.590100000000000069e+00,3.025333333333334096e+00,8.055286311812421829e+00
1.610100000000000087e+00,3.035919191919191906e+00,8.086827375807418505e+00
1.630100000000000104e+00,3.026060606060605895e+00,8.098706389065759126e+00
1.650100000000000122e+00,3.021939393939394147e+00,8.104814040394776598e+00
1.670100000000000140e+00,3.023070707070706575e+00,8.114950875734768587e+00
1.690099999999999936e+00,3.024404040404039762e+00,8.152817097755191256e+00
1.710099999999999953e+00,3.021292929292929585e+00,8.126472031151223518e+00
1.730099999999999971e+00,3.033454545454545404e+00,8.156739658960411532e+00
1.750099999999999989e+00,3.026181818181818084e+00,8.156352149889121605e+00
1.770100000000000007e+00,3.032686868686868653e+00,8.192678588765179626e+00
1.790100000000000025e+00,3.019676767676767515e+00,8.178676596585008340e+00
1.810100000000000042e+00,3.016808080808080827e+00,8.193654258697598891e+00
1.830100000000000060e+00,3.026262626262626210e+00,8.224409781756742532e+00
1.850100000000000078e+00,3.022181818181818080e+00,8.227407803631576755e+00
1.870100000000000096e+00,3.045939393939394169e+00,8.236682699339862523e+00
1.890100000000000113e+00,3.024525252525253283e+00,8.294573996329379639e+00
1.910100000000000131e+00,3.023838383838383770e+00,8.286004358683388915e+00
1.930099999999999927e+00,3.018707070707070006e+00,8.298422933401845114e+00
1.950099999999999945e+00,3.023474747474746760e+00,8.376794733768932133e+00
1.970099999999999962e+00,3.024242424242423510e+00,8.362493469148203573e+00
1.990099999999999980e+00,3.020484848484848328e+00,8.450090990912618949e+00
