Iterations,Theta_mean,Theta_std,Theta_low,Theta_sup, Omega_mean,Omega_std,Omega_low,Omega_sup,Ret_mean,Ret_std,Rets_low,Rets_sup
1.000000000000000000e+01,5.087418813222085445e-01,6.357845838504527086e-03,5.041937523946524724e-01,5.132900102497646166e-01,4.912581163339588275e-01,6.357840093113760645e-03,4.867099915164077584e-01,4.958062411515098966e-01,1.288420000000000073e+03,1.785462405092863492e+01,1.275647571381981379e+03,1.301192428618018766e+03
1.100000000000000000e+01,5.060614490486816663e-01,4.310045504484367671e-03,5.029782282320789388e-01,5.091446698652843939e-01,4.939385484328313036e-01,4.310029260228799390e-03,4.908553392366689638e-01,4.970217576289936434e-01,1.296579999999999927e+03,2.406548565892652292e+01,1.279364588638784198e+03,1.313795411361215656e+03
1.200000000000000000e+01,5.088181410628964674e-01,6.190221900000737222e-03,5.043899230773520870e-01,5.132463590484408478e-01,4.911818357245020250e-01,6.190254553124487254e-03,4.867535943803200649e-01,4.956100770686839851e-01,1.302240000000000009e+03,2.113022479766840078e+01,1.287124347766657593e+03,1.317355652233342425e+03
1.300000000000000000e+01,5.089312129030656440e-01,5.203896869149544392e-03,5.052085693398545851e-01,5.126538564662767028e-01,4.910687904167868045e-01,5.204005239575656451e-03,4.873460693300429858e-01,4.947915115035306233e-01,1.294839999999999918e+03,1.766030577311729743e+01,1.282206578303966353e+03,1.307473421696033483e+03
1.400000000000000000e+01,5.073486133987803459e-01,4.708873671929880364e-03,5.039800880983070774e-01,5.107171386992536144e-01,4.926514280149433822e-01,4.707830199178089474e-03,4.892836491699092405e-01,4.960192068599775239e-01,1.284899999999999636e+03,2.106983625944921101e+01,1.269827547124512648e+03,1.299972452875486624e+03
1.500000000000000000e+01,5.051996354711539849e-01,5.295672258988978233e-03,5.014113397490247426e-01,5.089879311932832273e-01,4.947992732235328983e-01,5.299149478383702837e-03,4.910084900484961712e-01,4.985900563985696254e-01,1.280599999999999909e+03,2.708283589286765292e+01,1.261226106311256899e+03,1.299973893688742919e+03
1.600000000000000000e+01,5.837166484001576894e-01,2.318433589855465604e-01,4.178659004506056762e-01,7.495673963497097025e-01,4.157976405009021770e-01,2.340775634776607605e-01,2.483486389386059812e-01,5.832466420631983173e-01,1.282519999999999982e+03,4.952722079826406087e+01,1.247090360569323821e+03,1.317949639430676143e+03
1.700000000000000000e+01,6.952353892897810139e-01,3.028188227195778293e-01,4.786118532049033480e-01,9.118589253746587353e-01,3.685333540354486792e-01,2.959766199099915784e-01,1.568044349823366213e-01,5.802622730885607094e-01,1.305500000000000227e+03,5.610171120384834609e+01,1.265367253454570573e+03,1.345632746545429882e+03
1.800000000000000000e+01,6.956050434848305430e-01,3.059870022707680270e-01,4.767151282787112088e-01,9.144949586909498773e-01,3.656054815905889765e-01,2.983135592466090724e-01,1.522048168442353688e-01,5.790061463369425843e-01,1.322619999999999891e+03,5.156351035373757696e+01,1.285733686773296768e+03,1.359506313226703014e+03
1.900000000000000000e+01,6.982455891945732462e-01,3.043933636617730532e-01,4.804956943729911112e-01,9.159954840161553813e-01,3.608422534835447060e-01,2.960752901105401791e-01,1.490427500210584899e-01,5.726417569460309220e-01,1.327639999999999645e+03,6.428840019785839388e+01,1.281650848945819007e+03,1.373629151054180284e+03
