DeltaOmega,OmegaBefore,ITERATIONS,NormDeltaVar,ReturnsMean,Primal,DualAfter,DualReg,WeightMin,ConfortViolation,WeightMedian,TimestepsMean,ReturnsStd,Epsilon,DualBefore,Traj,NormDeltaOmega,Eta,Wins,TimestepsStd,Omega,RewardStd,WeightMean,WeightMax,LossReg,RewardMean
[[0.]],[[0.99999999]],10,0.0,1504.3636363636363,8.000000000000242,8.002107756488934,0.0,0.0,0,0.0,500.0,85.33350550946818,1.8601,8.4828123752449,100,0.0,0.00441360817919087,0.0,0.0,[[0.99999999]],3.0031645791731094,0.0,1.0,0.0,3.00652
[[0.]],[[0.99999999]],11,0.0,1502.6666666666667,7.999999999999682,8.002116160253015,0.0,0.0,0,0.0,500.0,75.07464299083959,1.8601,8.485405599464427,100,0.0,0.004406966418333995,0.0,0.0,[[0.99999999]],3.0078739718279417,0.0,1.0,0.0,3.00736
[[0.]],[[0.99999999]],12,0.0,1511.090909090909,7.999999999999696,8.00214358339568,0.0,0.0,0,0.0,500.0,73.54145273851154,1.8601,8.493973131416672,100,0.0,0.004385287861731504,0.0,0.0,[[0.99999999]],3.0155065102897725,0.0,1.0,0.0,3.02192
[[0.]],[[0.99999999]],13,0.0,1496.7878787878788,8.000000000000153,8.002088019510538,0.0,0.0,0,0.0,500.0,77.04691902901827,1.8601,8.476692154636629,100,0.0,0.0044293748639600795,0.0,0.0,[[0.99999999]],2.998874710553944,0.0,1.0,0.0,2.99448
[[0.]],[[0.99999999]],14,0.0,1485.79797979798,7.999999999999408,8.00203190873848,0.0,0.0,0,0.0,500.0,81.27344787353442,1.8601,8.459520643696559,100,0.0,0.004474657161572436,0.0,0.0,[[0.99999999]],2.9810125528081897,0.0,1.0,0.0,2.9696
[[0.]],[[0.99999999]],15,0.0,1501.979797979798,8.000000000000185,8.002094187288815,0.0,0.0,0,0.0,500.0,85.60019586001144,1.8601,8.478615923512411,100,0.0,0.004424412342475481,0.0,0.0,[[0.99999999]],2.9983193348274293,0.0,1.0,0.0,3.00108
[[0.]],[[0.99999999]],16,0.0,1500.5252525252524,7.999999999999476,8.002098047671714,0.0,0.0,0,0.0,500.0,79.99372998590229,1.8601,8.479793372030946,100,0.0,0.004421360291788719,0.0,0.0,[[0.99999999]],3.0015729143234218,0.0,1.0,0.0,2.9998
[[0.]],[[0.99999999]],17,0.0,1501.858585858586,7.999999999999823,8.00211005492172,0.0,0.0,0,0.0,500.0,78.92830272936052,1.8601,8.483517275205951,100,0.0,0.004411796825297049,0.0,0.0,[[0.99999999]],3.004923213394978,0.0,1.0,0.0,3.00604
[[0.]],[[0.99999999]],18,0.0,1490.909090909091,7.999999999999566,8.002056514962993,0.0,0.0,0,0.0,500.0,87.70025752459695,1.8601,8.467026307212231,100,0.0,0.004454685768839795,0.0,0.0,[[0.99999999]],2.987734499315493,0.0,1.0,0.0,2.98204
[[0.]],[[0.99999999]],19,0.0,1499.0707070707072,7.999999999999764,8.002093168863084,0.0,0.0,0,0.0,500.0,74.92019356989512,1.8601,8.47828471306915,100,0.0,0.004425254389941353,0.0,0.0,[[0.99999999]],3.0001055725424064,0.0,1.0,0.0,2.99744
