OmegaBefore,WeightMin,Epsilon,NormDeltaOmega,Eta,WeightMedian,RewardStd,DualReg,ReturnsMean,WeightMax,DualAfter,DeltaOmega,TimestepsStd,Traj,ReturnsStd,Omega,WeightMean,RewardMean,NormDeltaVar,ITERATIONS,ConfortViolation,Primal,Wins,TimestepsMean,LossReg,DualBefore
[[0.99044917]],0.0014098045267177783,1.2001,0.0011499612563941053,1.5233907004159009,0.005239949730093273,2.95870803263857,0.0,1467.3535353535353,1.0,7.721989617966553,[[-0.00114996]],0.0,100,80.37630098622697,[[0.9892992]],0.0014098045267177783,2.93576,1.6407329455588524,10,0,7.721989926879815,0.0,500.0,0.0,7.777899473624469
[[0.9892992]],0.0014336525350022683,1.2001,0.0001506606676220379,1.527293528577185,0.005310741046294235,2.956901372450559,0.0,1467.79797979798,1.0,7.7203693259039685,[[-0.00015066]],0.0,100,80.60753903608607,[[0.98914854]],0.0014336525350022683,2.93356,0.20190711012865847,11,0,7.720369662845526,0.0,500.0,0.0,7.777670479674812
[[0.98914854]],0.001437371175547049,1.2001,0.00014335251471042643,1.5278980261214734,0.0053217582875464305,2.9538714173775404,0.0,1467.6161616161617,1.0,7.717774504213534,[[-0.00014335]],0.0,100,79.751470911448,[[0.98900519]],0.001437371175547049,2.93364,0.18955542043681817,12,0,7.717774846591524,0.0,500.0,0.0,7.775210823686441
[[0.98900519]],0.0014420370655408516,1.2001,0.00010127879367016757,1.528654973119932,0.005335573891609591,2.9556817146641485,0.0,1464.5858585858587,1.0,7.716941432400413,[[0.00010128]],0.0,100,72.56971710310332,[[0.98910647]],0.0014420370655408516,2.92996,0.13366569036553244,13,0,7.716941774186857,0.0,500.0,0.0,7.774415832156424
[[0.98910647]],0.0015408786702208262,1.2001,0.000752638611806633,1.544305556524264,0.0056261946672641885,2.9432814663908715,0.0,1457.939393939394,1.0,7.6999763253089615,[[-0.00075264]],0.0,100,80.11781957700862,[[0.98835383]],0.0015408786702208262,2.91436,0.9652776576740294,14,0,7.6999767811852715,0.0,500.0,0.0,7.762361188677323
[[0.98835383]],0.0015108134218748159,1.2001,0.0001051808531166154,1.539620497688957,0.005538200410902161,2.9447671715094894,0.0,1460.4242424242425,1.0,7.70434027757815,[[0.00010518]],0.0,100,75.31336432963475,[[0.98845901]],0.0015108134218748159,2.92084,0.13112592156032576,15,0,7.704340701151983,0.0,500.0,0.0,7.7653076400344
[[0.98845901]],0.001444891467844825,1.2001,0.0005944350855647818,1.5291172046171906,0.005344021309513056,2.9551722551485895,0.0,1466.7070707070707,1.0,7.717771657479547,[[0.00059444]],0.0,100,76.70871739080556,[[0.98905345]],0.001444891467844825,2.93132,0.7640209425831088,16,0,7.717772005825564,0.0,500.0,0.0,7.775566668416543
[[0.98905345]],0.005236636152254371,1.2001,0.00022746529598038912,1.5232072208463392,0.019466563901730276,2.9579892153961613,0.0,1467.878787878788,1.0,7.720618359569597,[[0.00022747]],0.0,100,79.38695319713878,[[0.98928091]],0.005236636152254371,2.93504,0.3032645732215542,17,0,7.720618665311311,0.0,500.0,0.0,7.7763426821545005
[[0.98928091]],0.0049599147546512505,1.2001,0.0005892909248139677,1.5076229018203566,0.018689843262546246,2.9674801701106612,0.0,1475.3131313131314,1.0,7.735320190775671,[[0.00058929]],0.0,100,86.82370928631927,[[0.9898702]],0.0049599147546512505,2.9512,0.8162899354191921,18,0,7.735320409961585,0.0,500.0,0.0,7.786569063912534
[[0.9898702]],0.0014746468216457998,1.2001,0.0011558512532251486,1.5338983652613667,0.005431883105025334,2.948694924877784,0.0,1463.939393939394,1.0,7.710156504426136,[[-0.00115585]],0.0,100,70.76234491746688,[[0.98871435]],0.0014746468216457998,2.9268,1.560270643004742,19,0,7.710156886448344,0.0,500.0,0.0,7.7693213051642545
