RewardMean,TimestepsStd,ConfortViolation,DeltaOmega,Traj,ITERATIONS,Wins,RewardStd,TimestepsMean,Omega,NormDeltaVar,OmegaBefore,NormDeltaOmega,ReturnsMean,ReturnsStd
9.40892825867033,0.0,0,-0.02203713054074763,250,975,100.0,0.036399693887866985,201.0,3.3881201122801876,0.11605515597702848,3.4101572428209352,0.02203713054074763,1891.1945799927362,1.3487954641079352
9.416404801573071,0.0,0,-0.01830472489867585,250,976,100.0,0.036576740577888206,201.0,3.3698153873815118,0.08452666885895334,3.3881201122801876,0.01830472489867585,1892.6973651161875,1.3537115466363372
9.421671522185726,0.0,0,-0.013122968509670319,250,977,100.0,0.03647116152327921,201.0,3.3566924188718414,0.08819908597403683,3.3698153873815118,0.013122968509670319,1893.755975959331,1.420229211446805
9.427362524034303,0.0,0,-0.022124695876285738,250,978,100.0,0.03599986493863726,201.0,3.3345677229955557,0.07705787372319488,3.3566924188718414,0.022124695876285738,1894.8998673308947,1.3936285579872174
9.434329499702612,0.0,0,-0.03951640428273473,250,979,100.0,0.03622717920906411,201.0,3.295051318712821,0.05874728692367397,3.3345677229955557,0.03951640428273473,1896.3002294402254,1.5310273117109638
9.44712917935835,0.0,0,-0.03358139048578801,250,980,100.0,0.0358198939276792,201.0,3.261469928227033,0.053104982891346186,3.295051318712821,0.03358139048578801,1898.8729650510288,1.5470296140880204
9.457935834730838,0.0,0,-0.014532701725879171,250,981,100.0,0.0360358406563045,201.0,3.246937226501154,0.045702501249786975,3.261469928227033,0.014532701725879171,1901.045102780898,1.6529930355630689
9.462776726570889,0.0,0,0.004818900718092767,250,982,100.0,0.03542647880705595,201.0,3.2517561272192466,0.057353351364204934,3.246937226501154,0.004818900718092767,1902.0181220407483,1.563442014530849
9.46142656993177,0.0,0,0.014422451678551607,250,983,100.0,0.03539479830774334,201.0,3.266178578897798,0.04670087906835256,3.2517561272192466,0.014422451678551607,1901.7467405562857,1.4788482675379686
9.457332718970381,0.0,0,0.016218699790533364,250,984,100.0,0.03504585168255088,201.0,3.2823972786883315,0.023744159094960166,3.266178578897798,0.016218699790533364,1900.9238765130467,1.2769821355237025
9.451861957312962,0.0,0,-0.005025539435490334,250,985,100.0,0.035263324137005704,201.0,3.277371739252841,0.040183929340439156,3.2823972786883315,0.005025539435490334,1899.8242534199057,1.3560027062719378
9.452363956349759,0.0,0,0.007049700217958588,250,986,100.0,0.035490421201133125,201.0,3.2844214394708,0.06607036059914409,3.277371739252841,0.007049700217958588,1899.925155226302,1.4404411120853755
9.450283340783104,0.0,0,-0.0034390070079326485,250,987,100.0,0.03577398922073531,201.0,3.280982432462867,0.07320158821265896,3.2844214394708,0.0034390070079326485,1899.5069514974034,1.6523731034317732
9.451643839447796,0.0,0,0.007854629498676324,250,988,100.0,0.03567632297496495,201.0,3.2888370619615435,0.04823557887120675,3.280982432462867,0.007854629498676324,1899.780411729007,1.5336653562754794
9.449241820677084,0.0,0,0.0009432045334101247,250,989,100.0,0.035399232581987905,201.0,3.2897802664949536,0.06885469994789119,3.2888370619615435,0.0009432045334101247,1899.2976059560938,1.417379825260041
9.44742282233771,0.8205461595790938,0,0.003292579211651603,250,990,99.6,0.05584319645622163,200.948,3.293072845706605,0.06207252073285575,3.2897802664949536,0.003292579211651603,1898.4407213031188,9.116001628125774
9.446822724401484,0.0,0,-0.013114409541319816,250,991,100.0,0.03607451355781035,201.0,3.2799584361652854,0.09205199291321524,3.293072845706605,0.013114409541319816,1898.811367604698,1.5474837475019683
9.450258959044623,0.0,0,-0.013488209893461,250,992,100.0,0.0365270101800768,201.0,3.2664702262718244,0.05530859486296125,3.2799584361652854,0.013488209893461,1899.5020507679699,1.634313118991293
9.454745290513781,0.0,0,-0.00899698368639168,250,993,100.0,0.03617851730748502,201.0,3.2574732425854327,0.06629107981567928,3.2664702262718244,0.00899698368639168,1900.4038033932698,1.7322612200622407
9.45686608601313,0.0,0,-0.0180172038721782,250,994,100.0,0.03635668811927445,201.0,3.2394560387132545,0.08135616702096922,3.2574732425854327,0.0180172038721782,1900.8300832886393,1.6268191685798983
9.463311338794233,0.0,0,-0.015851001227687345,250,995,100.0,0.0359140178191534,201.0,3.223605037485567,0.07437096916447382,3.2394560387132545,0.015851001227687345,1902.1255790976404,1.600629672253399
9.466825645502155,0.0,0,-0.021572753620121787,250,996,100.0,0.036993991935889745,201.0,3.2020322838654454,0.07044458533634225,3.223605037485567,0.021572753620121787,1902.831954745933,2.018024633039849
9.4738423199331,0.0,0,-0.02003854364562363,250,997,100.0,0.03673292821943651,201.0,3.1819937402198217,0.08605454416419618,3.2020322838654454,0.02003854364562363,1904.242306306553,1.9345921725140411
9.479989137594846,0.0,0,0.002380162578456968,250,998,100.0,0.03682595605341158,201.0,3.1843739027982787,0.08047517652213118,3.1819937402198217,0.002380162578456968,1905.4778166565638,1.9844276568655732
9.478680058180489,0.0,0,-0.00819970713769358,250,999,100.0,0.03746016572420706,201.0,3.176174195660585,0.07995807706519265,3.1843739027982787,0.00819970713769358,1905.2146916942784,2.2140914055231993
9.480718055787488,0.0,0,-0.008755782210006391,250,1000,100.0,0.036524443748889544,201.0,3.1674184134505787,0.04440428569187039,3.176174195660585,0.008755782210006391,1905.6243292132854,1.660868614065445
9.482274921636405,0.0,0,-0.005928368800487416,250,1001,100.0,0.03821070138662225,201.0,3.1614900446500913,0.09080775892854862,3.1674184134505787,0.005928368800487416,1905.9372592489174,2.239858918705152
9.484374589805075,0.0,0,0.008206078858310928,250,1002,100.0,0.03763463213758693,201.0,3.1696961235084022,0.1035345717454287,3.1614900446500913,0.008206078858310928,1906.3592925508199,2.0583823101793817
9.481035296657467,5.238871634235754,0,0.011881328456478712,250,1003,99.6,0.057233717085581434,200.668,3.181577451964881,0.10688364253789737,3.1696961235084022,0.011881328456478712,1902.5403909096603,51.13111564541038
9.477205944859483,0.0,0,-0.006934139603860245,250,1004,100.0,0.038347941882906814,201.0,3.1746433123610207,0.09421028801670063,3.181577451964881,0.006934139603860245,1904.918394916756,2.1822244532112833
9.478870506675326,0.0,0,-0.024043147913047846,250,1005,100.0,0.038978589663801376,201.0,3.150600164447973,0.08988333168592741,3.1746433123610207,0.024043147913047846,1905.2529718417404,2.3121640372700063
