TimestepsMean,ReturnsStd,TimestepsStd,NormDeltaVar,Wins,RewardMean,OmegaBefore,ITERATIONS,ConfortViolation,Omega,ReturnsMean,RewardStd,NormDeltaOmega,DeltaOmega,Traj
135.364,764.9567543940733,75.87652801756285,0.11785683893601286,56.39999999999999,9.950258919643748,0.2942066891982869,1733,0,0.27104748930069705,1346.9068483986566,0.5676053855950637,0.023159199897589855,-0.023159199897589855,250
125.28,774.3413336425054,76.81188449712714,0.11156342863593471,49.6,9.940350320499016,0.27104748930069705,1734,0,0.2606922729018091,1245.3270881521169,0.6339053578302207,0.010355216398887979,-0.010355216398887979,250
109.732,767.1387809636598,76.09565149205308,0.13116363258218716,40.400000000000006,9.921773081721671,0.2606922729018091,1735,0,0.24799489922463855,1088.7360038034826,0.7356341806528413,0.012697373677170526,-0.012697373677170526,250
117.9,770.7659754361836,76.47008565445707,0.13939217802642553,44.0,9.931343857991344,0.24799489922463855,1736,0,0.2388747146024496,1170.9054408571794,0.6883497233669065,0.009120184622188943,-0.009120184622188943,250
115.98,772.2305883829745,76.61224184162738,0.133411266170684,43.2,9.929877165885253,0.2388747146024496,1737,0,0.22747814473438868,1151.6671536993717,0.6988892762467103,0.011396569868060924,-0.011396569868060924,250
102.532,759.3999718200131,75.34879545155317,0.1527299796636145,35.6,9.911707436611911,0.22747814473438868,1738,0,0.20641764695592865,1016.2671868906924,0.7905135745543238,0.02106049777846003,-0.02106049777846003,250
93.808,724.4348843363553,71.92620618383816,0.15953357594938083,27.6,9.893234868465965,0.20641764695592865,1739,0,0.18518037663519332,928.0645765410552,0.8752337892126502,0.02123727032073533,-0.02123727032073533,250
81.948,632.5511695062079,62.84515332147739,0.1455341176090862,17.2,9.862750788824677,0.18518037663519332,1740,0,0.1692740034188694,808.2327016426045,0.999321803597801,0.015906373216323932,-0.015906373216323932,250
78.676,614.13187462559,61.06333616827695,0.13383801368470744,14.000000000000002,9.852736479695343,0.1692740034188694,1741,0,0.15822833495165944,775.173895276511,1.0387151782052226,0.011045668467209946,-0.011045668467209946,250
66.1,499.6163261048304,49.73773215577888,0.121372140146459,6.800000000000001,9.811267567765189,0.15822833495165944,1742,0,0.14892248566029037,648.524786229279,1.1764547423846348,0.009305849291369073,-0.009305849291369073,250
