NormDeltaVar,TimestepsStd,NormDeltaOmega,RewardStd,DualAfter,Eta,OmegaBefore,ConfortViolation,DeltaOmega,WeightMax,ITERATIONS,DualBefore,Wins,Traj,Omega,WeightMedian,TimestepsMean,RewardMean,ReturnsStd,WeightMin,WeightMean,ReturnsMean,Primal,Epsilon,DualReg,LossReg
0.0,0.0,0.0,2.9901139510058807,8.000479602182258,0.014664829302570601,[[0.99999999]],0,[[0.]],1.0,10,8.038061618636222,0.0,100,[[0.99999999]],2.0502920555143185e-178,500.0,2.9816,80.63230883231508,1.2089851650718288e-237,1.2089851650718288e-237,1489.919191919192,8.000000000000428,1.4301,0.0,0.0
0.0,0.0,0.0,3.012022157687423,8.000708383487414,0.012620545234402394,[[0.99999999]],0,[[0.]],1.0,11,8.061315558113785,0.0,100,[[0.99999999]],3.3866387949966145e-207,500.0,3.01904,73.43439623190132,5.085790958673545e-276,5.085790958673545e-276,1509.5555555555557,7.999999999999385,1.4301,0.0,0.0
0.0,0.0,0.0,3.006171069250717,8.000667644305908,0.0128954064781806,[[0.99999999]],0,[[0.]],1.0,12,8.05700279703633,0.0,100,[[0.99999999]],8.523388457871063e-203,500.0,3.01468,88.71772777126242,3.751022847551051e-270,3.751022847551051e-270,1505.2525252525252,8.00000000000003,1.4301,0.0,0.0
0.0,0.0,0.0,2.9783468423942834,8.000343569137927,0.01703496363486722,[[0.99999999]],0,[[0.]],1.0,13,8.025619101227388,0.0,100,[[0.99999999]],1.081924620354614e-153,500.0,2.96192,69.50854342026817,1.1106980387264719e-204,1.1106980387264719e-204,1481.4343434343434,8.000000000000544,1.4301,0.0,0.0
0.0,0.0,0.0,2.995646769831182,8.000554772679662,0.01382822951126595,[[0.99999999]],0,[[0.]],1.0,14,8.045430693132088,0.0,100,[[0.99999999]],3.6457307165566636e-189,500.0,2.99548,81.11016264210164,5.611075552451549e-252,5.611075552451549e-252,1497.8989898989898,7.999999999999715,1.4301,0.0,0.0
0.0,0.0,0.0,3.0139541493526405,8.000741480521281,0.012424482144845086,[[0.99999999]],0,[[0.]],1.0,15,8.064848164665612,0.0,100,[[0.99999999]],1.868914822271903e-210,500.0,3.02684,78.10076972481781,2.302074342761235e-280,2.302074342761235e-280,1514.8686868686868,8.000000000000028,1.4301,0.0,0.0
0.0,0.0,0.0,2.9938029538364748,8.000515071743772,0.01423769997644916,[[0.99999999]],0,[[0.]],1.0,16,8.041505542171352,0.0,100,[[0.99999999]],9.576153129775697e-184,500.0,2.98644,74.65706243710356,9.438901257476115e-245,9.438901257476115e-245,1491.858585858586,7.999999999999472,1.4301,0.0,0.0
0.0,0.0,0.0,3.0105642896971987,8.000656510395503,0.012958615194902809,[[0.99999999]],0,[[0.]],1.0,17,8.055864714852053,0.0,100,[[0.99999999]],8.246195177995015e-202,500.0,3.00476,71.75659181234586,7.732824369590653e-269,7.732824369590653e-269,1499.959595959596,7.999999999999702,1.4301,0.0,0.0
0.0,0.0,0.0,2.9946741287826297,8.000533824538854,0.014037306632714132,[[0.99999999]],0,[[0.]],1.0,18,8.043349864750674,0.0,100,[[0.99999999]],2.335914186621996e-186,500.0,2.99068,71.29926325223994,3.0993872752699574e-248,3.0993872752699574e-248,1494.969696969697,7.999999999999551,1.4301,0.0,0.0
0.0,0.0,0.0,2.999824634874512,8.000558353776025,0.013779623894727724,[[0.99999999]],0,[[0.]],1.0,19,8.045804675572212,0.0,100,[[0.99999999]],7.89034921877244e-190,500.0,2.9904,72.71646384324482,7.29113209900914e-253,7.29113209900914e-253,1495.1515151515152,8.00000000000059,1.4301,0.0,0.0
