Iterations, Omega_mean, Omega_std, Omega_low, Omega_sup, Ret_mean, Ret_std, Rets_low, Rets_sup, Ts_mean, Ts_std, Ts_low, Ts_sup
1.088000000000000000e+03,4.912522763454878039e+00,1.848165842798544511e-01,4.780312943555718341e+00,5.044732583354037736e+00,1.759374197908138740e+03,1.812173951056312760e+01,1.746410686401383828e+03,1.772337709414893652e+03,2.004293979817367699e+02,6.269028678238481866e-01,1.999809386858775042e+02,2.008778572775960356e+02
1.098000000000000000e+03,4.871444936095223888e+00,1.845426675616858581e-01,4.739431064412062078e+00,5.003458807778385697e+00,1.763569788340253126e+03,1.661646120767242962e+01,1.751683088062851539e+03,1.775456488617654713e+03,2.004417575126161353e+02,6.854558323735344683e-01,1.999514119492022530e+02,2.009321030760300175e+02
1.108000000000000000e+03,4.830822782379447844e+00,1.835159335958831128e-01,4.699543391929299041e+00,4.962102172829596647e+00,1.766235382460015899e+03,1.920019500332263007e+01,1.752500390368752960e+03,1.779970374551278837e+03,2.002983793038375495e+02,9.402875733624295185e-01,1.996257380946513535e+02,2.009710205130237455e+02
1.118000000000000000e+03,4.790833705259014863e+00,1.833398941045573938e-01,4.659680245874706195e+00,4.921987164643323531e+00,1.765235451524319387e+03,2.085670207316203317e+01,1.750315465660887639e+03,1.780155437387751135e+03,1.997734136617341676e+02,1.633791117502265244e+00,1.986046699029449485e+02,2.009421574205233867e+02
1.128000000000000000e+03,4.751698102421859637e+00,1.833695727287364408e-01,4.620523412228785709e+00,4.882872792614933566e+00,1.772217251960522390e+03,2.072331941300219782e+01,1.757392682304170194e+03,1.787041821616874586e+03,2.001124123089803675e+02,1.270986946116254179e+00,1.992032030197005383e+02,2.010216215982601966e+02
1.138000000000000000e+03,4.712577592380453595e+00,1.830922760847300546e-01,4.581601268256666692e+00,4.843553916504240497e+00,1.773839541936483556e+03,2.391906873059422622e+01,1.756728870936098701e+03,1.790950212936868411e+03,1.998845362283067857e+02,1.696550492795822596e+00,1.986708971169880442e+02,2.010981753396255272e+02
1.148000000000000000e+03,4.673287291149106792e+00,1.833806577892760914e-01,4.542104671181422582e+00,4.804469911116791003e+00,1.777612534988110610e+03,2.370067343848863217e+01,1.760658094568161005e+03,1.794566975408060216e+03,1.998908260640247647e+02,1.587049006245712324e+00,1.987555195973217224e+02,2.010261325307278071e+02
1.158000000000000000e+03,4.633486941139617343e+00,1.827362390861283215e-01,4.502765310541555266e+00,4.764208571737679421e+00,1.781464024403206395e+03,2.332836077669669095e+01,1.764775920417043380e+03,1.798152128389369409e+03,1.999000546391378634e+02,1.601507927889570082e+00,1.987544048829842609e+02,2.010457043952914660e+02
1.168000000000000000e+03,4.595028933664442761e+00,1.831011369968814639e-01,4.464046270825955176e+00,4.726011596502930345e+00,1.781047227738485162e+03,2.878133461889127176e+01,1.760458301256329378e+03,1.801636154220640947e+03,1.994652819433167110e+02,2.631286287959252679e+00,1.975829731256867490e+02,2.013475907609466731e+02
1.178000000000000000e+03,4.556265593253222335e+00,1.830303401563001253e-01,4.425333575423564980e+00,4.687197611082879689e+00,1.782441137152879946e+03,3.290753777015486747e+01,1.758900502751104568e+03,1.805981771554655325e+03,1.992247054116845106e+02,2.686111778184286702e+00,1.973031768009998359e+02,2.011462340223691854e+02
