ConfortViolation,OmegaBefore,NormDeltaOmega,DualReg,ReturnsMean,ReturnsStd,Wins,RewardMean,Omega,WeightMax,ITERATIONS,WeightMean,WeightMedian,NormDeltaVar,Eta,DualAfter,DualBefore,DeltaOmega,Traj,WeightMin,RewardStd,TimestepsMean,TimestepsStd,Epsilon,Primal,LossReg
0,[[2.29311407e-09]],0.0,0.0,4990.0,0.0,0.0,9.98,[[2.29311407e-09]],1.0,10,0.0,1.0,0.0,0.0067615669508732205,10.001407068541285,10.208098088311147,[[0.]],100,0.0,0.4467661580737735,500.0,0.0,0.2101,9.999999999997792,0.0
0,[[2.29311407e-09]],0.0,0.0,4990.0,0.0,0.0,9.98,[[2.29311407e-09]],1.0,11,0.0,1.0,0.0,0.0067615669508732205,10.001407068541285,10.208098088311147,[[0.]],100,0.0,0.4467661580737735,500.0,0.0,0.2101,9.999999999997792,0.0
0,[[2.29311407e-09]],0.0,0.0,4990.0,0.0,0.0,9.98,[[2.29311407e-09]],1.0,12,0.0,1.0,0.0,0.0067615669508732205,10.001407068541285,10.208098088311147,[[0.]],100,0.0,0.4467661580737735,500.0,0.0,0.2101,9.999999999997792,0.0
0,[[2.29311407e-09]],0.0,0.0,4990.0,0.0,0.0,9.98,[[2.29311407e-09]],1.0,13,0.0,1.0,0.0,0.0067615669508732205,10.001407068541285,10.208098088311147,[[0.]],100,0.0,0.4467661580737735,500.0,0.0,0.2101,9.999999999997792,0.0
0,[[2.29311407e-09]],0.0,0.0,4990.0,0.0,0.0,9.98,[[2.29311407e-09]],1.0,14,0.0,1.0,0.0,0.0067615669508732205,10.001407068541285,10.208098088311147,[[0.]],100,0.0,0.4467661580737735,500.0,0.0,0.2101,9.999999999997792,0.0
0,[[2.29311407e-09]],0.0,0.0,4990.0,0.0,0.0,9.98,[[2.29311407e-09]],1.0,15,0.0,1.0,0.0,0.0067615669508732205,10.001407068541285,10.208098088311147,[[0.]],100,0.0,0.4467661580737735,500.0,0.0,0.2101,9.999999999997792,0.0
0,[[2.29311407e-09]],0.0,0.0,4990.0,0.0,0.0,9.98,[[2.29311407e-09]],1.0,16,0.0,1.0,0.0,0.0067615669508732205,10.001407068541285,10.208098088311147,[[0.]],100,0.0,0.4467661580737735,500.0,0.0,0.2101,9.999999999997792,0.0
0,[[2.29311407e-09]],0.0,0.0,4990.0,0.0,0.0,9.98,[[2.29311407e-09]],1.0,17,0.0,1.0,0.0,0.0067615669508732205,10.001407068541285,10.208098088311147,[[0.]],100,0.0,0.4467661580737735,500.0,0.0,0.2101,9.999999999997792,0.0
0,[[2.29311407e-09]],0.0,0.0,4990.0,0.0,0.0,9.98,[[2.29311407e-09]],1.0,18,0.0,1.0,0.0,0.0067615669508732205,10.001407068541285,10.208098088311147,[[0.]],100,0.0,0.4467661580737735,500.0,0.0,0.2101,9.999999999997792,0.0
0,[[2.29311407e-09]],0.0,0.0,4990.0,0.0,0.0,9.98,[[2.29311407e-09]],1.0,19,0.0,1.0,0.0,0.0067615669508732205,10.001407068541285,10.208098088311147,[[0.]],100,0.0,0.4467661580737735,500.0,0.0,0.2101,9.999999999997792,0.0
