Primal,DualBefore,DeltaOmega,ReturnsMean,WeightMedian,Traj,Wins,LossReg,RewardMean,DualAfter,RewardStd,TimestepsStd,WeightMean,WeightMin,TimestepsMean,WeightMax,Eta,ITERATIONS,Omega,NormDeltaVar,Epsilon,ConfortViolation,ReturnsStd,NormDeltaOmega,DualReg,OmegaBefore
8.000000000000485,8.319821326775905,[[0.]],1508.4848484848485,0.0,100,0.0,0.0,3.016,8.001542723667544,3.0110303884218768,0.0,0.0,0.0,500.0,1.0,0.00490334354059319,10,[[0.99999999]],0.0,1.6901,0,75.19622326057214,0.0,0.0,[[0.99999999]]
8.00000000000044,8.301565933998473,[[0.]],1490.828282828283,0.0,100,0.0,0.0,2.982,8.001473350579426,2.9969044028797454,0.0,0.0,0.0,500.0,1.0,0.004973214066618096,11,[[0.99999999]],0.0,1.6901,0,76.00532150482177,0.0,0.0,[[0.99999999]]
7.999999999999795,8.307564327194452,[[0.]],1498.7676767676767,0.0,100,0.0,0.0,2.99516,8.0014962783662,3.000182756833323,0.0,0.0,0.0,500.0,1.0,0.004949901343878986,12,[[0.99999999]],0.0,1.6901,0,75.741563290931,0.0,0.0,[[0.99999999]]
8.000000000000247,8.316757362909756,[[0.]],1506.060606060606,0.0,100,0.0,0.0,3.01216,8.001531161923943,3.0073796126195984,0.0,0.0,0.0,500.0,1.0,0.004914884547587116,13,[[0.99999999]],0.0,1.6901,0,79.974973128507,0.0,0.0,[[0.99999999]]
7.9999999999995905,8.306209821103446,[[0.]],1497.79797979798,0.0,100,0.0,0.0,2.99264,8.001491112526372,2.9991375144197705,0.0,0.0,0.0,500.0,1.0,0.004955154773383957,14,[[0.99999999]],0.0,1.6901,0,91.32271336155516,0.0,0.0,[[0.99999999]]
8.000000000000435,8.314784016193263,[[0.]],1505.6969696969697,0.0,100,0.0,0.0,3.00868,8.001523699594,3.0057153320965044,0.0,0.0,0.0,500.0,1.0,0.004922319359067475,15,[[0.99999999]],0.0,1.6901,0,73.87587932723928,0.0,0.0,[[0.99999999]]
7.999999999999632,8.312952185835467,[[0.]],1501.2525252525252,0.0,100,0.0,0.0,3.00244,8.001516763567977,3.006205922155034,0.0,0.0,0.0,500.0,1.0,0.004929070407818216,16,[[0.99999999]],0.0,1.6901,0,86.19104261439487,0.0,0.0,[[0.99999999]]
8.000000000000517,8.292987296648601,[[0.]],1487.090909090909,0.0,100,0.0,0.0,2.97288,8.001440330585265,2.985763638602359,0.0,0.0,0.0,500.0,1.0,0.005008191454963581,17,[[0.99999999]],0.0,1.6901,0,75.65379558252343,0.0,0.0,[[0.99999999]]
7.999999999999518,8.296376434590133,[[0.]],1490.060606060606,0.0,100,0.0,0.0,2.97948,8.001453408125613,2.9881464036422307,0.0,0.0,0.0,500.0,1.0,0.00499446018150786,18,[[0.99999999]],0.0,1.6901,0,80.45549848205731,0.0,0.0,[[0.99999999]]
8.000000000000062,8.29371739064764,[[0.]],1488.3838383838383,0.0,100,0.0,0.0,2.97496,8.001443151786853,2.9858353937214965,0.0,0.0,0.0,500.0,1.0,0.005005270160558827,19,[[0.99999999]],0.0,1.6901,0,80.77137044929168,0.0,0.0,[[0.99999999]]
