DeltaOmega,Primal,Traj,Omega,WeightMean,NormDeltaVar,NormDeltaOmega,DualReg,RewardMean,Wins,ITERATIONS,ConfortViolation,TimestepsStd,TimestepsMean,WeightMedian,DualAfter,OmegaBefore,ReturnsMean,Epsilon,LossReg,Eta,WeightMin,DualBefore,RewardStd,WeightMax,ReturnsStd
[[0.]],8.00000000000019,100,[[0.99999999]],0.0,0.0,0.0,0.0,3.04832,0.0,10,0,0.0,500.0,0.0,8.001998332929082,[[0.99999999]],1522.5050505050506,1.8001,0.0,0.0045024701896591544,0.0,8.448891430130246,3.02822475678408,1.0,90.09729575167684
[[0.]],8.000000000000147,100,[[0.99999999]],0.0,0.0,0.0,0.0,2.991,0.0,11,0,0.0,500.0,0.0,8.001881635588706,[[0.99999999]],1495.4141414141413,1.8001,0.0,0.004599738561014799,0.0,8.414381909263902,2.996544509931397,1.0,83.11960593584102
[[0.]],7.999999999999618,100,[[0.99999999]],0.0,0.0,0.0,0.0,3.02732,0.0,12,0,0.0,500.0,0.0,8.001957836363491,[[0.99999999]],1512.5252525252524,1.8001,0.0,0.0045357500655387895,0.0,8.436789202753657,3.017610580840411,1.0,88.35126672553676
[[0.]],7.999999999999715,100,[[0.99999999]],0.0,0.0,0.0,0.0,2.99264,0.0,13,0,0.0,500.0,0.0,8.001885195732873,[[0.99999999]],1497.3939393939395,1.8001,0.0,0.004596705877269712,0.0,8.415418538940747,2.9975366270322703,1.0,77.15887036757579
[[0.]],8.000000000000517,100,[[0.99999999]],0.0,0.0,0.0,0.0,3.00752,0.0,14,0,0.0,500.0,0.0,8.001913966383558,[[0.99999999]],1503.050505050505,1.8001,0.0,0.004572367669014393,0.0,8.423837590833793,3.004573755060774,1.0,86.7628107430122
[[0.]],7.999999999999745,100,[[0.99999999]],0.0,0.0,0.0,0.0,3.0096,0.0,15,0,0.0,500.0,0.0,8.001923626660014,[[0.99999999]],1504.6868686868686,1.8001,0.0,0.00456423754967602,0.0,8.426668259484366,3.0089313451788824,1.0,87.01801119316082
[[0.]],8.000000000000343,100,[[0.99999999]],0.0,0.0,0.0,0.0,2.9794,0.0,16,0,0.0,500.0,0.0,8.001854848882632,[[0.99999999]],1489.2323232323233,1.8001,0.0,0.004622709642267555,0.0,8.406615696117662,2.9886812543327532,1.0,90.04632122030118
[[0.]],7.999999999999493,100,[[0.99999999]],0.0,0.0,0.0,0.0,2.99112,0.0,17,0,0.0,500.0,0.0,8.001882183363742,[[0.99999999]],1494.989898989899,1.8001,0.0,0.004599270336641305,0.0,8.414540893983446,2.996785135040549,1.0,73.80639360078118
[[0.]],7.9999999999995834,100,[[0.99999999]],0.0,0.0,0.0,0.0,2.98828,0.0,18,0,0.0,500.0,0.0,8.001876693043956,[[0.99999999]],1495.010101010101,1.8001,0.0,0.004603951508828475,0.0,8.412942872182244,2.995467015608752,1.0,75.60363079164046
[[0.]],7.999999999999751,100,[[0.99999999]],0.0,0.0,0.0,0.0,2.9882,0.0,19,0,0.0,500.0,0.0,8.001874495592793,[[0.99999999]],1493.858585858586,1.8001,0.0,0.004605839295425722,0.0,8.412307481171377,2.994237926418006,1.0,73.7417018239964
