WeightMean,ConfortViolation,OmegaBefore,Primal,DualAfter,NormDeltaVar,WeightMedian,Epsilon,RewardMean,Eta,WeightMin,LossReg,Omega,DeltaOmega,ReturnsMean,Wins,DualBefore,TimestepsStd,WeightMax,NormDeltaOmega,Traj,RewardStd,DualReg,ReturnsStd,TimestepsMean,ITERATIONS
0.017242151572685716,0,[[0.91754569]],6.541355853785666,6.541355850503583,0.49040005051931956,0.038839458546676094,0.8001,2.6296,2.4628126251070146,0.017242151572685716,0.0,[[0.92010585]],[[0.00256016]],1313.79797979798,0.0,7.21503720889439,0.0,1.0,0.0025601580524168277,100,2.710351239230812,0.0,73.33305506806431,500.0,10
0.017251504316656865,0,[[0.92010585]],6.533350745510418,6.533350741358904,0.10179523235198928,0.03885631193345965,0.8001,2.62436,2.46314159077387,0.017251504316656865,0.0,[[0.91958047]],[[-0.00052539]],1312.4444444444443,0.0,7.2088218304326155,0.0,1.0,0.00052538591733442,100,2.7062916676515116,0.0,69.68532767647883,500.0,11
0.01713192156330096,0,[[0.91958047]],6.570252910562842,6.570252790912743,0.5298976605407049,0.038640689017127965,0.8001,2.64952,2.458928639350577,0.01713192156330096,0.0,[[0.92228122]],[[0.00270076]],1323.919191919192,0.0,7.23186098623387,0.0,1.0,0.0027007554113913645,100,2.7260601184860174,0.0,68.3372026646824,500.0,12
0.017106720293589794,0,[[0.92228122]],6.5693072937420265,6.5693071921532,0.003680058126967367,0.03859520957675702,0.8001,2.64952,2.458038883932655,0.017106720293589794,0.0,[[0.92226275]],[[-1.84667002e-05]],1324.8484848484848,0.0,7.229406325710777,0.0,1.0,1.8466700240193923e-05,100,2.725590535938955,0.0,61.41897243093532,500.0,13
0.01706907721130065,0,[[0.92226275]],6.551013591562916,6.551013536282257,0.0441569444152492,0.03852725206753427,0.8001,2.63708,2.456708616103538,0.01706907721130065,0.0,[[0.92204086]],[[-0.0002219]],1318.020202020202,0.0,7.209234946557112,0.0,1.0,0.00022189511621728553,100,2.718699886636993,0.0,74.6555700355501,500.0,14
0.017103044405675054,0,[[0.92204086]],6.534689401626506,6.53468929628874,0.40019387514188764,0.03858857477074805,0.8001,2.62856,2.4579090474542005,0.017103044405675054,0.0,[[0.92000324]],[[-0.00203762]],1314.6666666666667,0.0,7.200002823019433,0.0,1.0,0.002037615114132363,100,2.707196395978688,0.0,75.04288336301013,500.0,15
0.017397320806813034,0,[[0.92000324]],6.503912610883215,6.503914884462959,0.46549669684237216,0.039118833647770995,0.8001,2.60264,2.4682587714761883,0.017397320806813034,0.0,[[0.91757204]],[[-0.00243121]],1302.121212121212,0.0,7.193746915969635,0.0,1.0,0.002431207893303533,100,2.69111594517962,0.0,71.33351355503612,500.0,16
0.01746917291706953,0,[[0.91757204]],6.50158487350601,6.501584872247692,0.12333877973102148,0.039248031094927145,0.8001,2.60028,2.4707723084426645,0.01746917291706953,0.0,[[0.91691668]],[[-0.00065536]],1300.060606060606,0.0,7.197427065476208,0.0,1.0,0.0006553574946758234,100,2.688892694326049,0.0,73.33854226428878,500.0,17
0.017329573428638154,0,[[0.91691668]],6.496295129879841,6.496297692211179,0.27584856696844895,0.03899691914940611,0.8001,2.60324,2.46588400763294,0.017329573428638154,0.0,[[0.91543379]],[[-0.00148289]],1300.9292929292928,0.0,7.186832001266155,0.0,1.0,0.0014828912121492843,100,2.6824208287291538,0.0,63.757947023025764,500.0,18
0.017338825190724105,0,[[0.91543379]],6.494598682067447,6.494601570048001,0.0538590576467044,0.03901357372949019,0.8001,2.60228,2.4662085886602854,0.017338825190724105,0.0,[[0.91514147]],[[-0.00029232]],1301.2323232323233,0.0,7.186373490660527,0.0,1.0,0.00029232155389502523,100,2.681145054188602,0.0,66.66648913352547,500.0,19
