DeltaOmega,WeightMin,WeightMedian,Primal,NormDeltaOmega,Wins,NormDeltaVar,DualReg,TimestepsMean,Omega,ReturnsStd,WeightMax,Epsilon,ReturnsMean,LossReg,WeightMean,Traj,RewardMean,Eta,TimestepsStd,DualAfter,RewardStd,DualBefore,ConfortViolation,OmegaBefore,ITERATIONS
[[0.00384085]],0.011087632643084919,0.027281676994395987,6.943242363855415,0.0038408500427193903,0.0,1.1069669494275587,0.0,500.0,[[0.94959403]],68.78651714044122,1.0,0.9001,1377.6363636363637,0.0,0.011087632643084919,100,2.75304,2.2212720271479043,0.0,6.943242601773574,2.8135903679107233,7.374827363129596,0,[[0.94575318]],10
[[-0.0026392]],0.011328914959104156,0.027755602133548187,6.888147112854056,0.0026391984134925828,0.0,0.7688189534372185,0.0,500.0,[[0.94695483]],80.46749437667408,1.0,0.9001,1355.4949494949494,0.0,0.011328914959104156,100,2.71216,2.2319450830953036,0.0,6.888147080803518,2.785797575991479,7.335653688847081,0,[[0.94959403]],11
[[-6.95125505e-05]],0.011309333325407525,0.027717215824316282,6.9083346568485275,6.951255050691163e-05,0.0,0.019757028828280454,0.0,500.0,[[0.94688532]],64.13461508544307,1.0,0.9001,1363.939393939394,0.0,0.011309333325407525,100,2.72836,2.2310836222156323,0.0,6.908332927297444,2.7920980839504903,7.356530177958648,0,[[0.94695483]],12
[[0.00164423]],0.011193060168311036,0.02748900818852501,6.923373030275215,0.001644233235782111,0.0,0.4740073626036647,0.0,500.0,[[0.94852955]],77.64162817898034,1.0,0.9001,1367.858585858586,0.0,0.011193060168311036,100,2.73812,2.225951274023529,0.0,6.923372942759321,2.803094515994778,7.362028456496715,0,[[0.94688532]],13
[[4.02986648e-05]],0.011171444507149644,0.02744653130266665,6.920142556180075,4.029866481713995e-05,0.0,0.011796268851767877,0.0,500.0,[[0.94856985]],76.26142483500766,1.0,0.9001,1368.5252525252524,0.0,0.011171444507149644,100,2.73636,2.224993895131701,0.0,6.920142604395116,2.802016051060379,7.357106431023411,0,[[0.94852955]],14
[[0.0006619]],0.011087702098198714,0.027281813712547037,6.93192362873721,0.0006619035334683998,0.0,0.1950147875980619,0.0,500.0,[[0.94923176]],69.25425194976198,1.0,0.9001,1373.8989898989898,0.0,0.011087702098198714,100,2.74572,2.2212751179282213,0.0,6.9319250823557415,2.8084126622702725,7.36321416591547,0,[[0.94856985]],15
[[-0.00098365]],0.01130541484593391,0.02770953274685897,6.911589820379598,0.0009836487348788836,0.0,0.28895371609806375,0.0,500.0,[[0.94824811]],75.6134116518389,1.0,0.9001,1362.1616161616162,0.0,0.01130541484593391,100,2.72604,2.2309111361803526,0.0,6.911589681438128,2.798797227095954,7.356683546386703,0,[[0.94923176]],16
[[0.00065769]],0.011148671893725415,0.02740176310740567,6.922941295804016,0.0006576935030316866,0.0,0.19261972687297657,0.0,500.0,[[0.9489058]],76.5129372616905,1.0,0.9001,1369.8181818181818,0.0,0.011148671893725415,100,2.73788,2.2239841609026643,0.0,6.922941741387129,2.8044416744870984,7.357865993431124,0,[[0.94824811]],17
[[-0.00149802]],0.01130116792052704,0.027701205074386073,6.897794276520213,0.0014980194489842003,0.0,0.4353875798038729,0.0,500.0,[[0.94740778]],77.61694508462021,1.0,0.9001,1359.3535353535353,0.0,0.01130116792052704,100,2.7188,2.2307241550175196,0.0,6.897790096180102,2.790721512440824,7.34335363848686,0,[[0.9489058]],18
[[0.00158622]],0.011085447799670297,0.02727737617607805,6.938058760532756,0.001586218030027009,0.0,0.46139658737181577,0.0,500.0,[[0.948994]],77.05451992527234,1.0,0.9001,1375.0707070707072,0.0,0.011085447799670297,100,2.75144,2.2211747952494036,0.0,6.9380589390802765,2.8092949162378806,7.370406155397809,0,[[0.94740778]],19
