ITERATIONS,RewardStd,Traj,ConfortViolation,OmegaBefore,DeltaOmega,NormDeltaVar,Wins,ReturnsMean,RewardMean,ReturnsStd,TimestepsMean,TimestepsStd,NormDeltaOmega,Omega
10,0.9884078483669924,250,0,7.000974303071138,-0.10288266100455257,0.20008379789614203,0.0,418.0474843141866,7.335195892654875,159.41314566683474,56.992,21.140102554150488,0.10288266100455257,6.898091642066586
11,1.0032039537346755,250,0,6.898091642066586,-0.10389453043171759,0.19819159629290614,0.0,416.7238528472809,7.4013187845851265,171.42506037721162,56.304,22.52934939140498,0.10389453043171759,6.794197111634868
12,0.9922591239564486,250,0,6.794197111634868,-0.1049377807048879,0.2031329172623384,0.0,438.91784029935604,7.475777358961643,189.79656340670604,58.712,24.67640686972072,0.1049377807048879,6.68925933092998
13,0.9994758286023808,250,0,6.68925933092998,-0.1056753352858344,0.20901946424813658,0.0,444.4810515686234,7.5458551468257395,173.39879870655793,58.904,22.353674955138807,0.1056753352858344,6.583583995644146
14,0.9534391332335785,250,0,6.583583995644146,-0.1067916019427626,0.22866058204288783,0.0,505.63616414009397,7.635240458747494,201.31750602324524,66.224,25.70038567803993,0.1067916019427626,6.476792393701383
15,0.9494148643279914,250,0,6.476792393701383,-0.1079066503253987,0.24574781768901519,0.0,523.9900119260551,7.705735469500808,195.4863411896954,68.0,24.72893042571797,0.1079066503253987,6.3688857433759845
16,0.9662421223683295,250,0,6.3688857433759845,-0.10876491608263539,0.2467730022019742,0.0,518.3043078387526,7.768349937631184,192.01690652721877,66.72,24.139461468723777,0.10876491608263539,6.260120827293349
17,0.9177661748140905,250,0,6.260120827293349,-0.10994614344188758,0.2590735952638097,0.8,588.5066696047562,7.852618883496425,216.98349831475585,74.944,26.9492275213966,0.10994614344188758,6.1501746838514615
18,0.8826661881727439,250,0,6.1501746838514615,-0.11111284995701265,0.2710584743950347,0.8,655.3681502613605,7.931166500403722,236.86488486319368,82.632,29.17575322078249,0.11111284995701265,6.039061833894449
19,0.8628580840724389,250,0,6.039061833894449,-0.11213978535303593,0.26357029630447115,0.8,703.7354650250139,7.999902976366562,254.69971409384829,87.968,31.153795531202935,0.11213978535303593,5.926922048541413
20,0.7938692947744155,250,0,5.926922048541413,-0.11322705365482566,0.2678074198892947,5.6000000000000005,817.9943628389808,8.088703057896733,316.28073171922136,101.128,38.21056942784286,0.11322705365482566,5.813694994886587
21,0.7856513752829222,250,0,5.813694994886587,-0.11448929035067223,0.27184615052980127,2.4,884.8988239839472,8.150641293787737,320.71515621921134,108.568,38.5601526967931,0.11448929035067223,5.699205704535915
22,0.6445155161802185,250,0,5.699205704535915,-0.1155739117115191,0.27755623721519,18.4,1146.2113765237332,8.253725563999463,372.0807584593012,138.872,43.99417706924406,0.1155739117115191,5.583631792824396
23,0.5409813567322193,250,0,5.583631792824396,-0.11630944889622974,0.2864423497229823,35.199999999999996,1338.4623619429847,8.349108999594446,363.25489901895435,160.312,42.455890710241846,0.11630944889622974,5.467322343928166
24,0.48017785736274765,250,0,5.467322343928166,-0.11744590070407579,0.29309832119135937,44.800000000000004,1490.0987053773324,8.427778750833287,275.1910892425342,176.808,31.859616067994292,0.11744590070407579,5.34987644322409
25,0.4941446238914743,250,0,5.34987644322409,-0.1179390020815525,0.2804857014010326,43.2,1480.8603545777355,8.484944275862532,283.2572450424478,174.528,32.68089986521179,0.1179390020815525,5.231937441142538
26,0.48320647483767054,250,0,5.231937441142538,-0.11938772164051503,0.25648903660696415,47.199999999999996,1475.9820450924267,8.544727474831111,315.71759702092146,172.736,36.21406224106873,0.11938772164051503,5.112549719502023
27,0.48478667605581943,250,0,5.112549719502023,-0.11730891494866214,0.24273765206915685,47.199999999999996,1497.2558206877197,8.603731788073596,296.1344054412589,174.024,33.65316365514541,0.11730891494866214,4.995240804553361
28,0.49394935587985744,250,0,4.995240804553361,-0.11783188879664319,0.24990136904193525,45.6,1516.728842847655,8.66306170235124,304.82340439683554,175.08,34.49396468949315,0.11783188879664319,4.8774089157567175
29,0.42728901456255,250,0,4.8774089157567175,-0.11880174800728849,0.2569738983744668,59.199999999999996,1570.3714615402375,8.733990331147039,303.46802003443463,179.8,34.02399153538573,0.11880174800728849,4.758607167749429
30,0.3467826675366781,250,0,4.758607167749429,-0.12089084425594443,0.2544895930208186,72.8,1650.4739843913255,8.807977118597776,257.0754523644202,187.384,28.586369898957088,0.12089084425594443,4.637716323493485
31,0.3277354516440753,250,0,4.637716323493485,-0.1217969048121681,0.23421348286407134,76.0,1679.0917124711282,8.862700112274768,237.69728528907174,189.456,26.249115489859843,0.1217969048121681,4.5159194186813165
