Omega,NormDeltaOmega,RewardMean,OmegaBefore,NormDeltaVar,RewardStd,TimestepsStd,ReturnsStd,Wins,Traj,DeltaOmega,ConfortViolation,ITERATIONS,ReturnsMean,TimestepsMean
4.887080003475925,0.11932604899158417,8.670983904304803,5.00640605246751,0.23857508086676746,0.3685239387659253,27.217171050643746,242.2697761043881,68.8,250,-0.11932604899158417,0,28,1610.7219700636604,185.76
4.767813221993494,0.1192667814824313,8.74259279034842,4.887080003475925,0.2266952581306515,0.30917817526658115,28.67539712017952,255.71526748590236,78.4,250,-0.1192667814824313,0,29,1650.9512225293959,188.84
4.647212718624739,0.12060050336875516,8.809738173529707,4.767813221993494,0.20605775513075875,0.247404903687767,19.135515044022203,172.72195413332653,86.4,250,-0.12060050336875516,0,30,1717.9694217436806,195.008
4.524855144374733,0.12235757425000582,8.873550124392477,4.647212718624739,0.20278614296692518,0.23942145489377434,13.791879349820315,126.16007760838765,87.2,250,-0.12235757425000582,0,31,1748.1603629063131,197.008
4.400843132123475,0.12401201225125824,8.931073011928836,4.524855144374733,0.19363971057102208,0.2113695866959412,13.877881106278439,128.09095368924025,90.4,250,-0.12401201225125824,0,32,1762.136429545607,197.304
4.2756491218208215,0.12519401030265342,8.993562048254468,4.400843132123475,0.1901167599191762,0.1562599645232404,8.531413950805575,79.90944133136794,95.19999999999999,250,-0.12519401030265342,0,33,1791.3017145231317,199.176
4.1491537148087065,0.12649540701211492,9.045330539227333,4.2756491218208215,0.17688231320967543,0.1774771351062528,8.842862884835432,82.9007351676237,93.60000000000001,250,-0.12649540701211492,0,34,1803.8559974548718,199.424
4.022449385952233,0.12670432885647376,9.099162994307546,4.1491537148087065,0.1632475577684529,0.15871209852614832,9.681870893582499,90.68706831211584,95.19999999999999,250,-0.12670432885647376,0,35,1816.4113135756497,199.624
3.899238957858466,0.12321042809376692,9.147531016606973,4.022449385952233,0.16106181905570793,0.16991520855094736,14.74533906019119,137.8823966258241,94.39999999999999,250,-0.12321042809376692,0,36,1812.8211067471036,198.176
3.7772982482594193,0.12194070959904657,9.197207123798522,3.899238957858466,0.16225290652295724,0.22293218318105565,16.60863197256174,157.14547838849626,89.60000000000001,250,-0.12194070959904657,0,37,1808.9802747656836,196.688
3.658813445020829,0.11848480323859034,9.241651851272769,3.7772982482594193,0.16574558081820667,0.2172152305633065,21.193001108856667,200.078070860829,90.4,250,-0.11848480323859034,0,38,1806.2623710275602,195.448
3.5470894483046016,0.11172399671622735,9.281213840381064,3.658813445020829,0.1779632666451244,0.2636010760861017,23.206308107926173,220.22662350326428,85.6,250,-0.11172399671622735,0,39,1793.2047636723441,193.208
3.4433551036213585,0.10373434468324305,9.321600146670951,3.5470894483046016,0.19840507010433547,0.24252763532397598,22.026985631266026,209.9142877519248,88.0,250,-0.10373434468324305,0,40,1814.430825349207,194.648
3.353536212687283,0.08981889093407558,9.340438246605931,3.4433551036213585,0.14783580010460862,0.3006736851773817,21.48087744948981,206.76707432203818,81.6,250,-0.08981889093407558,0,41,1799.4167473321397,192.648
3.2753297758905533,0.07820643679672967,9.38081270747611,3.353536212687283,0.14857581568397932,0.32812045861648526,26.6216681671153,254.84328695403974,77.60000000000001,250,-0.07820643679672967,0,42,1796.6882962374843,191.528
3.208222194677797,0.06710758121275617,9.390428283895691,3.2753297758905533,0.14833948717122067,0.44800935322191104,24.087778145773427,231.96660623995518,58.4,250,-0.06710758121275617,0,43,1768.1049607181521,188.288
3.1504832436888672,0.057738950988929894,9.41308626352265,3.208222194677797,0.15606050678545635,0.45763331134078405,28.743350952872564,276.80395151937034,57.599999999999994,250,-0.057738950988929894,0,44,1737.4298101759566,184.576
3.1032223664420098,0.04726087724685746,9.438416556836824,3.1504832436888672,0.16360407091921056,0.3844208562401609,24.707051624991596,239.02176826863578,69.6,250,-0.04726087724685746,0,45,1791.7889991499023,189.84
3.0673117512194716,0.035910615222538134,9.447786337092143,3.1032223664420098,0.15005961822289096,0.34561066357496784,25.999327991315468,251.7521198254539,76.0,250,-0.035910615222538134,0,46,1797.80036651259,190.288
3.0394983221073564,0.027813429112115262,9.471902846388494,3.0673117512194716,0.14928331730491728,0.30793491547336616,24.132519470623034,234.17426954352084,80.80000000000001,250,-0.027813429112115262,0,47,1820.9543784124949,192.248
3.0207065485967055,0.018791773510650867,9.478578527837692,3.0394983221073564,0.14277705211211592,0.31569672675542126,27.900967725152476,270.0751880999216,80.0,250,-0.018791773510650867,0,48,1804.721351700297,190.4
3.010431514898825,0.01027503369788052,9.491751310874315,3.0207065485967055,0.13411436791817927,0.26679472194366705,18.20209042939849,177.98973002301165,85.6,250,-0.01027503369788052,0,49,1854.2326020819196,195.352
3.008139941253314,0.0022915736455111357,9.499475362615113,3.010431514898825,0.12051994779910817,0.22855500194801037,19.463087524850724,188.384487220826,89.60000000000001,250,-0.0022915736455111357,0,50,1869.800734574258,196.832
3.008360829960173,0.0002208887068593235,9.505628417857384,3.008139941253314,0.11887365027388433,0.23413823808918552,11.924283794006248,118.09607717725159,88.8,250,0.0002208887068593235,0,51,1878.4642654233048,197.616
