Epsilon,RewardMean,TimestepsMean,ReturnsStd,ConfortViolation,DeltaOmega,Omega,DualReg,Traj,NormDeltaOmega,LossReg,WeightMedian,ReturnsMean,Eta,Primal,RewardStd,WeightMin,ITERATIONS,Wins,TimestepsStd,WeightMean,OmegaBefore,DualAfter,WeightMax,NormDeltaVar,DualBefore
0.001,6.703449500071778,27.180185084376703,113.90221129649203,0,-0.029068916749380946,7.649960887865245,0.0001,1840,0.029068916749380946,0.0,0.9718043530365339,182.19367108664022,13.164427138458937,6.807584187184284,1.3164789854964258,0.5719489264119203,10,0.0,16.3278762258054,0.5719489264119203,7.679029804614626,6.7902557912078985,1.0,0.09535503536863511,6.93213826036636
0.001,6.729336169746087,27.715871254162042,109.05120445523313,0,-0.02988833795533896,7.6200725499099065,0.0001,1805,0.02988833795533896,0.0,0.9731114394098792,186.50391764176462,13.089813848067353,6.832543754845885,1.3083326398826747,0.5700035517700285,11,0.0,15.588110634850352,0.5700035517700285,7.649960887865245,6.815411264706739,1.0,0.027081512872610094,6.954700886323859
0.001,6.754418370685839,27.971988795518207,115.49278581670404,0,-0.029193265768227228,7.590879284141679,0.0001,1788,0.029193265768227228,0.0,0.9712650242422207,188.93204490186923,13.07388391989713,6.857460234747764,1.307305751556995,0.5675292735282509,12,0.0,16.443377072429282,0.5675292735282509,7.6200725499099065,6.840369415258222,1.0,0.3737641425283736,6.978608273834571
0.001,6.773789277834565,27.931805477920626,121.04898982932113,0,-0.02843224612905093,7.562447038012628,0.0001,1792,0.02843224612905093,0.0,0.973824046839494,189.19655327688983,13.101785534964488,6.877217014565638,1.311253325480646,0.5687941311982734,13,0.055803571428571425,17.20142857217365,0.5687941311982734,7.590879284141679,6.860053152265209,1.0,0.08789401362641328,6.998832551443477
0.001,6.801338494518786,28.773617511520737,125.46276910556371,0,-0.02735172079191006,7.535095317220718,0.0001,1739,0.02735172079191006,0.0,0.9732026328835945,195.69276445092189,12.977939594303683,6.90321425720287,1.2972880137815168,0.5645703854785475,14,0.0,17.774380148927484,0.5645703854785475,7.562447038012628,6.886373409846588,1.0,0.10902396035154348,7.021156030723502
0.001,6.83077607202081,29.728571428571428,127.62173086329854,0,-0.02789615419551339,7.507199163025205,0.0001,1683,0.02789615419551339,0.0,0.9706064917682271,203.07202514050627,12.837970302636872,6.930915200964256,1.2816296318491542,0.5587828392956604,15,0.0,18.015175953230386,0.5587828392956604,7.535095317220718,6.914435662427387,1.0,0.2251155020006041,7.044587125932596
0.001,6.843081298284983,28.871676300578034,127.59958869435559,0,-0.02682380175002219,7.480375361275183,0.0001,1733,0.02682380175002219,0.0,0.9749134387234911,197.56046552198688,13.004504533869955,6.9453609504774905,1.301900103853493,0.5644131236533502,16,0.0,17.968461646813903,0.5644131236533502,7.507199163025205,6.92845102100346,1.0,0.14904576066285385,7.063127984634241
0.001,6.868056447668037,29.41813898704358,132.95945850428282,0,-0.027448855142369943,7.452926506132813,0.0001,1701,0.027448855142369943,0.0,0.9720794333844907,202.03849577622444,12.937781423873549,6.969519098474434,1.2947576186906706,0.5602098491486479,17,0.0,18.66544335949082,0.5602098491486479,7.480375361275183,6.952782639300593,1.0,0.04252347294310824,7.085087963502827
0.001,6.892166359675211,30.28077622801698,136.02514065591316,0,-0.026899211567696035,7.426027294565117,0.0001,1652,0.026899211567696035,0.0,0.9733846550517935,208.7028375070537,12.815888211509868,6.992112512400677,1.2809650209131995,0.5572892492724004,18,0.0,19.065477177768898,0.5572892492724004,7.452926506132813,6.975689302611107,1.0,0.4465500389066076,7.10429521221651
0.001,6.918925390165335,31.29555416405761,144.60728960614242,0,-0.026028185701230555,7.399999108863886,0.0001,1600,0.026028185701230555,0.0,0.9720525846662794,216.52694822968581,12.663085077133388,7.016985229440035,1.263724229986021,0.5518561102838844,19,0.0,20.219591273817915,0.5518561102838844,7.426027294565117,7.0009509811649,1.0,0.033321049155646376,7.124883584575529
0.001,6.9444461239739805,31.959026888604352,144.73002672181389,0,-0.026383991205157997,7.373615117658728,0.0001,1565,0.026383991205157997,0.0,0.970337459552284,221.92058918488289,12.570554050299066,7.041387575464644,1.2536888679301286,0.5477686004484659,20,0.0,20.18203613136513,0.5477686004484659,7.399999108863886,7.025587308807326,1.0,0.38523708605644963,7.146468897477501
0.001,6.967375229480667,32.88200395517469,160.12912445366493,0,-0.02543163775749857,7.3481834799012296,0.0001,1520,0.02543163775749857,0.0,0.9674825221339929,229.08290776639936,12.450718838909301,7.06285269896641,1.240158609575908,0.5423079630967221,21,0.0,22.251423020539804,0.5423079630967221,7.373615117658728,7.0473524887472285,1.0,0.04408362768562472,7.164974950987975
