TimestepsMean,DeltaOmega,Wins,ITERATIONS,ReturnsStd,ReturnsMean,RewardStd,Omega,NormDeltaVar,RewardMean,OmegaBefore,ConfortViolation,NormDeltaOmega,TimestepsStd,Traj
46.616,-0.012845027760369304,0.0,1191,214.09476801551895,453.084858756728,1.4423762865482614,0.08019689989969103,0.06260670787619567,9.719513874136092,0.09304192766006034,0,0.012845027760369304,21.40832884650271,250
44.96,-0.009559019155914478,0.0,1192,155.96093149513848,436.58225896543627,1.4678468733059813,0.07063788074377655,0.059879960946592585,9.710459496562194,0.08019689989969103,0,0.009559019155914478,15.594050147411993,250
44.824,-0.004473012597709866,0.0,1193,187.5057518181077,435.20766396837854,1.469978506765328,0.06616486814606669,0.05426027352294277,9.709255398187992,0.07063788074377655,0,0.004473012597709866,18.748467244017576,250
42.696,-0.0018697960073973258,0.0,1194,152.40322199288622,413.94132624973264,1.5047394087651225,0.06429507213866936,0.05448176102162346,9.695084463409515,0.06616486814606669,0,0.0018697960073973258,15.236915173354483,250
44.328,0.001775086371471335,0.0,1195,170.5399665315498,430.29485472376484,1.4779486481218111,0.0660701585101407,0.04878671383211653,9.707066746159645,0.06429507213866936,0,0.001775086371471335,17.050877279483302,250
44.784,0.00410135626488671,0.0,1196,178.12247274326532,434.8261061904841,1.470679290256167,0.07017151477502741,0.04470024273183741,9.709407515864685,0.0660701585101407,0,0.00410135626488671,17.80992262756916,250
46.816,0.009260210211160497,0.0,1197,212.19540936044515,455.1031281647558,1.4395313218964905,0.0794317249861879,0.036720007410314365,9.721102361687366,0.07017151477502741,0,0.009260210211160497,21.21787322047146,250
45.272,0.013493225272351556,0.0,1198,189.3174692552679,439.66315816744606,1.4628773398333759,0.09292495025853946,0.038547329657164314,9.711591230063748,0.0794317249861879,0,0.013493225272351556,18.931614194251903,250
43.272,0.016505100963166874,0.0,1199,152.7871734792253,419.6362586179905,1.4948689711007337,0.10943005122170633,0.03562056455022433,9.69763955024012,0.09292495025853946,0,0.016505100963166874,15.279463864939764,250
48.432,0.022608522912514764,0.0,1200,209.12335294603122,471.1950498828949,1.4159356071918605,0.1320385741342211,0.031634624681164986,9.72900251657778,0.10943005122170633,0,0.022608522912514764,20.911369539080887,250
49.656,0.02250373746444223,0.0,1201,253.9900705248534,483.3470188762134,1.39880489222486,0.15454231159866333,0.028625588495029698,9.73390967609581,0.1320385741342211,0,0.02250373746444223,25.400190235508077,250
50.224,0.025936104346295397,0.0,1202,219.46845412179476,488.95399540723497,1.390940169421776,0.18047841594495873,0.026553499147542216,9.735465024833447,0.15454231159866333,0,0.025936104346295397,21.94898229986985,250
54.016,0.02278841761685549,0.0,1203,271.4892309145981,526.7864158838219,1.3426881126638524,0.20326683356181421,0.023878054963041535,9.752414393583788,0.18047841594495873,0,0.02278841761685549,27.156725575812704,250
59.152,0.019232073472279676,0.8,1204,317.5879442140223,578.1477212584522,1.2797359546466958,0.2224989070340939,0.023151749003821585,9.773933616081488,0.20326683356181421,0,0.019232073472279676,31.721804740588137,250
65.224,0.016933918144390936,2.4,1205,371.3652206851013,638.8970837155266,1.2105860955141752,0.23943282517848483,0.034503649093524054,9.795429346797599,0.2224989070340939,0,0.016933918144390936,37.04847937500269,250
68.32,0.014828728607719582,4.0,1206,383.0352692142556,669.9656421794152,1.1738835915243393,0.2542615537862044,0.04335415737650506,9.80628867358629,0.23943282517848483,0,0.014828728607719582,38.15706487663851,250
72.008,0.005064657677817996,5.6000000000000005,1207,463.0919954958376,707.0306577098879,1.1348396421214522,0.2593262114640224,0.05095542634006978,9.818779270496169,0.2542615537862044,0,0.005064657677817996,46.1279084286292,250
81.424,-0.0013515389652659082,8.799999999999999,1208,506.0139530491966,801.5643623030728,1.0507521642346793,0.2579746724987565,0.07039370825576478,9.844325534278259,0.2593262114640224,0,0.0013515389652659082,50.353194774512566,250
79.176,-0.0025480568049675023,8.799999999999999,1209,521.0296905814121,778.997779602817,1.065198312725261,0.255426615693789,0.09368447419772019,9.838812008725082,0.2579746724987565,0,0.0025480568049675023,51.86923003091525,250
79.712,-0.014129558679576548,8.799999999999999,1210,520.9333059980709,784.4403320476586,1.0617629831930515,0.24129705701421245,0.08941496494820067,9.840931504010168,0.255426615693789,0,0.014129558679576548,51.84682300777936,250
75.184,-0.021880482663600515,7.199999999999999,1211,468.2791908341323,739.0088821937594,1.1019678489521125,0.21941657435061193,0.08420912363673565,9.829337122177051,0.24129705701421245,0,0.021880482663600515,46.59877835308561,250
66.072,-0.017582264925713964,2.4,1212,385.28760711881193,647.4619939132365,1.2030719493886843,0.20183430942489797,0.08080370497400148,9.799340021692041,0.21941657435061193,0,0.017582264925713964,38.43814272308172,250
66.512,-0.019966759569769704,1.6,1213,398.0527996221279,651.8277024588443,1.2041085109026537,0.18186754985512826,0.08596465403177687,9.800151889265763,0.20183430942489797,0,0.019966759569769704,39.74712387079095,250
65.296,-0.021448402335680405,1.6,1214,397.68700099320375,639.7363652870732,1.2151282143428555,0.16041914751944786,0.08494815524765474,9.797481703122292,0.18186754985512826,0,0.021448402335680405,39.70552082519508,250
53.128,-0.017986357000900066,0.0,1215,261.0042067465599,517.9423279204459,1.3536302259455628,0.1424327905185478,0.07859989589531799,9.74895211414783,0.16041914751944786,0,0.017986357000900066,26.10286604953563,250
49.144,-0.011405664786015401,0.0,1216,204.36059482707344,478.20171986100996,1.4057051554848334,0.1310271257325324,0.07318631109168613,9.73062265710992,0.1424327905185478,0,0.011405664786015401,20.438670798268657,250
52.776,-0.006624798174889937,0.0,1217,266.3429766955491,514.5542645842875,1.358275726857856,0.12440232755764245,0.06490561887171015,9.749777637264808,0.1310271257325324,0,0.006624798174889937,26.636475442520542,250
51.736,0.0024904995911793765,0.0,1218,272.77757119396745,504.1771161065862,1.371411858322622,0.12689282714882183,0.06242061703502564,9.745189347970198,0.12440232755764245,0,0.0024904995911793765,27.280218180945692,250
55.304,0.000647011261289604,0.0,1219,292.8787582657326,539.8358583909625,1.3279209574382607,0.12753983841011143,0.061267832394293384,9.761244365524421,0.12689282714882183,0,0.000647011261289604,29.29060572948262,250
53.24,0.0046108344297227655,0.0,1220,256.6285070392606,519.2064208128207,1.3525745504130466,0.1321506728398342,0.05301760819831346,9.752186716995132,0.12753983841011143,0,0.0046108344297227655,25.66379551040726,250
54.672,0.013037453054313114,0.8,1221,302.56817583503585,533.5982463927865,1.3300689336410163,0.1451881258941473,0.05164104971499582,9.759991337298555,0.1321506728398342,0,0.013037453054313114,30.209343190476684,250
59.232,0.014212754810038225,0.8,1222,344.98659672169316,579.1452133429639,1.2793353163238577,0.15940088070418554,0.05073763934600962,9.777573158815569,0.1451881258941473,0,0.014212754810038225,34.46067579140026,250
53.304,0.016469471621941706,0.0,1223,274.3850977307662,519.7357476754732,1.351501084557221,0.17587035232612724,0.045372566409749834,9.750407993311446,0.15940088070418554,0,0.016469471621941706,27.442222650507013,250
59.064,0.020889263291014426,1.6,1224,352.6680632404788,577.4504239438958,1.275770971439141,0.19675961561714167,0.0462891769607561,9.776690097925906,0.17587035232612724,0,0.020889263291014426,35.19925999222143,250
66.808,0.01435270134407518,4.8,1225,491.12406744840365,655.2160834159719,1.18235081080481,0.21111231696121685,0.05922529418164847,9.807449458387795,0.19675961561714167,0,0.01435270134407518,48.95380614416003,250
75.96,0.00999943960240951,8.0,1226,507.3784598559455,747.0051927397599,1.091989654414954,0.22111175656362636,0.0672556354779616,9.83419158425171,0.21111231696121685,0,0.00999943960240951,50.505508610447635,250
77.504,0.006396146994595037,6.4,1227,512.3837360111175,762.1874433427453,1.0904131721336454,0.2275079035582214,0.07449784551108057,9.83416911827448,0.22111175656362636,0,0.006396146994595037,51.06115925045181,250
77.48,0.009753816399982018,7.199999999999999,1228,543.3508255307095,762.0503283519572,1.0860157955082312,0.23726171995820342,0.07236776024779518,9.835445642126448,0.2275079035582214,0,0.009753816399982018,54.13813443405674,250
81.016,0.012066583636364037,10.4,1229,568.2433808378075,797.7475060738083,1.0443660243363209,0.24932830359456745,0.08142834764186926,9.846789598027653,0.23726171995820342,0,0.012066583636364037,56.56656029846609,250
89.816,0.009552986251518708,16.0,1230,611.1304813932404,886.404583574238,0.9618291619769045,0.25888128984608616,0.0840827621835002,9.869116678255967,0.24932830359456745,0,0.009552986251518708,60.75002999176215,250
105.52,-0.014513505543533256,28.000000000000004,1231,700.2345112625943,1044.897960611821,0.8234072567173646,0.2443677843025529,0.10366393476029905,9.902368845828477,0.25888128984608616,0,0.014513505543533256,69.54947591463217,250
95.584,-0.02366301290637246,18.4,1232,624.6173672443699,944.4576604323298,0.9196699967640444,0.22070477139618044,0.11269272683661821,9.880917940579279,0.2443677843025529,0,0.02366301290637246,62.07004868694723,250
