RewardStd,RewardMean,ITERATIONS,Traj,ReturnsMean,ConfortViolation,DeltaOmega,NormDeltaVar,Wins,OmegaBefore,TimestepsMean,TimestepsStd,ReturnsStd,Theta,NormDeltaOmega,Omega
2.4900621357709127,2.4084,10,20,1204.2,0,0.00489899,0.06467336423838432,0.0,0.88020418,500.0,0.0,63.0678999174699,0.20961556,0.004898989871328863,0.88510317
2.421169965120169,2.356,11,20,1178.0,0,0.00529817,0.11864741047844163,0.0,0.88510317,500.0,0.0,66.40783086353596,0.21099488,0.005298168942911019,0.89040134
2.4827229486996734,2.4026,12,20,1201.3,0,0.00392498,0.03187989125667201,0.0,0.89040134,500.0,0.0,66.01598291323094,0.21062361,0.003924982064770988,0.89432632
2.4586622704226784,2.3728,13,20,1186.4,0,0.00390882,0.12192488324996376,0.0,0.89432632,500.0,0.0,68.0076466288902,0.21204611,0.00390881888785366,0.89823514
2.4346589412071657,2.3672,14,20,1183.6,0,0.00371345,0.031930224071832214,0.0,0.89823514,500.0,0.0,49.79397553921558,0.2124198,0.0037134473519804256,0.90194859
2.4400756627613007,2.3774,15,20,1188.7,0,0.00196155,0.2577767376024056,0.0,0.90194859,500.0,0.0,51.765915427045236,0.20941669,0.0019615528259178117,0.90391014
2.439838650402932,2.3644,16,20,1182.2,0,0.00033585,0.41497639353431026,0.0,0.90391014,500.0,0.0,56.57525961054001,0.20464799,0.00033585304774064184,0.90424599
2.4959653763624208,2.4178,17,20,1208.9,0,-0.00016533,0.44159524505884207,0.0,0.90424599,500.0,0.0,52.77679414288064,0.1996625,0.00016533255531314683,0.90408066
2.4925113761024242,2.4052,18,20,1202.6,0,0.00012287,0.5067786785214778,0.0,0.90408066,500.0,0.0,36.425815021767185,0.19405411,0.0001228694847189571,0.90420353
2.4893188706953557,2.3966,19,20,1198.3,0,0.00029472,0.47309224778500436,0.0,0.90420353,500.0,0.0,43.55812208991568,0.1889272,0.00029471938562364297,0.90449825
2.523502637208846,2.4538,20,20,1226.9,0,-0.00022234,0.5568353033406943,0.0,0.90449825,500.0,0.0,68.15416348250487,0.18302668,0.00022234190190584258,0.90427591
2.4824399610061065,2.3928,21,20,1196.4,0,0.00051971,0.5684512743483552,0.0,0.90427591,500.0,0.0,61.23920313002122,0.1771516,0.0005197050116588775,0.90479561
2.523633697666918,2.4464,22,20,1223.2,0,0.00127826,0.43632476191498526,0.0,0.90479561,500.0,0.0,51.3630217179636,0.17274323,0.0012782636570386474,0.90607387
2.5379864065829825,2.455,23,20,1227.5,0,0.00212853,0.29545148866212045,0.0,0.90607387,500.0,0.0,69.02137350125685,0.16980774,0.002128533302989122,0.90820241
2.496194735993168,2.4072,24,20,1203.6,0,0.00298682,0.27278798771817847,0.0,0.90820241,500.0,0.0,55.52512944604452,0.16713279,0.0029868191058006754,0.91118923
2.491122469891836,2.4122,25,20,1206.1,0,0.00188433,0.32177798100014243,0.0,0.91118923,500.0,0.0,78.49961783346464,0.16402086,0.001884329427279563,0.91307356
2.549669398176948,2.4686,26,20,1234.3,0,0.00165694,0.2952303175996711,0.0,0.91307356,500.0,0.0,59.083923363297394,0.1612068,0.0016569437354779781,0.9147305
2.5851040288545453,2.5154,27,20,1257.7,0,0.00099716,0.4600708109686096,0.0,0.9147305,500.0,0.0,72.32503024541366,0.15689944,0.000997160503933392,0.91572766
2.6049355539053165,2.5226,28,20,1261.3,0,0.00120727,0.40658439593952167,0.0,0.91572766,500.0,0.0,62.01701379460317,0.15317123,0.001207270160090923,0.91693493
2.598079259760949,2.5196,29,20,1259.8,0,0.00244545,0.39901552993892864,0.0,0.91693493,500.0,0.0,62.65428955785869,0.14958329,0.002445447554974889,0.91938038
2.6034591143323143,2.4992,30,20,1249.6,0,0.00228691,0.4877858707077465,0.0,0.91938038,500.0,0.0,54.00222217649936,0.14529153,0.002286913772192367,0.92166729
2.6069076239867037,2.5208,31,20,1260.4,0,0.00292091,0.44432907711107816,0.0,0.92166729,500.0,0.0,83.11582280167839,0.14147155,0.002920911233405654,0.9245882
2.571881731339915,2.4794,32,20,1239.7,0,0.00302345,0.3709336681250761,0.0,0.9245882,500.0,0.0,57.28970239056928,0.13834713,0.003023446370884919,0.92761165
2.595301477670754,2.5032,33,20,1251.6,0,0.00298829,0.36208700747483036,0.0,0.92761165,500.0,0.0,59.32149694672244,0.1353533,0.002988291838173729,0.93059994
2.6007653950327776,2.5044,34,20,1252.2,0,0.00134066,0.38744665709034365,0.0,0.93059994,500.0,0.0,69.86816156161547,0.13221049,0.0013406583780419812,0.9319406
2.619041045879197,2.532,35,20,1266.0,0,0.00178633,0.3008238864910098,0.0,0.9319406,500.0,0.0,76.77760090026257,0.12981318,0.0017863275514721222,0.93372693
2.640810905763607,2.5576,36,20,1278.8,0,0.00269697,0.06765622700999074,0.0,0.93372693,500.0,0.0,77.48135259531806,0.12927914,0.0026969657037861916,0.93642389
2.6575958383471323,2.5706,37,20,1285.3,0,0.00171412,0.06722702667094893,0.0,0.93642389,500.0,0.0,57.314134382366795,0.12875034,0.0017141185514648605,0.93813801
2.6181065218970754,2.5268,38,20,1263.4,0,0.00099402,0.16099708738071783,0.0,0.93813801,500.0,0.0,72.12794188107685,0.12749145,0.000994023490888507,0.93913204
2.6411642205663775,2.5534,39,20,1276.7,0,0.00100184,0.15446459306186,0.0,0.93913204,500.0,0.0,65.08233247203115,0.12629353,0.0010018407227332382,0.94013388
