DualBefore,WeightMin,TimestepsMean,WeightMean,NormDeltaOmega,Epsilon,ReturnsMean,DeltaOmega,Omega,ITERATIONS,OmegaBefore,TimestepsStd,DualReg,WeightMedian,LossReg,NormDeltaVar,Primal,ReturnsStd,Eta,RewardMean,DualAfter,WeightMax,Traj,Wins,ConfortViolation,RewardStd
7.914967361658972,0.0012331987591668598,500.0,0.0012331987591668598,0.0009344757015482541,1.3201,1479.7373737373737,[[-0.00093448]],[[0.99656362]],10,[[0.99749809]],0.0,0.0,0.006580741163839144,0.0,4.547189434093198,7.909559249682494,81.55838038659525,1.1943607300000472,2.96064,7.909559505207577,1.0,100,0.0,0,2.977900399677598
7.925643439766672,0.0010373149663274223,500.0,0.0010373149663274223,0.00048324789474119,1.3201,1488.5454545454545,[[0.00048325]],[[0.99704686]],11,[[0.99656362]],0.0,0.0,0.005780068468509845,0.0,2.171955184529267,7.922000099744694,78.07316857317893,1.1642935048665344,2.97628,7.922000121295978,1.0,100,0.0,0,2.988818723442424
7.935828803306196,0.0008534712991775325,500.0,0.0008534712991775325,0.00040956457300234117,1.3201,1498.4444444444443,[[0.00040956]],[[0.99745643]],12,[[0.99704686]],0.0,0.0,0.004993346350637732,0.0,2.1387025733434086,7.933612902637856,89.25032577505802,1.1321504536749456,2.99604,7.93361240918068,1.0,100,0.0,0,2.996074818558442
7.923406330249574,0.0010734160023690622,500.0,0.0010734160023690622,0.0005506188904591536,1.3201,1487.858585858586,[[-0.00055062]],[[0.99690581]],13,[[0.99745643]],0.0,0.0,0.005930291604886843,0.0,2.8072752424108387,7.919443481275101,84.99756503951551,1.1701193883699337,2.97712,7.9194435202462925,1.0,100,0.0,0,2.983762139581505
7.915708570189588,0.0012167710907493654,500.0,0.0012167710907493654,0.0003358530423734907,1.3201,1482.20202020202,[[-0.00033585]],[[0.99656996]],14,[[0.99690581]],0.0,0.0,0.0065148836210605614,0.0,1.4769084439058986,7.910448857147965,76.96227329718307,1.1919742154722783,2.96392,7.910449079351821,1.0,100,0.0,0,2.977189653616309
7.906068979437162,0.0013999713261812657,500.0,0.0013999713261812657,0.0004350909184037688,1.3201,1473.2525252525252,[[-0.00043509]],[[0.99613487]],15,[[0.99656996]],0.0,0.0,0.007237512978156953,0.0,1.7122886178228782,7.89899339593602,76.8488406666289,1.2174144704989813,2.94868,7.898992814880783,1.0,100,0.0,0,2.9681654700504825
7.920570005924049,0.0011275837819661014,500.0,0.0011275837819661014,0.0006656390673197565,1.3201,1484.3030303030303,[[0.00066564]],[[0.9968005]],16,[[0.99613487]],0.0,0.0,0.006153349961891812,0.0,2.709590982794893,7.916135553003176,89.38187900154911,1.1786062606305563,2.9706,7.916135639338675,1.0,100,0.0,0,2.982444574505954
7.9390346797449824,0.00013819531503464388,500.0,0.00013819531503464388,0.000768414810350504,1.3201,1499.4747474747476,[[0.00076841]],[[0.99756892]],17,[[0.9968005]],0.0,0.0,0.0008173247611019345,0.0,3.934683747904259,7.937062868055833,78.53177230458935,1.125259049769479,2.99856,7.93706267400809,1.0,100,0.0,0,2.99994632058642
7.912999786726287,0.0012739980883040923,500.0,0.0012739980883040923,0.0010621064086452359,1.3201,1476.5050505050506,[[-0.00106211]],[[0.99650681]],18,[[0.99756892]],0.0,0.0,0.006743363676283825,0.0,5.193484762841578,7.907210134554498,77.33716993322342,1.2001928909724742,2.95456,7.907210470796826,1.0,100,0.0,0,2.9780287450593894
7.924617214586393,0.0010510389785450545,500.0,0.0010510389785450545,0.0004490741401829146,1.3201,1488.5656565656566,[[0.00044907]],[[0.99695589]],19,[[0.99650681]],0.0,0.0,0.005837328266095428,0.0,1.9722219625133448,7.9208456611320655,71.87083835873284,1.166524916763101,2.9794,7.920845687912759,1.0,100,0.0,0,2.984663404807986
