Traj,WeightMedian,RewardMean,Wins,NormDeltaVar,LossReg,ITERATIONS,RewardStd,WeightMin,TimestepsMean,NormDeltaOmega,WeightMean,OmegaBefore,Eta,Epsilon,TimestepsStd,DeltaOmega,ConfortViolation,Primal,ReturnsMean,WeightMax,DualBefore,DualReg,DualAfter,Omega,ReturnsStd
100,0.01902164900266097,2.81056,0.0,0.055473182600643156,0.0,10,2.866962240141994,0.007064154749861934,500.0,0.00012764214874194657,0.007064154749861934,[[0.9660348]],2.0190917607648884,0.9901,0.0,[[-0.00012764]],0,7.209972049156123,1406.0,1.0,7.490373565496577,0.0,7.209971780811459,[[0.96590716]],85.20302550705318
100,0.01911620152550431,2.80532,0.0,0.4378681058691427,0.0,11,2.857358867485846,0.0071080749797760075,500.0,0.0010238869497075642,0.0071080749797760075,[[0.96590716]],2.021621721372643,0.9901,0.0,[[-0.00102389]],0,7.198183767434277,1402.7272727272727,1.0,7.4819350995513965,0.0,7.198183771611866,[[0.96488328]],70.96646215747155
100,0.018887865538491044,2.81688,0.0,0.23082303714097208,0.0,12,2.8634082953012476,0.007002104742388407,500.0,0.0005433837161427091,0.007002104742388407,[[0.96488328]],2.0155014239542273,0.9901,0.0,[[0.00054338]],0,7.210272421016629,1408.9292929292928,1.0,7.488072498362298,0.0,7.2102732815408395,[[0.96542666]],73.54202433945163
100,0.01944652631078332,2.78712,0.0,0.38393190759682483,0.0,13,2.851547317790817,0.007261938128727616,500.0,0.0009083495813505538,0.007261938128727616,[[0.96542666]],2.0304121112106364,0.9901,0.0,[[-0.00090835]],0,7.181923004770787,1394.2626262626263,1.0,7.473652508191959,0.0,7.181924337943687,[[0.96451831]],82.18168906359354
100,0.019384103424310656,2.79444,0.0,0.09017886202116188,0.0,14,2.855644425764524,0.007232811519158441,500.0,0.00021539941434556287,0.007232811519158441,[[0.96451831]],2.0287566311910457,0.9901,0.0,[[0.0002154]],0,7.191292593277061,1397.878787878788,1.0,7.481971881790633,0.0,7.1912948747633525,[[0.96473371]],75.26643217711451
100,0.019478640828423446,2.79372,0.0,0.2215815401297334,0.0,15,2.8521726037531456,0.007276931922378639,500.0,0.000531535123383553,0.007276931922378639,[[0.96473371]],2.0312627816293185,0.9901,0.0,[[-0.00053154]],0,7.189199192969086,1396.121212121212,1.0,7.483499627533391,0.0,7.189199164851143,[[0.96420217]],63.25885137527113
100,0.01885665499131908,2.8232,0.0,0.8461234681141505,0.0,16,2.872173699482676,0.006987644773263198,500.0,0.0019890865405417513,0.006987644773263198,[[0.96420217]],2.014662016376998,0.9901,0.0,[[0.00198909]],0,7.223434326261604,1412.6262626262626,1.0,7.5004778177090445,0.0,7.223431486788741,[[0.96619126]],72.78452852840873
100,0.0191601764708889,2.80248,0.0,0.6414227665475281,0.0,17,2.8551752747598527,0.007128520139776667,500.0,0.0014977765793859898,0.007128520139776667,[[0.96619126]],2.0227962583948367,0.9901,0.0,[[-0.00149778]],0,7.194371173643712,1400.9292929292928,1.0,7.479280689382808,0.0,7.194371185113804,[[0.96469348]],69.35216127300882
100,0.018661312497489632,2.83116,0.0,0.7246638521898987,0.0,18,2.8742952274253244,0.006897278015706558,500.0,0.0016875994327313348,0.006897278015706558,[[0.96469348]],2.0093925293455013,0.9901,0.0,[[0.0016876]],0,7.229230438481088,1415.5555555555557,1.0,7.501248071552531,0.0,7.229230263177593,[[0.96638108]],77.52200368278922
100,0.018669486815289345,2.83036,0.0,0.3717924752414419,0.0,19,2.8814757105344473,0.0069010547884555285,500.0,0.0008353469865510776,0.0069010547884555285,[[0.96638108]],2.0096135849783736,0.9901,0.0,[[0.00083535]],0,7.235069582719311,1415.1313131313132,1.0,7.506268374787708,0.0,7.235069251234924,[[0.96721643]],85.3334098561028
