ITERATIONS,Wins,TimestepsMean,NormDeltaOmega,ReturnsMean,ReturnsStd,DeltaOmega,OmegaBefore,NormDeltaVar,RewardMean,TimestepsStd,ConfortViolation,Traj,Omega,RewardStd
418,1.2,62.008,0.0003096916775543468,606.5588394050815,365.08351404035903,-0.0003096916775543468,0.25202665784590944,0.10544452782371827,9.781944900739928,36.464776648157326,0,250,0.2517169661683551,1.2480184300008337
448,3.5999999999999996,68.46,0.01932728768262454,671.1949862335313,459.2196512512719,-0.01932728768262454,0.2801609173875852,0.16800712600828807,9.804192027951085,45.8139760335206,0,250,0.26083362970496066,1.174931686049409
478,20.4,104.384,0.07009555948366275,1031.6641507709146,645.8420063424804,-0.07009555948366275,0.3776309283662408,0.18914033997256038,9.883355215080037,64.23958704724058,0,250,0.30753536888257804,0.8693063014071936
508,4.0,71.016,0.03046480420834019,696.7686771710964,428.9037935401203,0.03046480420834019,0.28617882202912936,0.0602015046428554,9.811432313437766,42.751277688508914,0,250,0.31664362623746956,1.1517637200929254
538,0.4,50.74,0.02631677201266236,494.1493021155963,272.435546345834,0.02631677201266236,0.16506626832550125,0.02594131965839123,9.738851046819006,27.220587796739437,0,250,0.1913830403381636,1.3813539871897649
568,0.8,62.572,0.019607427085196916,612.1942952289345,367.33501470042734,0.019607427085196916,0.23561469632000104,0.07209043904170916,9.783837742583495,36.70930149158385,0,250,0.25522212340519795,1.2450679134389513
598,5.6000000000000005,74.368,0.030398136612229842,730.6332281187044,497.60198768422225,0.030398136612229842,0.24747039994359216,0.054331710084089005,9.824564706845745,49.59911870184792,0,250,0.277868536555822,1.1171394617471853
628,0.8,62.44,0.011302044340574968,611.0320178093186,364.9253973744593,-0.011302044340574968,0.1946082626407351,0.12274939102215977,9.785906755434315,36.46387801646994,0,250,0.18330621830016014,1.2466326241041528
658,2.4,59.976,0.01449410934625242,586.6412736639464,395.681754592806,0.01449410934625242,0.17985374960134762,0.10412349195435588,9.78126706789293,39.47454146662125,0,250,0.19434785894760004,1.2613029600647545
688,3.5999999999999996,63.78,0.011150142461939072,624.7102301109138,398.5844326920545,0.011150142461939072,0.2096302074946629,0.1052464092867628,9.794766856552426,39.71321694348117,0,250,0.22078034995660198,1.2166255451680033
718,6.0,80.548,0.04320401961373499,792.3967623060886,515.898174023266,0.04320401961373499,0.2520838236625246,0.062101392468447106,9.837572159533304,51.44278079575404,0,250,0.29528784327625957,1.0721007300020773
748,35.199999999999996,125.72,0.0005703255990969769,1247.0881361518573,710.9520136481918,0.0005703255990969769,0.3550719549253414,0.10224449488939877,9.919568375372709,70.64243483912485,0,250,0.35564228052443836,0.7164876207758515
778,11.600000000000001,74.592,0.005646194042653235,733.7480068993364,563.9522718923045,0.005646194042653235,0.2275974777029058,0.10783184616714371,9.83681905431328,56.07838742332023,0,250,0.23324367174555904,1.0803575610406972
808,0.4,52.6,0.030824579543409808,512.7935872327638,278.84185353598014,0.030824579543409808,0.1456417930010158,0.055265203343984895,9.74892751393087,27.86050968665146,0,250,0.1764663725444256,1.3576913315029957
838,15.2,86.724,0.0441878110110277,855.3711829152031,628.7204836527708,-0.0441878110110277,0.25029058656515224,0.15289320150456057,9.863142646962816,62.54284790445667,0,250,0.20610277555412454,0.9830355602920431
868,0.0,50.316,0.018306775147645254,489.9503077512304,238.20798797575108,0.018306775147645254,0.13035409936921763,0.09204925335570033,9.737465373861802,23.822009654938853,0,250,0.14866087451686288,1.3899087302424853
898,0.0,50.616,0.0024994394916030838,493.02620332560235,262.3315001851653,-0.0024994394916030838,0.1137984086856394,0.09598551077918338,9.740520849644428,26.234872669788203,0,250,0.11129896919403631,1.386112039752391
