ITERATIONS,Traj,DeltaOmega,OmegaBefore,NormDeltaOmega,RewardStd,TimestepsMean,ReturnsMean,ReturnsStd,TimestepsStd,RewardMean,ConfortViolation,Wins,NormDeltaVar,Omega
688,250,-0.011391111911212448,23.2400856336945,0.011391111911212448,6.592507314634838,5.532,-77.59000874632996,8.493994944859153,0.498974949271003,-14.025670416907078,0,0.0,0.0006286725684891666,23.228694521783286
718,250,-0.02172537820362308,23.216676888421407,0.02172537820362308,6.554843499818755,5.564,-77.86313905764506,8.464761943411345,0.4958870839213299,-13.994094007484732,0,0.0,0.005950959028749436,23.194951510217784
748,250,0.021340841199823046,23.250667425115502,0.021340841199823046,6.619967342709649,5.488,-76.91320269287303,8.57505965504096,0.4998559792580259,-14.01479640905121,0,0.0,0.027173310603487395,23.272008266315325
778,250,0.022678960425679406,23.139197540222114,0.022678960425679406,6.491140018107603,5.548,-76.74945412092205,8.3460317178317,0.4976906669810074,-13.833715594975136,0,0.0,0.006096972383740593,23.161876500647793
808,250,-0.01008826958971909,23.128914462158992,0.01008826958971909,6.48560865084065,5.552,-76.77296955764179,8.35307757591087,0.49728864857344174,-13.827984430410988,0,0.0,0.014453983061525367,23.118826192569273
838,250,0.01288089640278045,23.12607104398135,0.01288089640278045,6.51653745067353,5.476,-75.4452542720564,8.464380041568193,0.4994236678412428,-13.777438691025644,0,0.0,0.0015890041771172132,23.138951940384132
868,250,0.024671294430810065,23.05339195853277,0.024671294430810065,6.4351546231131875,5.5,-75.03310306335337,8.324680817170089,0.5,-13.64238237515516,0,0.0,0.0029336639271993004,23.07806325296358
898,250,-0.025699385621329895,23.079265007679417,0.025699385621329895,6.426848959341371,5.572,-76.52034901941387,8.300388953203955,0.494788843851597,-13.733013104704574,0,0.0,0.004049312758128253,23.053565622058088
928,250,-0.013166649405167874,23.34034679970884,0.013166649405167874,6.685140144324372,5.532,-78.6803621443894,8.661619766827183,0.49897494927100305,-14.222769729643783,0,0.0,0.005677455577943946,23.327180150303672
958,250,0.022372346625722628,22.98327307841094,0.022372346625722628,6.362927521441048,5.516,-74.53511103228811,8.198600504180908,0.499743934430424,-13.512529193670797,0,0.0,0.008383998623588483,23.00564542503666
988,250,-0.010869282408357606,23.293781077615584,0.010869282408357606,6.635096980924347,5.536,-78.17749885329205,8.58132787406208,0.4987023160162784,-14.121658029857668,0,0.0,0.03264462115914469,23.282911795207227
1018,250,-0.031132351871477226,23.061816060586416,0.031132351871477226,6.42799198196044,5.544,-75.91816753636282,8.321943547133083,0.4980602373207482,-13.693753163124606,0,0.0,0.0018029016899255657,23.03068370871494
1048,250,-0.008146408924698534,23.47702076611882,0.008146408924698534,6.835866597869048,5.468,-78.96070653695256,8.851469770034754,0.49897494927100305,-14.440509608074716,0,0.0,0.004365382819751712,23.46887435719412
1078,250,-0.011913181274039175,23.285359072601448,0.011913181274039175,6.637582140079491,5.524,-77.9360024442533,8.562262268253845,0.4994236678412428,-14.108617386722177,0,0.0,0.0062874022673452285,23.27344589132741
1108,250,-0.002886745878416974,23.257370739285196,0.002886745878416974,6.602751616606619,5.54,-77.89282900386347,8.464643670710874,0.4983974317750845,-14.060077437520482,0,0.0,0.009672460248021679,23.25448399340678
1138,250,-0.016715404825788482,23.166181434304935,0.016715404825788482,6.5222913767894015,5.528,-76.67086122767112,8.384565442851779,0.4992153843783262,-13.869547978956426,0,0.0,0.01849190103185491,23.149466029479147
1168,250,-0.0011537078803058876,23.292212281029258,0.0011537078803058876,6.656187390153794,5.492,-77.4302300063063,8.581476318399755,0.49993599590347565,-14.098730882430136,0,0.0,0.00894326486557385,23.291058573148952
1198,250,-0.0024878841707440813,23.355951868423958,0.0024878841707440813,6.702914801403605,5.508,-78.34133972535396,8.631112586810058,0.49993599590347565,-14.223191671269783,0,0.0,0.004968382522477357,23.353463984253214
1228,250,-0.0341548875294464,22.90824742868757,0.0341548875294464,6.289537351696965,5.54,-74.19124980714383,8.104219602296306,0.49839743177508444,-13.391922347859897,0,0.0,0.03704976783522866,22.874092541158124
1258,250,0.0008476389670732942,23.163125589179348,0.0008476389670732942,6.517154213097414,5.54,-76.8791399445756,8.438078391865893,0.4983974317750845,-13.877101073028083,0,0.0,0.1018574362658286,23.16397322814642
1288,250,0.002065512476640663,23.355527418546664,0.002065512476640663,6.689470833964543,5.536,-78.82321444824117,8.6197314153672,0.4987023160162784,-14.238297407558015,0,0.0,0.00480809735871159,23.357592931023305
1318,250,-0.04037830639262552,23.27764929940651,0.04037830639262552,6.632018805927628,5.524,-77.87054608446147,8.528319573905904,0.4994236678412428,-14.096767937085712,0,0.0,0.0002583720366711858,23.237270993013883
1348,250,0.018310429368980863,23.01888041903526,0.018310429368980863,6.3974720863071015,5.528,-75.20690796523806,8.206274235872375,0.49921538437832613,-13.604722859124104,0,0.0,0.00038692958198490037,23.03719084840424
1378,250,0.01163734364079616,23.298916835717534,0.01163734364079616,6.6560984906132346,5.504,-77.70009660673855,8.561684991449917,0.4999839997439918,-14.117023366049883,0,0.0,0.0004824713286538279,23.31055417935833
1408,250,0.014011463267401325,23.159885299008916,0.014011463267401325,6.5185004460914815,5.524,-76.54199289901625,8.425911332636648,0.4994236678412428,-13.856262291639435,0,0.0,0.0005647764361740282,23.173896762276318
1438,250,0.03610578190273017,23.134442219353087,0.03610578190273017,6.505961678284573,5.504,-75.94108334273952,8.426668176035331,0.4999839997439918,-13.79743520035238,0,0.0,0.0006673832841326223,23.170548001255817
1468,250,0.00934343180769659,23.324777258097,0.00934343180769659,6.683898128367196,5.492,-77.75238510818431,8.606204450523222,0.49993599590347565,-14.157389859465464,0,0.0,0.0008131652791925873,23.334120689904697
1498,250,0.007354575187203949,23.048324193036546,0.007354575187203949,6.4428396997784505,5.48,-74.67668515080764,8.365416053387081,0.49959983987187184,-13.627132326789715,0,0.0,0.0009681898222231267,23.05567876822375
1528,250,-0.041435037100345795,22.928144495218326,0.041435037100345795,6.321436514668863,5.52,-74.13505113684816,8.229287957272367,0.49959983987187184,-13.430262887110175,0,0.0,0.0011836501109367176,22.88670945811798
1558,250,-0.030814263590766444,23.152550911235164,0.030814263590766444,6.49014928109011,5.576,-77.36718751408104,8.33837837933651,0.494190246767376,-13.875033628780676,0,0.0,0.0014692307280470115,23.121736647644397
1588,250,0.033449054992903626,23.141906674880286,0.033449054992903626,6.505131788427976,5.52,-76.29228172648017,8.395254721222464,0.49959983987187184,-13.821065530159451,0,0.0,0.0017774462407064097,23.17535572987319
1618,250,-0.005969339439193533,23.090901328942635,0.005969339439193533,6.477128085049602,5.484,-75.17089459388427,8.342608672553192,0.499743934430424,-13.707311195091952,0,0.0,0.002270618703302314,23.084931989503442
1648,250,-0.05154546171263519,23.23809900941854,0.05154546171263519,6.568376852194951,5.58,-78.38404788138476,8.432234458643233,0.4935585071701227,-14.047320408850315,0,0.0,0.002986948565128468,23.186553547705905
1678,250,0.010484573726166957,23.2191109203296,0.010484573726166957,6.5676498728303345,5.536,-77.38565011147192,8.478358395237521,0.4987023160162784,-13.978621768690736,0,0.0,0.003881908573675745,23.22959549405577
1708,250,0.0275248798653287,23.01405448999255,0.0275248798653287,6.379849693740255,5.552,-75.52369662810737,8.19746469479035,0.49728864857344174,-13.602971294687928,0,0.0,0.005289768096127168,23.041579369857878
1738,250,0.0010719891200743348,23.180308730372694,0.0010719891200743348,6.540612467222746,5.516,-76.61984203381922,8.437646201555545,0.499743934430424,-13.890471724767806,0,0.0,0.00806444223724158,23.18138071949277
1768,250,0.022213598257373235,23.3356727764565,0.022213598257373235,6.655765210892099,5.572,-79.24661768828868,8.534432303398404,0.494788843851597,-14.222293196031709,0,0.0,0.013791185984562289,23.357886374713875
1798,250,-0.06127097819474159,22.94716342572018,0.06127097819474159,6.338380715683296,5.516,-74.2469484777849,8.18887829525631,0.499743934430424,-13.460287976393202,0,0.0,0.03342243298694982,22.88589244752544
1828,250,-0.03170691399111547,23.13774203426741,0.03170691399111547,6.494214385017974,5.54,-76.60855179710151,8.376673688562732,0.4983974317750845,-13.828258447130237,0,0.0,0.06312800233343507,23.106035120276296
1858,250,0.03430338557323864,23.363124641014586,0.03430338557323864,6.736319454453833,5.464,-77.71990886482898,8.666002745089497,0.4987023160162784,-14.223995033826679,0,0.0,0.007659581663920811,23.397428026587825
1888,250,0.03920523401590614,22.993825516087565,0.03920523401590614,6.3764289996592565,5.508,-74.51940083563947,8.21838503580604,0.49993599590347565,-13.529302983957784,0,0.0,0.011495205828751248,23.03303075010347
1918,250,0.017026772894702447,23.024383818792064,0.017026772894702447,6.413996866413705,5.492,-74.60874766655192,8.308933003998927,0.49993599590347565,-13.584986829306615,0,0.0,0.03195980876270776,23.041410591686766
1948,250,-0.001325198699817065,23.195980398159616,0.001325198699817065,6.519380627175383,5.596,-78.15696760179833,8.285407823209656,0.4906974628016737,-13.966577484238444,0,0.0,0.05025387418983097,23.1946551994598
1978,250,0.006558120727348182,23.239466235268758,0.006558120727348182,6.561780428901365,5.592,-78.57913641599784,8.431385160395504,0.4914631217090455,-14.052063021458844,0,0.0,0.013161532447169612,23.246024355996106
