ITERATIONS,ReturnsStd,NormDeltaOmega,ConfortViolation,DeltaOmega,Traj,ReturnsMean,NormDeltaVar,RewardMean,RewardStd,TimestepsStd,TimestepsMean,OmegaBefore,Wins,Omega
688,10.636788574666458,0.0019202476075399488,0,-0.0019202476075399488,250,-95.17965424189377,0.0003252741399602436,-17.5478713572813,8.346890559008127,0.494190246767376,5.424,25.060263113425094,0.0,25.058342865817554
718,10.127831565827291,0.02073674100794065,0,-0.02073674100794065,250,-93.49678182810763,0.0023763676164296156,-17.561379006030734,8.448976095393078,0.46799999999999997,5.324,25.10766341521439,0.0,25.08692667420645
748,9.762836616506121,0.011921076307860545,0,0.011921076307860545,250,-92.60547610373979,0.00316554925293485,-17.499145144319687,8.45053606565365,0.45468230667137255,5.292,25.085627080450195,0.0,25.097548156758055
778,10.672839559102142,0.031391413334155516,0,-0.031391413334155516,250,-95.588571814569,0.00430812427013057,-17.636267862466603,8.392537198245678,0.4935585071701227,5.42,25.1016065803453,0.0,25.070215167011145
808,10.336330039018767,0.02719365062083412,0,-0.02719365062083412,250,-92.9595423680565,0.006075025096444438,-17.214730068158612,8.210836290914088,0.4898979485566356,5.4,24.905090427542785,0.0,24.87789677692195
838,10.464881969554801,0.013311765611113913,0,-0.013311765611113913,250,-95.3214563087001,0.009440829148818835,-17.77059215300151,8.510678178126525,0.48114862568649197,5.364,25.18498954934481,0.0,25.171677783733696
868,10.454265575707158,0.0035827798447805037,0,0.0035827798447805037,250,-94.2183572519973,0.055022125530064275,-17.47373094436152,8.341727849043396,0.4881966816765555,5.392,25.037003441319197,0.0,25.040586221163977
898,10.370574554581903,0.02018105666164871,0,-0.02018105666164871,250,-95.20572844053008,0.003663713757042888,-17.82878809747754,8.561519512428996,0.4737087712930804,5.34,25.227258275007948,0.0,25.2070772183463
928,10.572332747124591,0.014923608896211249,0,-0.014923608896211249,250,-94.51325281623058,0.0029523436462926154,-17.45074830432618,8.30797824984718,0.49289349762397966,5.416,25.010612697881204,0.0,24.995689088984992
958,10.08337469058803,0.012705925491022896,0,0.012705925491022896,250,-91.5027792056375,0.0042629388064317104,-17.02060625104864,8.140245101621415,0.4843800161030593,5.376,24.82097419851812,0.0,24.833680124009142
988,10.658555614629543,0.020379989100085538,0,-0.020379989100085538,250,-95.87226105161878,0.04909112764345383,-17.63654544731766,8.377374886836844,0.4958870839213299,5.436,25.100871873722067,0.0,25.08049188462198
1018,10.066281291148492,0.0015215369929890699,0,-0.0015215369929890699,250,-93.32622765558817,0.0012058880590135933,-17.542523995411308,8.443887815872753,0.46647615158762407,5.32,25.093420832738076,0.0,25.091899295745087
1048,10.54830995929998,0.04095209975472969,0,0.04095209975472969,250,-95.71609105794782,0.0013447076169985919,-17.725202047768114,8.453987968135193,0.4898979485566356,5.4,25.15990079221947,0.0,25.2008528919742
1078,10.36103600042672,0.041212447046447664,0,-0.041212447046447664,250,-92.99667524819223,0.001794312079542663,-17.196130778142052,8.194222446838122,0.4914631217090455,5.408,24.89083140371326,0.0,24.849618956666813
1108,10.106172784198716,0.01617536097225525,0,-0.01617536097225525,250,-91.52920866529952,0.00225464505710709,-17.050895802030464,8.162570627167044,0.4822613399392492,5.368,24.84075843404602,0.0,24.824583073073764
1138,10.379875370372824,0.026671549780203918,0,-0.026671549780203918,250,-94.18431924892919,0.0029248889074761936,-17.532449599577284,8.388661485859515,0.48333839077813795,5.372,25.070023526664155,0.0,25.04335197688395
1168,10.349348607099481,0.003784866494669359,0,-0.003784866494669359,250,-93.31805955431776,0.0038272973861370237,-17.26833078355251,8.232400453297025,0.49069746280167376,5.404,24.93574138883977,0.0,24.9319565223451
1198,10.553746401233472,0.004452770132004957,0,-0.004452770132004957,250,-95.15853777692534,0.0053442971592566075,-17.661198548055925,8.434889758178645,0.48729457210192695,5.388,25.127969747533843,0.0,25.123516977401838
1228,10.443749446668662,0.009419313069521706,0,0.009419313069521706,250,-93.7096436887703,0.01139074352109596,-17.276851712531396,8.217965382908844,0.494190246767376,5.424,24.9292830391561,0.0,24.938702352225622
1258,10.468823051666392,0.0025466307633763563,0,-0.0025466307633763563,250,-93.1456645026391,0.0448142169054421,-17.210950573288823,8.197880764132924,0.4921950832749145,5.412,24.901736384337653,0.0,24.899189753574277
1288,10.272190019928724,0.027447187184744593,0,-0.027447187184744593,250,-92.35749886960082,0.002136429648620477,-17.115918989918608,8.167212058126323,0.489064412935556,5.396,24.856481586278512,0.0,24.829034399093768
1318,10.467639603637455,0.03350708549428916,0,-0.03350708549428916,250,-94.5965215733129,9.871436476429446e-05,-17.56993342743553,8.395350749963303,0.4863578929142612,5.384,25.081421846185595,0.0,25.047914760691306
1348,10.197687730614117,0.014805152580521508,0,0.014805152580521508,250,-92.9113321687828,0.0001438398324220195,-17.321277436387547,8.295249248503817,0.48114862568649197,5.364,24.975744747647497,0.0,24.990549900228018
1378,10.53579601652353,0.022537246286781,0,0.022537246286781,250,-93.89877030234624,0.00017181515239913085,-17.36293829555219,8.273707178015092,0.4914631217090455,5.408,24.977964511007432,0.0,25.000501757294213
1408,10.26612699679692,0.0008506511715467013,0,0.0008506511715467013,250,-92.72240918960794,0.00020033495701515168,-17.221844203121833,8.229037337614415,0.48635789291426124,5.384,24.91596050097357,0.0,24.916811152145115
1438,10.438089841538936,0.02373801153763111,0,-0.02373801153763111,250,-94.34748420938209,0.00023851651361866673,-17.56282282378669,8.403080871236432,0.48333839077813795,5.372,25.087482938579193,0.0,25.06374492704156
1468,10.207219086677963,0.026510394009182647,0,-0.026510394009182647,250,-93.38011645597997,0.00028167736747035317,-17.473824187122002,8.387419687279586,0.4750410508577127,5.344,25.051117479422903,0.0,25.02460708541372
1498,10.304549291475507,0.014261077667690358,0,0.014261077667690358,250,-95.05327960442378,0.00033100587279433165,-17.840330256085547,8.579408365840457,0.4694848240358787,5.328,25.23958985432615,0.0,25.253850931993842
1528,10.202510994309376,0.0243538802568537,0,0.0243538802568537,250,-91.74861012113408,0.0003777398107226338,-16.977907128263155,8.093903218443048,0.49069746280167376,5.404,24.78189685728238,0.0,24.806250737539234
1558,9.91550254257734,0.030351166252550854,0,-0.030351166252550854,250,-91.85045878388678,0.00045690523768242725,-17.226267588875988,8.280155864406227,0.47093099282166595,5.332,24.935978315615905,0.0,24.905627149363355
1588,10.580582952494725,0.0033680986823476644,0,0.0033680986823476644,250,-96.06225387216679,0.0005488075499205014,-17.935446951487453,8.597115617258012,0.4788152044369518,5.356,25.273460909210524,0.0,25.27682900789287
1618,10.420790982560467,0.01779441358083389,0,-0.01779441358083389,250,-94.37762130774362,0.0006504732004764401,-17.607765169355154,8.436427179284985,0.48,5.36,25.11522996549764,0.0,25.097435551916806
1648,10.6645692336631,0.02981227570410283,0,-0.02981227570410283,250,-96.49361331183039,0.0007846492061969991,-18.00253979698328,8.625287837810657,0.48,5.36,25.307355337519592,0.0,25.27754306181549
