ReturnsMean,Omega,TimestepsMean,Traj,ITERATIONS,NormDeltaOmega,DeltaOmega,OmegaBefore,ReturnsStd,RewardStd,TimestepsStd,NormDeltaVar,RewardMean,ConfortViolation,Wins
-87.56512190562633,24.334274072740367,5.468,250,65,0.04800080807267193,0.04800080807267193,24.286273264667695,11.161066018662993,7.579794286623888,0.5735642945651342,0.016182668420479388,-16.014104225608325,0,0.0
-86.93750177542385,24.381489254166482,5.412,250,66,0.04721518142611458,0.04721518142611458,24.334274072740367,9.656319709502622,7.651600478622852,0.4921950832749145,0.011605434711885791,-16.06383994372207,0,0.0
-87.63080751762655,24.42799980385218,5.42,250,67,0.04651054968569923,0.04651054968569923,24.381489254166482,9.790855086918826,7.694268651274835,0.4935585071701227,0.007524934217930761,-16.168045667458774,0,0.0
-88.01388308022024,24.47303649662974,5.412,250,68,0.04503669277755762,0.04503669277755762,24.42799980385218,10.280704036066384,7.746192857792204,0.5160000000000001,0.0060936053427839134,-16.262727841873655,0,0.0
-88.62550078439203,24.517143076970996,5.42,250,69,0.04410658034125703,0.04410658034125703,24.47303649662974,10.046225626636687,7.781551354327058,0.5015974481593781,0.004481316247268742,-16.351568410404433,0,0.0
-90.41763437066916,24.559472523830216,5.484,250,70,0.042329446859220354,0.042329446859220354,24.517143076970996,10.980084140896194,7.79017030267486,0.5456592343212016,0.009452997133937439,-16.487533619742738,0,0.0
-89.83059200841886,24.598351807037773,5.432,250,71,0.038879283207556625,0.038879283207556625,24.559472523830216,10.183975261476157,7.858977848848985,0.50336467893566,0.007651556444841999,-16.537296025113932,0,0.0
-90.07761431541078,24.639499246348265,5.428,250,72,0.04114743931049247,0.04114743931049247,24.598351807037773,10.0686978967388,7.890378303649591,0.49478884385159694,0.0038469099400587005,-16.594991583531833,0,0.0
-90.98337222450718,24.680421272043095,5.448,250,73,0.0409220256948295,0.0409220256948295,24.639499246348265,10.978981644717217,7.922360138957569,0.536,0.007391154027611276,-16.700325298184136,0,0.0
-90.49362426156334,24.72216219157438,5.404,250,74,0.04174091953128567,0.04174091953128567,24.680421272043095,10.112650831405972,7.983509815946492,0.49069746280167376,0.0035864780777707444,-16.745674363723786,0,0.0
-91.86892639394162,24.764243336745846,5.448,250,75,0.04208114517146555,0.04208114517146555,24.72216219157438,11.18605382983156,7.99953238371878,0.5434114463277343,0.005196906151792402,-16.862871951898242,0,0.0
-91.95478505401377,24.805291437839504,5.428,250,76,0.04104810109365786,0.04104810109365786,24.764243336745846,11.485819424339153,8.054583047197818,0.5557121557065312,0.011706466267527095,-16.940822596539014,0,0.0
-91.84988227986726,24.843489202719116,5.4,250,77,0.03819776487961235,0.03819776487961235,24.805291437839504,10.561919003030173,8.112464598335146,0.5059644256269407,0.012326756252922665,-17.00923745923468,0,0.0
-91.59580350513173,24.877676147262438,5.364,250,78,0.03418694454332183,0.03418694454332183,24.843489202719116,10.058957385957646,8.17808945002151,0.48114862568649197,0.00797056317175491,-17.07602600766811,0,0.0
-93.09492324653645,24.90715941008303,5.42,250,79,0.029483262820590994,0.029483262820590994,24.877676147262438,11.958969466009595,8.17349114135143,0.5688585061331156,0.010338969800441926,-17.17618510083698,0,0.0
-92.7823150862593,24.936315213675716,5.392,250,80,0.02915580359268688,0.02915580359268688,24.90715941008303,10.486020553979506,8.214682410290326,0.49632247581587524,0.00858919183374527,-17.207402649528802,0,0.0
-92.58478884328302,24.964077155389788,5.368,250,81,0.02776194171407198,0.02776194171407198,24.936315213675716,10.551372571460691,8.256319739135135,0.4985739664282523,0.009917615778983065,-17.24753890523156,0,0.0
-92.90475093036672,24.99002493077118,5.368,250,82,0.025947775381393257,0.025947775381393257,24.964077155389788,10.188800818851623,8.284845814005745,0.4822613399392492,0.005842342287917987,-17.307144361096633,0,0.0
-94.5711612635215,25.014077137063637,5.432,250,83,0.02405220629245619,0.02405220629245619,24.99002493077118,11.235184069600708,8.273972328880019,0.5266649789002492,0.007669643722838808,-17.410007596377305,0,0.0
