ITERATIONS,ReturnsMean,NormDeltaOmega,TimestepsStd,NormDeltaVar,TimestepsMean,DeltaOmega,Wins,OmegaBefore,Omega,RewardMean,ReturnsStd,Traj,ConfortViolation,RewardStd
808,-77.00454219289071,0.006728523617109516,0.5,0.0016158948103933795,5.5,-0.006728523617109516,0.0,23.23987614950601,23.2331476258889,-14.000825853252858,8.589585483802743,250,0,6.604379793597705
838,-76.81203428179518,0.029679329658950593,0.49959983987187184,0.0020633151832696933,5.48,0.029679329658950593,0.0,23.24879279769019,23.27847212734914,-14.016794576969922,8.617000222492008,250,0,6.626334388784945
868,-77.25667876995273,0.006857621723430185,0.4992153843783262,0.06889322397918207,5.528,-0.006857621723430185,0.0,23.220978723269557,23.214121101546127,-13.975520761568873,8.456218902780687,250,0,6.571731411774054
898,-74.17573462489851,0.01078878178099174,0.4998559792580259,0.0025009388896819044,5.512,-0.01078878178099174,0.0,22.956895103619726,22.946106321838734,-13.457136180133983,8.216987345064268,250,0,6.3397770405890315
928,-79.218704391349,0.004565918007926939,0.49993599590347565,0.0008714078073878803,5.508,-0.004565918007926939,0.0,23.43657193335765,23.432006015349724,-14.382480826316083,8.793016871282916,250,0,6.778041606382547
958,-76.4031321395862,0.026270301214825764,0.49959983987187184,0.0012211503789268175,5.52,0.026270301214825764,0.0,23.152233988401708,23.178504289616534,-13.841147126736631,8.441025890930833,250,0,6.5146945156099125
988,-76.08574888990395,0.006577740487028194,0.49897494927100305,0.0014943340706513176,5.532,-0.006577740487028194,0.0,23.09852898047443,23.091951239987402,-13.753750703164128,8.312371544950807,250,0,6.464921871104585
1018,-75.46455960034288,0.003217904692071727,0.49870231601627835,0.0018519568209171564,5.536,-0.003217904692071727,0.0,23.034684556689555,23.031466651997484,-13.631603974050378,8.245682753091945,250,0,6.404830815339552
1048,-75.91971388423704,0.00046190516727051545,0.4914631217090455,0.0023632826095224763,5.592,-0.00046190516727051545,0.0,22.990658808797818,22.990196903630547,-13.576486746108198,8.082526910023079,250,0,6.3400542955053245
1078,-77.35003866832739,0.023596491914123163,0.4963869458396343,0.0030828681533863413,5.56,-0.023596491914123163,0.0,23.175543887657664,23.15194739574354,-13.911877458332265,8.357839252730123,250,0,6.518859428024933
1108,-77.4396455148686,0.006018748529047713,0.4987023160162784,0.00413386837790275,5.464,-0.006018748529047713,0.0,23.33991822292056,23.33389947439151,-14.172702327025734,8.624629810183611,250,0,6.712254309976088
1138,-75.05837951023364,0.03401174379987637,0.4998559792580259,0.005693440370598032,5.512,0.03401174379987637,0.0,23.038402272561395,23.07241401636127,-13.617267690535858,8.214381002515221,250,0,6.41476560118864
1168,-77.09807461413747,0.000763531863924527,0.499743934430424,0.00879729983365053,5.516,-0.000763531863924527,0.0,23.22577537745395,23.225011845590025,-13.97717088726205,8.501481999046392,250,0,6.581734282896938
1198,-75.51589793492614,0.006278303169086286,0.4983974317750845,0.015553104378605118,5.54,-0.006278303169086286,0.0,23.036227881557203,23.029949578388116,-13.631028508109413,8.309237328243471,250,0,6.4016335245136355
1228,-77.90737790109002,0.011632242266784942,0.5,0.043743235010029594,5.5,-0.011632242266784942,0.0,23.325947049800345,23.31431480753356,-14.164977800198182,8.643401788281519,250,0,6.6815868155556375
1258,-76.91229117100825,0.007356872904942691,0.5305996607612938,0.22402716603396078,5.592,0.007356872904942691,0.0,23.08539836220928,23.092755235114222,-13.753986260909917,8.897946133538051,250,0,6.422632506512967
1288,-75.18576472272522,0.018608833832871596,0.4999839997439918,0.07406852487029135,5.496,-0.018608833832871596,0.0,23.073288373270373,23.0546795394375,-13.680088195546803,8.339513934552183,250,0,6.455933929339063
1318,-75.5113644831891,0.0055948486780614815,0.49870231601627835,0.10991481101568731,5.536,-0.0055948486780614815,0.0,23.04239746580193,23.03680261712387,-13.640058613292826,8.315455095744122,250,0,6.408366423585816
