TimestepsStd,ITERATIONS,RewardMean,TimestepsMean,RewardStd,ReturnsMean,DualBefore,Traj,OmegaBefore,Epsilon,NormDeltaVar,DualReg,WeightMean,LossReg,DeltaOmega,Omega,WeightMax,Wins,ConfortViolation,ReturnsStd,DualAfter,NormDeltaOmega,WeightMin,Primal,WeightMedian,Eta
0.0,10,2.65632,500.0,2.7386938597806068,1327.7777777777778,7.277227670023196,100,[[0.93569036]],0.8601,0.24886112773075553,0.0,0.013786383433485452,0.0,[[-0.00105624]],[[0.93463413]],1.0,0.0,0,72.60291275504223,6.723758879827651,0.001056236232988117,0.013786383433485452,6.723759497860095,0.03247583173119867,2.334226784188729
0.0,11,2.67208,500.0,2.7528582371055723,1335.5151515151515,7.287561601578249,100,[[0.93463413]],0.8601,0.4962348962237826,0.0,0.01364666394621545,0.0,[[0.00209039]],[[0.93672452]],1.0,0.0,0,70.75814028715166,6.746663510772361,0.0020903894942815304,0.01364666394621545,6.746663584534251,0.032212260133431744,2.328689824342101
0.0,12,2.67532,500.0,2.7555948355300712,1338.6060606060605,7.295095753618975,100,[[0.93672452]],0.8601,0.0333254513764345,0.0,0.013672351272688074,0.0,[[0.00013813]],[[0.93686264]],1.0,0.0,0,66.2956064759689,6.752696814150205,0.00013812714171623774,0.013672351272688074,6.752696940759549,0.03226075791787368,2.329710052975545
0.0,13,2.67816,500.0,2.7539242935128043,1338.4242424242425,7.294594052393061,100,[[0.93686264]],0.8601,0.10429722201894975,0.0,0.013638453521938019,0.0,[[-0.00043323]],[[0.93642941]],1.0,0.0,0,73.66441665411962,6.7531835837972185,0.000433230021240405,0.013638453521938019,6.753183699599163,0.0321967549673607,2.3283635129684987
0.0,14,2.68944,500.0,2.76391615039241,1345.3131313131314,7.295631639683343,100,[[0.93642941]],0.8601,0.40806804660558527,0.0,0.013472897401661979,0.0,[[0.00167939]],[[0.9381088]],1.0,0.0,0,68.54868453005454,6.76767948863556,0.0016793919723698814,0.013472897401661979,6.767679498991081,0.03188370645623061,2.3217611741863062
0.0,15,2.66768,500.0,2.748665752251444,1333.6969696969697,7.274312565758162,100,[[0.9381088]],0.8601,0.39524303070733424,0.0,0.013583734345841541,0.0,[[-0.00162597]],[[0.93648283]],1.0,0.0,0,67.98417144140862,6.737330192762598,0.0016259703503537226,0.013583734345841541,6.737330215970734,0.03209337152219697,2.3261860922890922
0.0,16,2.67768,500.0,2.7543910066655384,1338.9292929292928,7.289742629589207,100,[[0.93648283]],0.8601,0.06268239831731393,0.0,0.01359409676733098,0.0,[[0.0002605]],[[0.93674333]],1.0,0.0,0,70.70742857052296,6.75189827465957,0.00026049711905851147,0.01359409676733098,6.751898323359212,0.03211295610311452,2.326598799853389
0.0,17,2.67404,500.0,2.7475352733677507,1337.2323232323233,7.279762033513779,100,[[0.93674333]],0.8601,0.2287301524143075,0.0,0.013564022023201207,0.0,[[-0.0009554]],[[0.93578793]],1.0,0.0,0,75.22448938805434,6.742038232870974,0.0009554030509635325,0.013564022023201207,6.742038271026682,0.03205610773376101,2.3254005380957863
0.0,18,2.68216,500.0,2.7573497664242743,1340.1616161616162,7.290125761244739,100,[[0.93578793]],0.8601,0.3375040393392652,0.0,0.013531987612727937,0.0,[[0.00140509]],[[0.93719301]],1.0,0.0,0,84.51677343183077,6.756940482324449,0.0014050852556182214,0.013531987612727937,6.756940503823038,0.0319955273976007,2.3241226335801706
0.0,19,2.69136,500.0,2.7645363716905593,1345.6161616161617,7.299350836326394,100,[[0.93719301]],0.8601,0.21013568474391775,0.0,0.013484172337657127,0.0,[[0.00086029]],[[0.9380533]],1.0,0.0,0,74.64105446421182,6.770339261002633,0.0008602865075370003,0.013484172337657127,6.770339275124795,0.0319050504427484,2.3222121890644556
