TimestepsMean,RewardStd,TimestepsStd,Omega,DualAfter,DeltaOmega,DualBefore,ReturnsStd,NormDeltaVar,NormDeltaOmega,Eta,RewardMean,ConfortViolation,WeightMax,Traj,OmegaBefore,ITERATIONS,WeightMedian,WeightMean,Wins,ReturnsMean,WeightMin,LossReg,DualReg,Epsilon,Primal
500.0,2.9825534399906397,0.0,[[0.99491493]],7.86737350831663,[[0.00030639]],7.881605685942024,76.55114065111131,0.8402127351214546,0.00030638731278653797,1.2958027877578044,2.97076,0,1.0,100,[[0.99460854]],10,0.0020833481962069947,0.00044509460086177916,0.0,1485.3939393939395,0.00044509460086177916,0.0,0.0,1.2801,7.86737641444175
500.0,2.9764608027655934,0.0,[[0.99468006]],7.862233165334036,[[-0.00023487]],7.877296530768275,81.27970955025,0.6484160439674298,0.0002348690621815086,1.3026004090350551,2.96836,0,1.0,100,[[0.99491493]],11,0.0021515621930898905,0.00046338543644752625,0.0,1483.5151515151515,0.00046338543644752625,0.0,0.0,1.2801,7.862233241000739
500.0,2.9827104234906883,0.0,[[0.9948848]],7.867923504501951,[[0.00020474]],7.8824774986670025,78.6193120351165,0.5635850985781445,0.0002047381386210967,1.297852091983072,2.97036,0,1.0,100,[[0.99468006]],12,0.0021037567732282657,0.00045055146798420606,0.0,1485.3535353535353,0.00045055146798420606,0.0,0.0,1.2801,7.867924212065286
500.0,2.9830522505648474,0.0,[[0.99501063]],7.869097608971925,[[0.00012583]],7.8825177277335765,67.49627673225443,0.3576248423973283,0.00012583218568174015,1.2894347240200137,2.97552,0,1.0,100,[[0.9948848]],13,0.009531036394950372,0.0020207852841268425,0.0,1489.010101010101,0.0020207852841268425,0.0,0.0,1.2801,7.869098161884605
500.0,2.9647074219221023,0.0,[[0.99404655]],7.844395671207952,[[-0.00096408]],7.863196947076417,89.15371020010691,2.537582202707668,0.0009640811757752887,1.3306970530647888,2.94532,0,1.0,100,[[0.99501063]],14,0.011010399178839671,0.0024494622609580506,0.0,1472.141414141414,0.0024494622609580506,0.0,0.0,1.2801,7.844400875832553
500.0,2.9757558391776704,0.0,[[0.99462481]],7.859224978536335,[[0.00057826]],7.87473595717705,89.02698180574166,1.4679783596599094,0.0005782601386679076,1.3066069882752016,2.96316,0,1.0,100,[[0.99404655]],15,0.010132102162566834,0.0021924653925490174,0.0,1482.121212121212,0.0021924653925490174,0.0,0.0,1.2801,7.859225414714322
500.0,2.979470417104355,0.0,[[0.99479904]],7.864144598643083,[[0.00017423]],7.878827242881947,69.49392176829924,0.4732358632823548,0.00017423348920864168,1.2997199680505864,2.96844,0,1.0,100,[[0.99462481]],16,0.0021224758148847746,0.0004555682381747612,0.0,1484.2222222222222,0.0004555682381747612,0.0,0.0,1.2801,7.86414463442384
500.0,2.995382054029169,0.0,[[0.99563315]],7.886214915156191,[[0.00083411]],7.896423833827777,83.77375627598238,2.509144109677152,0.0008341128278445131,1.2588523568943852,2.99748,0,1.0,100,[[0.99479904]],17,0.001738044487703726,0.00035487557629001467,0.0,1497.7575757575758,0.00035487557629001467,0.0,0.0,1.2801,7.8862148281998605
500.0,2.981833593210728,0.0,[[0.99483116]],7.862700722988533,[[-0.00080199]],7.877750959326669,79.65909919451245,2.4201723730748057,0.0008019887060779496,1.3030874508418817,2.96168,0,1.0,100,[[0.99563315]],18,0.0021565067105035495,0.00046471695452530775,0.0,1481.3939393939395,0.00046471695452530775,0.0,0.0,1.2801,7.862700839141864
500.0,2.9612890811942014,0.0,[[0.99373586]],7.835938258166119,[[-0.00109531]],7.8574960093738095,81.08757724932273,2.761373241845149,0.0010953084412302916,1.3483555776722507,2.92924,0,1.0,100,[[0.99483116]],19,0.0026501128792305374,0.00060128513302616,0.0,1464.5656565656566,0.00060128513302616,0.0,0.0,1.2801,7.83593819627003
