# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound;average_reward;w_current[0];w_current[1];w_target[0];w_target[1];theta_current[0];theta_current[1];theta_target[0];theta_target[1]
5.720000000000000000000000000000e+03;5.011658473868325245348387397826e+02;1.511889564427063348261981445830e+00;nan;3.804570675688747072307194230234e-01;3.804570675688588865526185145427e-01;nan;nan;1.062029310274019075488460828183e-03;nan;1.000000000000000000000000000000e+00;nan;8.028355156594807256684176444139e-04;5.089330772046882778170129313366e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;8.099734944940919501021880932967e-01;1.900265055059075780530264410118e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
5.721000000000000000000000000000e+03;5.013254544964679553231690078974e+02;1.510666989349145783450012459070e+00;nan;3.800530110118156557064139633439e-01;3.800530110118016113851524551137e-01;nan;nan;1.063428094564852202305593742437e-03;nan;1.000000000000000000000000000000e+00;nan;8.032428590027918761246050749492e-04;5.090956613230342320264298905386e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;8.101755740187589482914631844324e-01;1.898244259812406076193269655050e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
5.722000000000000000000000000000e+03;5.014851425878961208582040853798e+02;1.509443289261656273581024834129e+00;nan;3.796488519624816593278637810727e-01;3.796488519624671154062411915220e-01;nan;nan;1.064830212226685127174796718919e-03;nan;1.000000000000000000000000000000e+00;nan;8.036504090243177167093846513524e-04;5.092583278606680252664773433935e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;8.103777048025623264138062040729e-01;1.896222951974372017414083302356e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
5.723000000000000000000000000000e+03;5.016449117022203836313565261662e+02;1.508218463465763603537084236450e+00;nan;3.792445903948749030831777417916e-01;3.792445903948571395147837392869e-01;nan;nan;1.066235675143850777576992605589e-03;nan;1.000000000000000000000000000000e+00;nan;8.040581658289198963007748943710e-04;5.094210768593891103250825835858e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;8.105798868585044614221146730415e-01;1.894201131414950389775242456381e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
5.724000000000000000000000000000e+03;5.018047618805354659343720413744e+02;1.506992511262294831553276708291e+00;nan;3.788402262829905775554095725965e-01;3.788402262829771438568116082024e-01;nan;nan;1.067644495257246859895583490641e-03;nan;1.000000000000000000000000000000e+00;nan;8.044661295215419210408169803372e-04;5.095839083610183450900876778178e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;8.107821201995909499160575251153e-01;1.892178798004085227280057779353e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
5.725000000000000000000000000000e+03;5.019646931639720719431352335960e+02;1.505765431951563426693496694497e+00;nan;3.784357596008175450563726371911e-01;3.784357596008021129563303475152e-01;nan;nan;1.069056684564646374918650550967e-03;nan;1.000000000000000000000000000000e+00;nan;8.048743002070957467883327574043e-04;5.097468224073974596421976457350e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;8.109844048388307191643775695411e-01;1.890155951611687257241101178806e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
5.726000000000000000000000000000e+03;5.021247055936872811798821203411e+02;1.504537224833593977990631174180e+00;nan;3.780311903223380065597325483395e-01;3.780311903223191882794651519362e-01;nan;nan;1.070472255121075570716282499006e-03;nan;1.000000000000000000000000000000e+00;nan;8.052826779906111821782932480573e-04;5.099098190403897667977162200259e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;8.111867407892359160825890285196e-01;1.888132592107635010503230432732e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
5.727000000000000000000000000000e+03;5.022847992108614789685816504061e+02;1.503307889208037373407478298759e+00;nan;3.776265184215276127233096303826e-01;3.776265184215072401308077587601e-01;nan;nan;1.071891219039153948441867036934e-03;nan;1.000000000000000000000000000000e+00;nan;8.056912629771902437103570093768e-04;5.100728983018796292014940263471e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;8.113891280638221292775824622368e-01;1.886108719361773156109052251850e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
5.728000000000000000000000000000e+03;5.024449740566686273268715012819e+02;1.502077424374087755154505430255e+00;nan;3.772217438723551863333227629482e-01;3.772217438723390325883144669206e-01;nan;nan;1.073313588489373986492592116804e-03;nan;1.000000000000000000000000000000e+00;nan;8.061000552719142396226881253085e-04;5.102360602337725481447705533355e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;8.115915666756080559807173813169e-01;1.884084333243913889077703061048e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
5.729000000000000000000000000000e+03;5.026052301723373716413334477693e+02;1.500845829630658823106159616145e+00;nan;3.768168666487833329270529247879e-01;3.768168666487654583363564597676e-01;nan;nan;1.074739375700617003903114543562e-03;nan;1.000000000000000000000000000000e+00;nan;8.065090549800645134542742553663e-04;5.103993048779955188365420326591e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;8.117940566376158351147296343697e-01;1.882059433623836097737580530520e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
