TimestepsStd,Epsilon,DualBefore,DualReg,DualAfter,RewardStd,WeightMedian,Primal,Omega,ITERATIONS,LossReg,WeightMax,NormDeltaOmega,NormDeltaVar,ReturnsStd,RewardMean,WeightMin,TimestepsMean,Wins,OmegaBefore,ReturnsMean,ConfortViolation,DeltaOmega,Traj,Eta,WeightMean
0.0,1.9501,8.58405049664469,0.0,8.001823729463224,3.0157193195654,0.0,7.999999999999752,[[0.99999999]],10,0.0,1.0,0.0,0.0,80.22526187933447,3.02184,0.0,500.0,0.0,[[0.99999999]],1511.7373737373737,0,[[0.]],100,0.003150383393039913,0.0
0.0,1.9501,8.572962889605344,0.0,8.00179901774247,3.004525819226721,0.0,7.999999999999632,[[0.99999999]],11,0.0,1.0,0.0,0.0,79.14148053602831,3.00496,0.0,500.0,0.0,[[0.99999999]],1501.858585858586,0,[[0.]],100,0.0031688581645715123,0.0
0.0,1.9501,8.564714585974395,0.0,8.002358577438562,2.9947373336571603,0.0,7.999999999999671,[[0.99999999]],12,0.0,1.0,0.0,0.0,85.39188666813732,2.99468,0.0,500.0,0.0,[[0.99999999]],1497.6767676767677,0,[[0.]],100,0.004216293523822497,0.0
0.0,1.9501,8.559018778800803,0.0,8.002341610344303,2.991933706217436,0.0,7.9999999999995275,[[0.99999999]],13,0.0,1.0,0.0,0.0,82.32239697165565,2.98176,0.0,500.0,0.0,[[0.99999999]],1490.4848484848485,0,[[0.]],100,0.0042292183936353265,0.0
0.0,1.9501,8.559164148590956,0.0,8.002342126266122,2.994397870958367,0.0,7.999999999999943,[[0.99999999]],14,0.0,1.0,0.0,0.0,85.18806505559049,2.97852,0.0,500.0,0.0,[[0.99999999]],1488.7272727272727,0,[[0.]],100,0.004228915798295477,0.0
0.0,1.9501,8.555827152965549,0.0,8.002331898547514,2.985483002798709,0.0,7.999999999999445,[[0.99999999]],15,0.0,1.0,0.0,0.0,81.65334686452321,2.9818,0.0,500.0,0.0,[[0.99999999]],1491.939393939394,0,[[0.]],100,0.004236452020319701,0.0
0.0,1.9501,8.582408579945684,0.0,8.001820078422037,3.0137967950079183,0.0,8.000000000000025,[[0.99999999]],16,0.0,1.0,0.0,0.0,74.78128637403842,3.01972,0.0,500.0,0.0,[[0.99999999]],1510.4040404040404,0,[[0.]],100,0.003153097499979435,0.0
0.0,1.9501,8.565822985324317,0.0,8.002361927284037,2.996980429966135,0.0,8.00000000000059,[[0.99999999]],17,0.0,1.0,0.0,0.0,77.96570762948744,2.99468,0.0,500.0,0.0,[[0.99999999]],1497.0707070707072,0,[[0.]],100,0.004213812601656836,0.0
0.0,1.9501,8.581793356622908,0.0,8.001818662821035,3.011314810776183,0.0,7.999999999999984,[[0.99999999]],18,0.0,1.0,0.0,0.0,78.57193925182236,3.02152,0.0,500.0,0.0,[[0.99999999]],1509.8383838383838,0,[[0.]],100,0.0031540966115558293,0.0
0.0,1.9501,8.563841980802126,0.0,8.002355942632224,2.9931070026980326,0.0,7.999999999999766,[[0.99999999]],19,0.0,1.0,0.0,0.0,88.81290140499792,2.99448,0.0,500.0,0.0,[[0.99999999]],1497.6161616161617,0,[[0.]],100,0.004218251544900191,0.0
