DeltaOmega,Epsilon,ConfortViolation,Primal,Omega,LossReg,NormDeltaVar,OmegaBefore,NormDeltaOmega,Eta,RewardStd,ReturnsMean,DualBefore,Wins,RewardMean,DualAfter,WeightMin,TimestepsMean,WeightMax,TimestepsStd,WeightMean,DualReg,Traj,ITERATIONS,ReturnsStd,WeightMedian
[[0.00022725]],1.1,0,7.501429360324874,[[0.97986648]],0.0,0.16365486095293846,[[0.97963923]],0.00022724943061558367,1.768260025211219,2.9194527637898164,1438.842105263158,7.643924122062185,0.0,2.8834,7.501427971245377,0.0034990042244005476,500.0,1.0,0.0,0.0034990042244005476,0.0,20,10,75.01386760066416,0.01084315269076402
[[0.00077016]],1.1,0,7.522659465272888,[[0.98063664]],0.0,0.5684181959430887,[[0.97986648]],0.0007701624727063372,1.7475704764956894,2.9287856596207242,1458.3157894736842,7.653407910320057,0.0,2.9116,7.522659452346993,0.010277647321629054,500.0,1.0,0.0,0.010277647321629054,0.0,20,11,84.86339030377242,0.032279015697641605
[[0.00053023]],1.1,0,7.516282733480324,[[0.98116687]],0.0,0.4043641131779765,[[0.98063664]],0.0005302274665865969,1.7580671762462872,2.934633769314324,1441.7894736842106,7.651814728534871,0.0,2.8908,7.516281143481692,0.0033861395309745432,500.0,1.0,0.0,0.0033861395309745432,0.0,20,12,71.07859174875477,0.010562430878855106
[[-0.00095101]],1.1,0,7.508172458005181,[[0.98021587]],0.0,0.7176076429547322,[[0.98116687]],0.0009510050888356103,1.7612432535418643,2.9235947119941232,1441.0526315789473,7.646319676329485,0.0,2.8914,7.5081709226976345,0.00342105118054885,500.0,1.0,0.0,0.00342105118054885,0.0,20,13,90.77066166659017,0.010649461729656955
[[-0.00110928]],1.1,0,7.486373948742819,[[0.97910658]],0.0,0.7955152613881822,[[0.98021587]],0.0011092815273602286,1.7803576444133085,2.910150511571523,1431.4736842105262,7.636362100024415,0.0,2.868,7.486372859966452,0.00363608047782957,500.0,1.0,0.0,0.00363608047782957,0.0,20,14,83.31258098021264,0.011181673053626546
[[0.00134421]],1.1,0,7.504298680319435,[[0.98045079]],0.0,0.9695897912808036,[[0.97910658]],0.0013442084769316187,1.762439307430904,2.924846826758625,1442.6315789473683,7.642276181103202,0.0,2.8848,7.504297058731391,0.010682339655653555,500.0,1.0,0.0,0.010682339655653555,0.0,20,15,85.82246701694928,0.0332276622252988
[[-0.00055582]],1.1,0,7.49050849820631,[[0.97989497]],0.0,0.4086057601715112,[[0.98045079]],0.0005558235673043255,1.777195335694133,2.9181668149713444,1435.6842105263158,7.637447809694672,0.0,2.8662,7.490507170170966,0.0035999206078966128,500.0,1.0,0.0,0.0035999206078966128,0.0,20,16,87.40531877804989,0.011092625179690473
[[-0.00016155]],1.1,0,7.492913183991114,[[0.97973342]],0.0,0.11668430112118244,[[0.97989497]],0.0001615466651482267,1.771866212553216,2.9163461454361004,1439.7894736842106,7.636868548214928,0.0,2.8746,7.492911728966582,0.003539510044932128,500.0,1.0,0.0,0.003539510044932128,0.0,20,17,59.13728803864019,0.010943456585456651
[[0.00110095]],1.1,0,7.528108388522759,[[0.98083438]],0.0,0.8139709831679198,[[0.97973342]],0.0011009540885550395,1.752443505332964,2.9334947826781628,1456.6315789473683,7.662340682053564,0.0,2.9094,7.528106955389736,0.0033248921332555345,500.0,1.0,0.0,0.0033248921332555345,0.0,20,18,84.04272755808002,0.010409312537284466
[[-0.00268774]],1.1,0,7.4706722024991405,[[0.97814664]],0.0,1.9140085138753449,[[0.98083438]],0.0026877392750495055,1.7864790365265637,2.8978915369626934,1430.421052631579,7.624496402355703,0.0,2.8592,7.47067118973254,0.00370673898716505,500.0,1.0,0.0,0.00370673898716505,0.0,20,19,64.63689331828483,0.011355169065294438
