Primal,NormDeltaVar,NormDeltaOmega,WeightMax,Eta,WeightMean,Wins,RewardStd,ConfortViolation,Omega,TimestepsStd,ReturnsStd,TimestepsMean,ITERATIONS,DualAfter,RewardMean,WeightMedian,DualReg,Traj,WeightMin,ReturnsMean,OmegaBefore,LossReg,DualBefore,DeltaOmega,Epsilon
2.800671641501625,0.5124355703940653,0.008949929344215402,1.0,97.65815334507002,0.902670213595014,0.0,3.037279302270372,0,[[0.47368981]],0.0,62.2405306573594,500.0,10,2.8006716398885025,2.7038,0.9213471344324816,0.0,20,0.902670213595014,1350.1052631578948,[[0.48263974]],0.0,7.8727348217060875,[[-0.00894993]],0.0005001
2.7110381552008964,0.6666350907421426,0.011647456566436454,1.0,95.63933342844021,0.9007212112226455,0.0,2.9725237694592117,0,[[0.48533727]],0.0,64.99980822473307,500.0,11,2.71103802685161,2.6162,0.9197553275647034,0.0,20,0.9007212112226455,1310.842105263158,[[0.47368981]],0.0,7.798693552617538,[[0.01164746]],0.0005001
2.7325877874380233,0.225160127681862,0.003932626480568691,1.0,95.78181042480912,0.9008613148350186,0.0,2.977493281268658,0,[[0.48140464]],0.0,81.08447768084606,500.0,12,2.732587786545726,2.6376,0.919869777219516,0.0,20,0.9008613148350186,1324.2105263157894,[[0.48533727]],0.0,7.797724100314473,[[-0.00393263]],0.0005001
2.7429094128129297,224.89927112782382,0.12847971853677148,1.0,96.30719197793995,0.9013745479592966,0.0,2.993805812005849,0,[[0.60988436]],0.0,87.12941309362058,500.0,13,2.7429088243367135,2.6474,0.9202890033458205,0.0,20,0.9013745479592966,1319.7894736842106,[[0.48140464]],0.0,7.829946075732658,[[0.12847972]],0.0005001
2.8896320691989374,5.809587833027763e-08,0.016074021552526574,1.0,104.24881001551007,0.9085327382105777,0.0,3.2436845654286426,0,[[0.59381034]],0.0,73.2126262516192,500.0,14,2.889632047514925,2.7862,0.926131093156567,0.0,20,0.9085327382105777,1388.7368421052631,[[0.60988436]],0.0,8.16235203023448,[[-0.01607402]],0.0005001
2.918767447324906,6.588487622138928e-08,0.004483751620864451,1.0,105.17566489218808,0.9093010712729642,0.0,3.273522970745738,0,[[0.58932659]],0.0,58.22775037838422,500.0,15,2.9187674216084467,2.8144,0.9267576127764721,0.0,20,0.9093010712729642,1401.0526315789473,[[0.59381034]],0.0,8.185330989733474,[[-0.00448375]],0.0005001
2.895992214578005,5.208133302403439e-08,0.0014890629963904,1.0,104.60632035650652,0.908830638790686,0.0,3.2551527091674215,0,[[0.59081565]],0.0,94.89110247878823,500.0,16,2.89599219130883,2.7922,0.9263740219432721,0.0,20,0.908830638790686,1391.6842105263158,[[0.58932659]],0.0,8.169859830564405,[[0.00148906]],0.0005001
2.940868777689605,1.0350618140364531e-07,0.0022822931217730824,1.0,105.67150011694795,0.9097068308884444,0.0,3.2895446493397835,0,[[0.58853336]],0.0,72.83525979394923,500.0,17,2.9408687499751736,2.836,0.927088437448139,0.0,20,0.9097068308884444,1408.842105263158,[[0.59081565]],0.0,8.199357137333806,[[-0.00228229]],0.0005001
2.923124150234781,7.35275591523532e-08,0.00011613742504046343,1.0,105.33099293975506,0.9094285731528832,0.0,3.2785200990690906,0,[[0.58841722]],0.0,70.4941010478783,500.0,18,2.9231241238780914,2.8186,0.9268615710229116,0.0,20,0.9094285731528832,1394.9473684210527,[[0.58853336]],0.0,8.189007720388888,[[-0.00011614]],0.0005001
2.94931111452537,1.4764660249966255e-07,0.0017568187662512225,1.0,105.71250154324632,0.9097402214842095,0.0,3.290925195138899,0,[[0.59017404]],0.0,67.78309875222801,500.0,19,2.949311086650023,2.8444,0.9271156602153694,0.0,20,0.9097402214842095,1425.3684210526317,[[0.58841722]],0.0,8.202383684733245,[[0.00175682]],0.0005001
