Traj,OmegaBefore,Omega,ConfortViolation,ReturnsStd,TimestepsMean,TimestepsStd,NormDeltaOmega,Wins,ITERATIONS,DeltaOmega,ReturnsMean,RewardMean,RewardStd,NormDeltaVar
250,5.122437329773103,5.003377131245954,0,283.3774969888974,182.884,32.22655029630072,0.11906019852714866,65.2,27,-0.11906019852714866,1575.7878747983457,8.61632441765461,0.387606691887728,0.22525132277289078
250,5.003377131245954,4.883360005489688,0,205.053724569098,191.036,23.045231697685313,0.12001712575626566,77.2,28,-0.12001712575626566,1659.4577674471159,8.68662329323853,0.3135094969860162,0.2151139730152301
250,4.883360005489688,4.762862735688598,0,152.56422081275974,196.172,16.98794914049368,0.12049726980109021,88.4,29,-0.12049726980109021,1718.0195082062319,8.757720307720941,0.2281092974454927,0.2141314832122804
250,4.762862735688598,4.6413312772792965,0,114.98187694673523,198.648,12.665389690017436,0.12153145840930168,95.19999999999999,30,-0.12153145840930168,1753.4262902321125,8.826800623374577,0.15619575750343384,0.20021404117276867
250,4.6413312772792965,4.519732824515508,0,127.36272613902752,198.308,14.005325272909587,0.12159845276378878,94.0,31,-0.12159845276378878,1762.157965676792,8.885965093071343,0.17002668414362748,0.1897886828388822
250,4.519732824515508,4.397680362730784,0,61.888333437202235,200.472,6.732103386015399,0.1220524617847234,98.4,32,-0.1220524617847234,1794.351939760049,8.950636197374441,0.10054458325317968,0.18133131739125716
250,4.397680362730784,4.275339094285214,0,97.43350672306607,199.34,10.52351652253181,0.12234126844557025,95.6,33,-0.12234126844557025,1794.7972020741427,9.003698214478492,0.14686276811506271,0.16024376969956228
250,4.275339094285214,4.152601251910772,0,102.56892249281304,198.964,10.97864763985073,0.12273784237444207,94.8,34,-0.12273784237444207,1802.231029405327,9.058075980606176,0.1576702984790126,0.15234988271944994
250,4.152601251910772,4.03004044472304,0,95.05719924714947,199.308,10.163716643039592,0.12256080718773177,96.0,35,-0.12256080718773177,1815.751818049292,9.110280661334679,0.14081117941692078,0.1333377291978615
250,4.03004044472304,3.9072182664073987,0,49.6896790361803,200.36,5.189836220922582,0.12282217831564157,97.2,36,-0.12282217831564157,1836.0698219237634,9.16385417210902,0.1206079541900602,0.12779192535181713
250,3.9072182664073987,3.7835370264521484,0,93.10550533191362,199.912,9.957924281696462,0.12368123995525027,96.39999999999999,37,-0.12368123995525027,1841.9534149073766,9.213821155845455,0.13381206212450844,0.1254117441985213
250,3.7835370264521484,3.6594364247491526,0,51.02940839894816,200.496,5.3316023857748425,0.12410060170299575,98.4,38,-0.12410060170299575,1857.0954907176867,9.262506437623129,0.09670021173658305,0.11636988454232329
250,3.6594364247491526,3.5349784117467804,0,50.95036430236825,200.284,5.24398169333189,0.12445801300237225,97.2,39,-0.12445801300237225,1864.3366531314875,9.308465245009526,0.12103988270484244,0.11961482024692092
250,3.5349784117467804,3.412887627416085,0,37.891147016237205,200.576,3.8559336093869665,0.12209078433069553,98.4,40,-0.12209078433069553,1875.8485339742072,9.352308022765472,0.09643650970186081,0.10306786198778226
250,3.412887627416085,3.292147200860244,0,76.79841576224612,199.952,7.963271689450259,0.12074042655584094,96.39999999999999,41,-0.12074042655584094,1878.072815314423,9.392618304965307,0.1359242488412627,0.09686831916732423
250,3.292147200860244,3.172394636500715,0,64.17409785285787,199.692,6.504547332443666,0.11975256435952897,93.60000000000001,42,-0.11975256435952897,1883.5558360477905,9.432304929830892,0.17604203996137116,0.08876122565042675
250,3.172394636500715,3.0554852150893685,0,84.57245632115692,200.004,8.769719721861128,0.11690942141134641,96.0,43,-0.11690942141134641,1894.3920592740353,9.471770860952958,0.14261929288622985,0.08805072923006771
250,3.0554852150893685,2.9412395777541076,0,66.79958287713715,199.552,6.749762662494142,0.11424563733526094,93.60000000000001,44,-0.11424563733526094,1897.0302478302774,9.506445677468918,0.17707184562611697,0.09304123001080453
250,2.9412395777541076,2.8290074857444503,0,99.24636690728235,199.336,10.080034920574432,0.11223209200965734,95.6,45,-0.11223209200965734,1901.9689116072975,9.541522412445808,0.1497355417909398,0.10836140815823628
250,2.8290074857444503,2.7197688869785086,0,95.57174638590189,199.616,9.740459126755782,0.10923859876594166,96.0,46,-0.10923859876594166,1910.8192477621012,9.572475391562309,0.14523928758073198,0.11596194697289443
250,2.7197688869785086,2.6152559095191656,0,121.90730064766309,198.588,12.32470105114116,0.10451297745934296,94.8,47,-0.10451297745934296,1906.1226731548281,9.59837791384589,0.16531207085323785,0.10551805024206673
250,2.6152559095191656,2.515134838516899,0,116.24665978048985,198.124,11.675471039748247,0.10012107100226686,91.2,48,-0.10012107100226686,1906.268449869744,9.621592789716258,0.21134594631434542,0.10482011281932539
250,2.515134838516899,2.422063619335484,0,218.6260274828693,193.06,22.074247439040814,0.09307121918141492,83.2,49,-0.09307121918141492,1861.1429223388143,9.640230613999869,0.29099993817038095,0.10178314354281583
250,2.422063619335484,2.3346311536150965,0,204.84683893105856,192.472,20.565242911281157,0.08743246572038732,78.4,50,-0.08743246572038732,1859.1447189454498,9.65929963290998,0.32991005276164714,0.10128410480980045
250,2.3346311536150965,2.2533649824660973,0,258.76262323741224,190.464,26.123412947009815,0.08126617114899926,77.60000000000001,51,-0.08126617114899926,1843.4559012317095,9.678762922293501,0.3378765622817611,0.10541901469765975
250,2.2533649824660973,2.1774411148711126,0,287.25080795353125,186.316,28.898030105874,0.0759238675949847,69.19999999999999,52,-0.0759238675949847,1804.87249035927,9.6871577876257,0.4001644141260883,0.11646146163691602
