Epsilon,WeightMean,Primal,DeltaOmega,Wins,ReturnsStd,OmegaBefore,DualReg,NormDeltaVar,ConfortViolation,Eta,RewardMean,RewardStd,WeightMin,WeightMedian,WeightMax,Omega,NormDeltaOmega,LossReg,ITERATIONS,DualAfter,TimestepsMean,ReturnsMean,Traj,TimestepsStd,DualBefore
1.0701,0.004335854579660866,7.424774452516348,[[0.00031622]],0.0,74.84334556164436,[[0.97585293]],0.0,0.1929452510517109,0,1.8379526571000404,2.86544,2.902987014507644,0.004335854579660866,0.012872407104617513,1.0,[[0.97616915]],0.0003162220705299479,0.0,10,7.424773773694957,500.0,1432.2222222222222,100,0.0,7.600876111721839
1.0701,0.004426334223291226,7.4164925065272405,[[-0.0003175]],0.0,72.47635728335682,[[0.97616915]],0.0,0.19371961617488154,0,1.844955978142982,2.8552,2.8992400659483164,0.004426334223291226,0.013086857177676384,1.0,[[0.97585165]],0.0003174994028153355,0.0,11,7.4164920497118185,500.0,1426.1616161616162,100,0.0,7.597443779951941
1.0701,0.00436078368585232,7.426034301071849,[[0.00055734]],0.0,71.14711554090466,[[0.97585165]],0.0,0.34173406887282454,0,1.8398913677183237,2.86256,2.9057718847838,0.00436078368585232,0.012931581326417627,1.0,[[0.97640899]],0.0005573415802012649,0.0,12,7.4260337084005865,500.0,1431.1313131313132,100,0.0,7.603338623978579
1.0701,0.00438397798062688,7.416516026560631,[[-0.00032563]],0.0,64.5727357340825,[[0.97640899]],0.0,0.2006023017816716,0,1.8416888832733758,2.85612,2.9005824493711603,0.00438397798062688,0.012986576893564514,1.0,[[0.97608336]],0.0003256268114038008,0.0,13,7.416515328262374,500.0,1428.2424242424242,100,0.0,7.59445675607384
1.0701,0.004253120370279117,7.436014490083867,[[0.0009096]],0.0,71.2132530893642,[[0.97608336]],0.0,0.5672228380555495,0,1.8314674962927966,2.87288,2.9121813998444535,0.004253120370279117,0.012675530345368342,1.0,[[0.97699296]],0.0009095987063485467,0.0,14,7.436013552688925,500.0,1436.1616161616162,100,0.0,7.607188818871476
1.0701,0.004222907222494216,7.440217060199047,[[7.698648e-05]],0.0,73.41466953329831,[[0.97699296]],0.0,0.04900888457596153,0,1.8290793154944496,2.87776,2.9135986996153056,0.004222907222494216,0.012603443883601875,1.0,[[0.97706995]],7.698647996412511e-05,0.0,15,7.440216100083896,500.0,1436.7676767676767,100,0.0,7.610070109783445
1.0701,0.00413839837585834,7.448111663693257,[[0.0002407]],0.0,70.66042906095359,[[0.97706995]],0.0,0.15426980148749436,0,1.8223412518752686,2.88808,2.916647718460356,0.00413839837585834,0.012401260660304938,1.0,[[0.97731065]],0.00024069870803455906,0.0,16,7.448110499725525,500.0,1445.1515151515152,100,0.0,7.6136677234907975
1.0701,0.0042725955677180944,7.429665759892438,[[-0.00077835]],0.0,87.30920019756716,[[0.97731065]],0.0,0.4932271245327442,0,1.8330012079846567,2.87068,2.9065024234636376,0.0042725955677180944,0.012721942504676828,1.0,[[0.9765323]],0.0007783455801202432,0.0,17,7.429664837628937,500.0,1436.949494949495,100,0.0,7.602000650315302
1.0701,0.004348797008636729,7.428191155442387,[[6.47956614e-05]],0.0,75.06960889042469,[[0.9765323]],0.0,0.04044609817084677,0,1.8389600533348383,2.86344,2.9078499559640285,0.004348797008636729,0.012903137017925805,1.0,[[0.9765971]],6.479566138317683e-05,0.0,18,7.4281905259663255,500.0,1430.2626262626263,100,0.0,7.604716658959093
1.0701,0.004392099564576881,7.4150093232233285,[[-0.00049719]],0.0,81.59438653416262,[[0.9765971]],0.0,0.30759388245689934,0,1.842316870776211,2.85424,2.9003506723153323,0.004392099564576881,0.013005820064976132,1.0,[[0.97609991]],0.0004971914129745514,0.0,19,7.4150086108829685,500.0,1426.5050505050506,100,0.0,7.593194859163423
