WeightMedian,RewardStd,TimestepsMean,NormDeltaOmega,DualAfter,RewardMean,DualBefore,WeightMin,Traj,ConfortViolation,ReturnsStd,Wins,OmegaBefore,WeightMax,Primal,ITERATIONS,WeightMean,NormDeltaVar,LossReg,ReturnsMean,DeltaOmega,TimestepsStd,Epsilon,Omega,DualReg,Eta
0.8383846054928734,3.0975976175094138,500.0,0.0011061864450671033,2.9560296310818988,2.733,7.932882355593557,0.8022396428597104,20,0,78.29314896282582,0.0,[[0.45403623]],1.0,2.9560296368097485,10,0.8022396428597104,0.06378044479564204,0.0,1364.842105263158,[[0.00110619]],0.0,0.0025001,[[0.45514242]],0.0,45.382776885458114
0.8379824840393486,3.0887433755493507,500.0,0.0011641710439198594,2.943008442321185,2.7206,7.920191044339182,0.8017586905235989,20,0,66.50632611069705,0.0,[[0.45514242]],1.0,2.943008446933369,11,0.8017586905235989,0.06715065793134523,0.0,1365.4736842105262,[[0.00116417]],0.0,0.0025001,[[0.45630659]],0.0,45.25959980391711
0.8388419488046438,3.107916704160522,500.0,0.0027675721027212163,2.961346639619058,2.7376,7.938937506730524,0.8027867127060728,20,0,98.36851961359147,0.0,[[0.45630659]],1.0,2.9613466469157057,12,0.8027867127060728,0.15921980336341424,0.0,1366.9473684210527,[[-0.00276757]],0.0,0.0025001,[[0.45353902]],0.0,45.52361442342237
0.8359140623206767,3.0426803381229517,500.0,0.18688366197251516,2.8886191838529136,2.6694,7.881178671233653,0.7992856926896867,20,0,82.08596264379126,0.0,[[0.45353902]],1.0,2.888619185273134,13,0.7992856926896867,10.921929936686652,0.0,1338.0,[[-0.18688366]],0.0,0.0025001,[[0.26665536]],0.0,44.63551732808782
0.8246533740657307,2.8127199007366515,500.0,0.2666553139256105,2.7006364787089563,2.4974,7.708347011430127,0.7858493536228544,20,0,60.50278718883725,0.0,[[0.26665536]],1.0,2.7006366034287037,14,0.7858493536228544,0.18524519803771433,0.0,1243.7894736842106,[[-0.26665531]],0.0,0.0025001,[[4.24207578e-08]],0.0,41.49546898664375
0.8345866533498859,3.0038367399044845,500.0,5.25812907364848e-16,2.8146686666758045,2.5978,7.980756956973746,0.7976994526051815,20,0,59.248666078933496,0.0,[[4.24207578e-08]],1.0,2.814668667262817,15,0.7976994526051815,0.6042717140695979,0.0,1303.2631578947369,[[-5.25812907e-16]],0.0,0.0025001,[[4.24207573e-08]],0.0,44.243210928107594
0.8380236743666448,3.0790229878972974,500.0,3.8214445957260415e-16,2.880900124092366,2.6588,8.040813228180024,0.8018079530475992,20,0,84.88806382231476,0.0,[[4.24207573e-08]],1.0,2.8809001285083466,16,0.8018079530475992,0.6673438231203468,0.0,1330.7368421052631,[[-3.8214446e-16]],0.0,0.0025001,[[4.24207569e-08]],0.0,45.272189111549345
0.8377027026299018,3.071642889399743,500.0,2.009154739348912e-16,2.8601942439276646,2.6386,8.030801497222864,0.8014240955018885,20,0,79.68845153144353,0.0,[[4.24207569e-08]],1.0,2.8601942476265205,17,0.8014240955018885,0.1685570487046526,0.0,1315.4736842105262,[[-2.00915474e-16]],0.0,0.0025001,[[4.24207567e-08]],0.0,45.17425675358832
0.8442097224072133,3.223132333615857,500.0,3.21678278096472e-16,3.010711672241774,2.7786,8.151714610090515,0.8092131596830912,20,0,85.74147834060969,0.0,[[4.24207567e-08]],1.0,3.010711759892687,18,0.8092131596830912,1.2290830327947306,0.0,1391.3684210526317,[[-3.21678278e-16]],0.0,0.0025001,[[4.24207564e-08]],0.0,47.23823741467561
0.8465387167932026,3.280604816188625,500.0,3.248190431776664e-16,3.066297108023184,2.8302,8.195286144367664,0.8120046792658411,20,0,61.3849395481017,0.0,[[4.24207564e-08]],1.0,3.0662973359485703,19,0.8120046792658411,0.56056925289856,0.0,1418.3157894736842,[[-3.24819043e-16]],0.0,0.0025001,[[4.2420756e-08]],0.0,48.01939764056955
