LossReg,Wins,Traj,DualAfter,NormDeltaOmega,Epsilon,DualBefore,NormDeltaVar,WeightMax,RewardStd,OmegaBefore,WeightMin,Omega,Eta,ReturnsStd,RewardMean,WeightMedian,TimestepsMean,ConfortViolation,DeltaOmega,Primal,WeightMean,ReturnsMean,TimestepsStd,ITERATIONS,DualReg
0.0,0.0,100,6.853036235970972,0.0003465729030140974,0.8901,7.323929607070992,0.09378816444463212,1.0,2.776602387379223,[[0.94391029]],0.011891608849150742,[[0.94425686]],2.2563572642049676,74.83760332030602,2.70268,0.02885310076189351,500.0,0,[[0.00034657]],6.853036211965231,0.011891608849150742,1351.4141414141413,0.0,10,0.0
0.0,0.0,100,6.8808254907927555,0.0016122550928994173,0.8901,7.344493007731954,0.44364889073985125,1.0,2.791698773148708,[[0.94425686]],0.011799621967333834,[[0.94586912]],2.2524106389831444,71.26428063281665,2.7214,0.028674408963140278,500.0,0,[[0.00161226]],6.880825485702554,0.011799621967333834,1362.2626262626263,0.0,11,0.0
0.0,0.0,100,6.897546144057175,0.0017314403038989346,0.8901,7.351342231696167,0.49053960264948415,1.0,2.803587297445899,[[0.94586912]],0.01168128352598465,[[0.94760056]],2.247308468860263,71.88317109522532,2.73216,0.028444116723147207,500.0,0,[[0.00173144]],6.897546361210784,0.01168128352598465,1364.040404040404,0.0,12,0.0
0.0,0.0,100,6.8872400862759395,0.0007263361822847925,0.8901,7.340880661409167,0.20761609691938787,1.0,2.797107943859157,[[0.94760056]],0.011665840808437047,[[0.94687422]],2.2466405608150204,72.65962061075777,2.72748,0.028414030127963237,500.0,0,[[-0.00072634]],6.887240128817325,0.011665840808437047,1363.3535353535353,0.0,13,0.0
0.0,0.0,100,6.887973569704797,0.000951800129876168,0.8901,7.353800393084118,0.2680440443885388,1.0,2.794335774813041,[[0.94687422]],0.01182646863172469,[[0.94592242]],2.2535642148423554,64.29072575909181,2.72576,0.02872658943106501,500.0,0,[[-0.0009518]],6.887973535444548,0.01182646863172469,1363.5555555555557,0.0,14,0.0
0.0,0.0,100,6.878648406586014,4.289882497232611e-05,0.8901,7.334463910555234,0.01198497295838763,1.0,2.7907423815178642,[[0.94592242]],0.011679709268069802,[[0.94596532]],2.2472404033962934,72.14615192813082,2.7236,0.028441050006769178,500.0,0,[[4.2898825e-05]],6.878648554793082,0.011679709268069802,1361.6767676767677,0.0,15,0.0
0.0,0.0,100,6.880188535391773,0.0004473990679541018,0.8901,7.343941406527941,0.1245546755936644,1.0,2.7898769896896884,[[0.94596532]],0.011787425733549121,[[0.94551792]],2.2518861019201526,77.52176151123842,2.72268,0.028650695935130328,500.0,0,[[-0.0004474]],6.880188529122962,0.011787425733549121,1361.1515151515152,0.0,16,0.0
0.0,0.0,100,6.8838336971160965,0.001379333669469407,0.8901,7.345703935881466,0.387156331401485,1.0,2.7968473668757827,[[0.94551792]],0.011804946503478499,[[0.94689725]],2.252639543831255,81.29805494213092,2.71992,0.02868475987364108,500.0,0,[[0.00137933]],6.883839177668649,0.011804946503478499,1360.0,0.0,17,0.0
0.0,0.0,100,6.873382150485133,0.0012046631113212802,0.8901,7.330597589309249,0.33864365876912217,1.0,2.787966139249184,[[0.94689725]],0.011698988723550071,[[0.94569259]],2.2480736328310984,74.4687021043253,2.71992,0.028478601455571618,500.0,0,[[-0.00120466]],6.873382381127211,0.011698988723550071,1360.2626262626263,0.0,18,0.0
0.0,0.0,100,6.882153328892873,0.00046831866143437484,0.8901,7.3382950089975925,0.13079947824814298,1.0,2.792717475434993,[[0.94569259]],0.011687237264313914,[[0.94616091]],2.247565842246842,68.50996827830635,2.72532,0.02845571409242305,500.0,0,[[0.00046832]],6.8821536405620325,0.011687237264313914,1362.020202020202,0.0,19,0.0
