TimestepsStd,Traj,RewardMean,TimestepsMean,DualReg,WeightMin,Wins,Epsilon,NormDeltaVar,ReturnsMean,RewardStd,WeightMax,ConfortViolation,OmegaBefore,DualAfter,DeltaOmega,DualBefore,WeightMedian,ReturnsStd,Omega,WeightMean,ITERATIONS,Eta,Primal,NormDeltaOmega,LossReg
0.0,100,2.7238,500.0,0.0,0.01273483084009727,0.0,0.8701,0.2587076265595556,1363.1515151515152,2.7879228038093165,1.0,0,[[0.94129288]],6.8358616688776985,[[0.00099278]],7.330232556531625,0.030478567022464407,72.18499853055226,[[0.94228566]],0.01273483084009727,10,2.2917832138312666,6.835858652136996,0.0009927826117839267,0.0
0.0,100,2.72084,500.0,0.0,0.012734823054237997,0.0,0.8701,0.07965563871857029,1359.6767676767677,2.788316641703377,1.0,0,[[0.94228566]],6.833333600656262,[[0.00030249]],7.3267706962756085,0.030478552115200938,67.71640630217598,[[0.94258815]],0.012734823054237997,11,2.2917828927163284,6.833330734048346,0.00030248933014631607,0.0
0.0,100,2.72984,500.0,0.0,0.01266268191632102,0.0,0.8701,0.5474470655998189,1364.5252525252524,2.8017090452793276,1.0,0,[[0.94258815]],6.85091532098534,[[0.00203895]],7.336468192793146,0.03034034802260462,72.0855753281527,[[0.9446271]],0.01266268191632102,12,2.288802970145406,6.850915245932106,0.0020389536128680996,0.0
0.0,100,2.71852,500.0,0.0,0.012660061451853749,0.0,0.8701,0.34784793622659294,1358.969696969697,2.7897471228769106,1.0,0,[[0.9446271]],6.83020102317017,[[-0.00128751]],7.317064327861024,0.03033532491929027,59.83165854758363,[[0.94333959]],0.012660061451853749,13,2.288694554049716,6.830200991725852,0.00128751091168533,0.0
0.0,100,2.69048,500.0,0.0,0.012919093988567167,0.0,0.8701,0.5493393816270782,1344.6060606060605,2.772067345790863,1.0,0,[[0.94333959]],6.795956484510134,[[-0.00209074]],7.30112107065789,0.0308308605030741,79.15996056851247,[[0.94124885]],0.012919093988567167,14,2.299353309649161,6.795953010575003,0.0020907390501347933,0.0
0.0,100,2.69496,500.0,0.0,0.012935050276341275,0.0,0.8701,0.25174403548559354,1346.2626262626263,2.7690414584111958,1.0,0,[[0.94124885]],6.798250397856903,[[-0.0009821]],7.307017122623093,0.03086131993640631,81.38728784893729,[[0.94026675]],0.012935050276341275,15,2.3000060890441256,6.7982504005336315,0.0009821026404182032,0.0
0.0,100,2.68976,500.0,0.0,0.012938674233574796,0.0,0.8701,0.04454913698057794,1345.6363636363637,2.766035274973911,1.0,0,[[0.94026675]],6.790887307002119,[[-0.00017539]],7.299762735890328,0.030868236768932227,70.28563003059062,[[0.94009136]],0.012938674233574796,16,2.300154286267384,6.7908829721639865,0.00017538840965147795,0.0
0.0,100,2.67236,500.0,0.0,0.013086273310192527,0.0,0.8701,0.45651651067945664,1336.5252525252524,2.752106834844897,1.0,0,[[0.94009136]],6.766845252159799,[[-0.00182527]],7.287815449636095,0.031149622592056524,71.9093626241885,[[0.93826609]],0.013086273310192527,17,2.3061712438561766,6.766845260208768,0.0018252723724061504,0.0
0.0,100,2.669,500.0,0.0,0.013150780173727368,0.0,0.8701,0.08048185610097391,1335.0707070707072,2.753448564981739,1.0,0,[[0.93826609]],6.766474505462634,[[0.00032552]],7.290751472372237,0.031272400153985254,69.71359192797378,[[0.9385916]],0.013150780173727368,18,2.3087894124615924,6.766474518984214,0.0003255170314501177,0.0
0.0,100,2.69324,500.0,0.0,0.012876993928756762,0.0,0.8701,0.4290878477212914,1347.6161616161617,2.7672040586845053,1.0,0,[[0.9385916]],6.793488233532528,[[0.00170857]],7.298286478408398,0.03075045829506289,81.6762155296547,[[0.94030017]],0.012876993928756762,19,2.2976288825624342,6.793484738189342,0.0017085692246147088,0.0
