RewardStd,TimestepsMean,DeltaOmega,NormDeltaOmega,ITERATIONS,Omega,TimestepsStd,Traj,Theta,OmegaBefore,Wins,RewardMean,NormDeltaVar,ReturnsStd,ConfortViolation,ReturnsMean
2.429238874627195,500.0,[[-0.00238736]],0.002387363070073034,18,0.7152523001557658,0.0,40,0.386268156759807,0.7176396632258388,0.0,2.3043,0.5720855558938442,55.27275549490906,0,1152.15
2.3782588252753314,500.0,[[-0.00261764]],0.0026176408773163073,19,0.7126346592784495,0.0,40,0.3798925215366918,0.7152523001557658,0.0,2.2636,0.3854025752342656,57.14682843343102,0,1131.8
2.409551657466592,500.0,[[-0.00045907]],0.0004590697677832045,20,0.7121755895106663,0.0,40,0.3765918531084776,0.7126346592784495,0.0,2.2991,0.20050016803173865,58.10935811037668,0,1149.55
2.4062175940675026,500.0,[[0.00167583]],0.001675829067063428,21,0.7138514185777297,0.0,40,0.37086425590385935,0.7121755895106663,0.0,2.2883,0.34959259575789225,47.05398495345532,0,1144.15
2.418666665747887,500.0,[[0.00228729]],0.002287289053409025,22,0.7161387076311387,0.0,40,0.3669224034153206,0.7138514185777297,0.0,2.3034,0.24188107173792694,53.70949636702992,0,1151.7
2.3710324417856454,500.0,[[0.00059542]],0.000595417961391953,23,0.7167341255925307,0.0,40,0.3631165516616763,0.7161387076311387,0.0,2.2746,0.23457426131717618,62.64750593599078,0,1137.3
2.3850373246555283,500.0,[[-0.00053885]],0.0005388517715907426,24,0.71619527382094,0.0,40,0.3569560109509203,0.7167341255925307,0.0,2.2764,0.38196815771510373,54.7207456089553,0,1138.2
2.365858626376479,500.0,[[-0.00240813]],0.002408125785144044,25,0.7137871480357959,0.0,40,0.3506727190387498,0.71619527382094,0.0,2.2536,0.39261331358154905,55.19202840990717,0,1126.8
2.3682703899681727,500.0,[[0.00142282]],0.0014228155906146345,26,0.7152099636264105,0.0,40,0.34826272995344304,0.7137871480357959,0.0,2.2744,0.15144063021242715,54.32458007200792,0,1137.2
2.402123625045139,500.0,[[0.00311401]],0.0031140051369138444,27,0.7183239687633244,0.0,40,0.3467176240225075,0.7152099636264105,0.0,2.2953,0.09734892738225831,55.616342022826345,0,1147.65
2.396842587655685,500.0,[[0.00336698]],0.003366979840123019,28,0.7216909486034474,0.0,40,0.34604289027062024,0.7183239687633244,0.0,2.2831,0.042575151913087694,64.7819226327839,0,1141.55
2.3791349499345347,500.0,[[0.00026236]],0.00026235644263206126,29,0.7219533050460795,0.0,40,0.34405903554618605,0.7216909486034474,0.0,2.2883,0.12540705595179524,70.56966416244306,0,1144.15
2.3346663980106452,500.0,[[0.00076625]],0.0007662492655986508,30,0.7227195543116781,0.0,40,0.3431145276450036,0.7219533050460795,0.0,2.2591,0.059826554953057,52.53472661011952,0,1129.55
2.3646979320835038,500.0,[[0.00291253]],0.0029125317675987583,31,0.7256320860792769,0.0,40,0.3427243248841924,0.7227195543116781,0.0,2.2713,0.02473897016727733,61.89165937345677,0,1135.65
2.375596969184799,500.0,[[0.00523142]],0.005231420926531838,32,0.7308635070058087,0.0,40,0.3449285464827422,0.7256320860792769,0.0,2.2852,0.1395726534991475,57.03192088646498,0,1142.6
2.3087225363824038,500.0,[[0.00597413]],0.005974126282670911,33,0.7368376332884796,0.0,40,0.3462843660790555,0.7308635070058087,0.0,2.2245,0.08564133567432286,50.85113076422195,0,1112.25
2.3956891931133306,500.0,[[0.00497537]],0.00497537199932141,34,0.741813005287801,0.0,40,0.3440584893250041,0.7368376332884796,0.0,2.2927,0.14068303990906195,63.69754704853241,0,1146.35
2.335593928747033,500.0,[[0.00691825]],0.006918251168470113,35,0.7487312564562711,0.0,40,0.3401609918904137,0.741813005287801,0.0,2.251,0.247384466745995,52.47237368368235,0,1125.5
2.3942714110977477,500.0,[[0.00804874]],0.008048738327972926,36,0.7567799947842441,0.0,40,0.3376196838210732,0.7487312564562711,0.0,2.3021,0.16204219256963626,52.25320564329044,0,1151.05
2.325734875259861,500.0,[[0.00842523]],0.008425226909891781,37,0.7652052216941359,0.0,40,0.3344901755710526,0.7567799947842441,0.0,2.2473,0.2003724431483782,49.5759770453392,0,1123.65
2.3280182043961766,500.0,[[0.00763152]],0.0076315235097730305,38,0.7728367452039089,0.0,40,0.3301051181446416,0.7652052216941359,0.0,2.2682,0.2823396028000502,58.94225988202352,0,1134.1
2.322411496699067,500.0,[[0.00734347]],0.007343472803595152,39,0.780180218007504,0.0,40,0.324559391744286,0.7728367452039089,0.0,2.2522,0.359814604815929,57.45424266318372,0,1126.1
2.36953091560334,500.0,[[0.00695217]],0.006952173214797908,40,0.7871323912223019,0.0,40,0.3190170072601679,0.780180218007504,0.0,2.2982,0.36280328768871506,58.93207954925738,0,1149.1
2.3777246918009665,500.0,[[0.00511111]],0.005111112460334466,41,0.7922435036826364,0.0,40,0.31316486438275004,0.7871323912223019,0.0,2.2977,0.3867370684222937,58.57113196789012,0,1148.85
2.378655082184048,500.0,[[0.00347679]],0.0034767864652058833,42,0.7957202901478423,0.0,40,0.3046480712523914,0.7922435036826364,0.0,2.3,0.5699476147944296,49.5519928963508,0,1150.0
2.3752363756055948,500.0,[[0.00323543]],0.0032354267667913383,43,0.7989557169146336,0.0,40,0.2954020662354305,0.7957202901478423,0.0,2.3096,0.6289874939802402,53.879123972091456,0,1154.8
2.372698832553344,500.0,[[0.00469729]],0.004697289274336103,44,0.8036530061889697,0.0,40,0.28743804990158356,0.7989557169146336,0.0,2.2995,0.550993268886165,56.859805662699905,0,1149.75
2.371189572767222,500.0,[[0.00538484]],0.005384840987995965,45,0.8090378471769657,0.0,40,0.27856574816498664,0.8036530061889697,0.0,2.3001,0.6246805495367109,56.20940757560072,0,1150.05
2.362599576737455,500.0,[[0.00539686]],0.005396860835758965,46,0.8144347080127247,0.0,40,0.26888902956007305,0.8090378471769657,0.0,2.2982,0.6954193383173735,64.56306993940112,0,1149.1
2.376976827821424,500.0,[[0.00447796]],0.004477958126190451,47,0.8189126661389151,0.0,40,0.259243701975232,0.8144347080127247,0.0,2.3046,0.7090949353563598,53.450070158981084,0,1152.3
2.402218940896104,500.0,[[0.00513947]],0.005139469171645095,48,0.8240521353105602,0.0,40,0.2513158791363697,0.8189126661389151,0.0,2.3196,0.5957627781058825,62.19131772201004,0,1159.8
2.3775499468991184,500.0,[[0.00494802]],0.004948020125036812,49,0.829000155435597,0.0,40,0.2426942753631028,0.8240521353105602,0.0,2.2875,0.6622568665621529,45.477879238152696,0,1143.75
2.4482423062270615,500.0,[[0.00467967]],0.004679671754560966,50,0.833679827190158,0.0,40,0.23367068382083053,0.829000155435597,0.0,2.3719,0.7104956256594441,64.5917757922787,0,1185.95
2.422285788258685,500.0,[[0.00452822]],0.004528223899997963,51,0.838208051090156,0.0,40,0.22476764932022641,0.833679827190158,0.0,2.3466,0.7199484114442143,50.61728953628394,0,1173.3
2.4025879193070123,500.0,[[0.00407646]],0.004076457322947369,52,0.8422845084131033,0.0,40,0.21616707949286185,0.838208051090156,0.0,2.3373,0.7149809770353421,51.79650084706495,0,1168.65
2.4196514129105458,500.0,[[0.00490753]],0.00490752776087322,53,0.8471920361739765,0.0,40,0.2089194466302751,0.8422845084131033,0.0,2.3448,0.6186683417300181,59.885223553060236,0,1172.4
2.42112270651448,500.0,[[0.00408408]],0.004084084671003074,54,0.8512761208449796,0.0,40,0.20180721707240992,0.8471920361739765,0.0,2.3478,0.6226605000316319,59.33287453006133,0,1173.9
2.4636161308125906,500.0,[[0.0055075]],0.005507503552503845,55,0.8567836243974835,0.0,40,0.19509310425540174,0.8512761208449796,0.0,2.3834,0.6030347259099926,70.60247871002831,0,1191.7
2.467649237634879,500.0,[[0.00562697]],0.0056269652456669705,56,0.8624105896431504,0.0,40,0.18888246141676832,0.8567836243974835,0.0,2.3918,0.5719762683071714,59.469235744206436,0,1195.9
