ConfortViolation,TimestepsStd,Wins,Theta,RewardMean,ITERATIONS,DeltaOmega,NormDeltaVar,Omega,ReturnsStd,RewardStd,TimestepsMean,OmegaBefore,Traj,ReturnsMean,NormDeltaOmega
0,0.0,0.0,0.01901417653090529,1.8845,10,[[-0.00445738]],0.01693908329292526,0.171334328147811,13.573411509270615,0.8782139545691585,500.0,0.1757917048823495,40,942.25,0.0044573767345384985
0,0.0,0.0,0.019019078348086804,1.8792,11,[[-0.00472908]],0.0037537377476581923,0.16660524950996222,14.887578715157142,0.8577921426546177,500.0,0.171334328147811,40,939.6,0.0047290786378487715
0,0.0,0.0,0.019024053696183003,1.878,12,[[-0.00537964]],0.003809076585937987,0.16122560518704526,19.349418595916518,0.8310932558985182,500.0,0.16660524950996222,40,939.0,0.00537964432291696
0,0.0,0.0,0.019224123607286703,1.8924,13,[[-0.00549372]],0.15236766323674544,0.15573188949152025,14.469277798148736,0.8539451036220068,500.0,0.16122560518704526,40,946.2,0.005493715695525009
0,0.0,0.0,0.019246695479443146,1.8728,14,[[-0.00564293]],0.01709241290655683,0.1500889595847777,9.75909831900468,0.7749968774130642,500.0,0.15573188949152025,40,936.4,0.005642929906742561
0,0.0,0.0,0.019308377017149762,1.8936,15,[[-0.00597408]],0.046607935248069055,0.1441148798935077,14.817557153593164,0.8078855364468409,500.0,0.1500889595847777,40,946.8,0.005974079691269979
0,0.0,0.0,0.01901005848702727,1.8907,16,[[-0.00655734]],0.22678509523990442,0.13755753952389027,14.369324966747742,0.7495688827586161,500.0,0.1441148798935077,40,945.35,0.006557340369617443
0,0.0,0.0,0.018814911052114053,1.8941,17,[[-0.00620222]],0.15024922728610335,0.13135531852997093,13.378994730546836,0.7718712263065647,500.0,0.13755753952389027,40,947.05,0.006202220993919344
0,0.0,0.0,0.018645039307623647,1.8936,18,[[-0.00598787]],0.13203841233562486,0.12536745069945482,12.702755606560334,0.745572960883105,500.0,0.13135531852997093,40,946.8,0.005987867830516108
0,0.0,0.0,0.01833198200954398,1.8932,19,[[-0.00562805]],0.24645558363225462,0.11973940102486258,11.551623262554921,0.7270445378379511,500.0,0.12536745069945482,40,946.6,0.005628049674592239
