Primal,OmegaBefore,WeightMax,Omega,DualAfter,ReturnsStd,DualBefore,DualReg,ITERATIONS,ReturnsMean,TimestepsMean,Traj,Epsilon,LossReg,WeightMin,DeltaOmega,NormDeltaVar,TimestepsStd,Eta,ConfortViolation,Wins,RewardMean,WeightMedian,RewardStd,WeightMean,NormDeltaOmega
6.238395244557635,[[0.88233214]],1.0,[[0.88413179]],6.238395243555358,77.7951180984976,7.147661269213466,0.0,10,1253.979797979798,500.0,100,0.7501,0.0,0.02162693248088767,[[0.00179965]],0.24928660886389764,0.0,2.608367315288203,0,0.0,2.50692,0.04655817404832824,2.5928964718245116,0.02162693248088767,0.0017996503228936422
6.226798579221236,[[0.88413179]],1.0,[[0.88451667]],6.226798578064093,60.46533831069528,7.122885286870003,0.0,11,1251.6767676767677,500.0,100,0.7501,0.0,0.021399864660822363,[[0.00038488]],0.0537497585613842,0.0,2.601205978604435,0,0.0,2.50304,0.04616669884645486,2.5887276331047264,0.021399864660822363,0.00038488246141321625
6.224110790639197,[[0.88451667]],1.0,[[0.88485996]],6.22411078966865,58.69029354216681,7.136706884265028,0.0,12,1247.2929292929293,500.0,100,0.7501,0.0,0.021669392362329797,[[0.00034328]],0.04807199385582095,0.0,2.6097024270372344,0,0.0,2.494,0.0466312853596295,2.5896339509668156,0.021669392362329797,0.00034328395205351914
6.243797383553469,[[0.88485996]],1.0,[[0.88587645]],6.243797382388216,68.81659763301813,7.139849662418225,0.0,13,1256.5252525252524,500.0,100,0.7501,0.0,0.021482199987042854,[[0.0010165]],0.14308083775013358,0.0,2.6038068840687307,0,0.0,2.51188,0.04630874422983705,2.5977796029686586,0.021482199987042854,0.0010164967712252837
6.24886952329263,[[0.88587645]],1.0,[[0.88664181]],6.248869522177309,74.26128531120256,7.149305894726461,0.0,14,1256.2222222222222,500.0,100,0.7501,0.0,0.021588286045841832,[[0.00076536]],0.10846516954327967,0.0,2.607151023498594,0,0.0,2.51208,0.046491604119017704,2.6014792087579712,0.021588286045841832,0.000765357152362145
6.254519002423422,[[0.88664181]],1.0,[[0.88747267]],6.2545190010686,58.81854870071205,7.137548615373536,0.0,15,1259.2121212121212,500.0,100,0.7501,0.0,0.021345269381640657,[[0.00083086]],0.11847322519608738,0.0,2.59947871091853,0,0.0,2.521,0.04607245049359204,2.604088900172189,0.021345269381640657,0.0008308575176131372
6.2757775055198,[[0.88747267]],1.0,[[0.89118364]],6.275777504032018,67.67142448378131,7.151637124796739,0.0,16,1265.4949494949494,500.0,100,0.7501,0.0,0.021397284630876475,[[0.00371097]],0.5386741706773464,0.0,2.60112440009463,0,0.0,2.53008,0.04616224599954105,2.619613558065388,0.021397284630876475,0.0037109673383151076
6.275127278717163,[[0.89118364]],1.0,[[0.89189583]],6.275127276785842,71.89682435058454,7.126876501705961,0.0,17,1269.7575757575758,500.0,100,0.7501,0.0,0.02102895722544692,[[0.0007122]],0.10521880456792232,0.0,2.5894292567031396,0,0.0,2.5374,0.04552544400269812,2.6192978524787898,0.02102895722544692,0.0007121990246660159
6.2677644878750955,[[0.89189583]],1.0,[[0.89020305]],6.267764486399078,66.11504259440103,7.1438337687307305,0.0,18,1263.2525252525252,500.0,100,0.7501,0.0,0.021350882401016347,[[-0.00169279]],0.2491040260547166,0.0,2.5996563915217425,0,0.0,2.52668,0.046082142524290715,2.614507253307973,0.021350882401016347,0.00169278675290363
6.27370012155347,[[0.89020305]],1.0,[[0.89123653]],6.273700119989444,68.2772456028771,7.144960898945401,0.0,19,1264.4444444444443,500.0,100,0.7501,0.0,0.021320621192127052,[[0.00103349]],0.15167951400523805,0.0,2.598698204705128,0,0.0,2.53024,0.046029884296324194,2.618725938772517,0.021320621192127052,0.0010334862411226498
