OmegaBefore,ReturnsMean,TimestepsStd,Omega,DeltaOmega,RewardStd,Traj,ReturnsStd,NormDeltaOmega,Wins,TimestepsMean,NormDeltaVar,RewardMean,ITERATIONS,ConfortViolation
6.693130200826634,486.022096756573,25.002620342676085,6.587103315374577,-0.10602688545205652,0.9579502048803578,250,193.7898901697065,0.10602688545205652,0.0,64.324,0.21748219516259587,7.555843802570936,13,0
6.587103315374577,497.482861104092,25.303577928822634,6.480032266419715,-0.10707104895486186,0.9601843487975764,250,198.04917541378808,0.10707104895486186,0.0,65.212,0.23096571685650547,7.628701176226645,14,0
6.480032266419715,537.8719192523564,25.242737094063315,6.371966271355467,-0.10806599506424863,0.9367511182571062,250,199.1209842851601,0.10806599506424863,0.0,69.832,0.243096245619713,7.702370249346378,15,0
6.371966271355467,614.0103817256496,32.535037359744955,6.262785539462685,-0.10918073189278132,0.8862669107744854,250,259.5813105498035,0.10918073189278132,1.2,78.812,0.24815008113586012,7.790823500553844,16,0
6.262785539462685,635.8078784983834,33.44331586430987,6.152493280970428,-0.11029225849225721,0.8840011708510669,250,268.96329785854346,0.11029225849225721,0.8,80.932,0.25919858645915594,7.856075205090487,17,0
6.152493280970428,730.0744195020475,33.71435990790868,6.041183507879582,-0.11130977309084589,0.8345128128513722,250,273.61212365021413,0.11130977309084589,1.6,91.956,0.2673966265298391,7.9393886152295385,18,0
6.041183507879582,781.4520441276727,36.61344802118478,5.928709828118461,-0.11247367976112077,0.818903458185713,250,299.2203874764604,0.11247367976112077,1.2,97.632,0.26932665548468304,8.004056499177244,19,0
5.928709828118461,939.9720416373178,43.519919301395774,5.815299372499809,-0.11341045561865215,0.7335420350449334,250,360.14396230755295,0.11341045561865215,8.0,116.068,0.2742970991950568,8.098459882459576,20,0
5.815299372499809,1138.6498846094892,46.84923239499234,5.700696148971162,-0.11460322352864694,0.6356104455634903,250,391.7983528448134,0.11460322352864694,19.2,139.132,0.276746070470508,8.183953976148473,21,0
5.700696148971162,1355.9545035186782,40.20527328597581,5.584893276487238,-0.11580287248392462,0.5184517403736464,250,341.76064916823844,0.11580287248392462,38.4,163.6,0.28016918876727986,8.288230461605613,22,0
