Traj,ReturnsMean,NormDeltaVar,RewardStd,Wins,NormDeltaOmega,RewardMean,ConfortViolation,ITERATIONS,ReturnsStd,OmegaBefore,TimestepsStd,TimestepsMean,DeltaOmega,Omega
250,541.9433351675756,0.25441334803927096,0.9197389004114747,0.4,0.10703553654261455,7.636016107303948,0,14,221.40668011470675,6.587873548463413,28.275275701573626,70.972,-0.10703553654261455,6.480838011920799
250,640.8775176637856,0.26188991472140727,0.8574678172749219,1.2,0.10774124271306196,7.729611125817559,0,15,264.85513522646676,6.480838011920799,33.50677925435389,82.912,-0.10774124271306196,6.373096769207737
250,682.2302500170991,0.2643517225112312,0.8410522663883395,1.6,0.10875016130801907,7.8019103656866005,0,16,294.9318996450843,6.373096769207737,37.01122618882006,87.444,-0.10875016130801907,6.264346607899718
250,743.5180878207991,0.28028349439888084,0.8181192259444114,1.2,0.10993634454862633,7.866584364772092,0,17,278.8923943781025,6.264346607899718,34.71497866915663,94.516,-0.10993634454862633,6.1544102633510915
250,912.0289368395379,0.27621720400202254,0.7280406795784351,7.6,0.11083883797197203,7.959478957267487,0,18,341.1645280231569,6.1544102633510915,41.895428676646816,114.584,-0.11083883797197203,6.0435714253791195
250,1060.2492822181684,0.28058579410465434,0.6619685074493837,14.000000000000002,0.11207601368731002,8.03779363054681,0,19,363.8899791130018,6.0435714253791195,44.27734788805671,131.908,-0.11207601368731002,5.9314954116918095
250,1277.4518813077702,0.2889056484932428,0.5500613406487799,31.2,0.11332807896900476,8.137258142710081,0,20,338.496921121429,5.9314954116918095,40.49626965536456,156.988,-0.11332807896900476,5.818167332722805
250,1420.494315725945,0.2859032192651299,0.467711473805627,46.800000000000004,0.11453497853470918,8.221024120459436,0,21,299.5826724214039,5.818167332722805,35.64568776163535,172.788,-0.11453497853470918,5.7036323541880956
250,1456.1399228792682,0.2469741619626612,0.45449769809127216,50.0,0.11570467923067351,8.287460290484384,0,22,278.1337967178155,5.7036323541880956,32.78402635430859,175.704,-0.11570467923067351,5.587927674957422
250,1414.2987512133589,0.22950102657095373,0.47139998904078606,48.8,0.11593736118816356,8.346506014903445,0,23,325.6436363049609,5.587927674957422,38.276145260462165,169.448,-0.11593736118816356,5.4719903137692585
250,1482.4819644413067,0.22755314609300653,0.4281314038698881,57.199999999999996,0.11664455552769759,8.419748537196755,0,24,307.30542560083336,5.4719903137692585,35.760799991051655,176.072,-0.11664455552769759,5.355345758241561
250,1513.9633903090673,0.23045737533095095,0.4178474133173167,59.199999999999996,0.11706462874149981,8.487864360810615,0,25,303.5383566963227,5.355345758241561,35.049002496504805,178.368,-0.11706462874149981,5.238281129500061
250,1585.189465247524,0.23074493999831633,0.35276682031707335,70.8,0.11742471647456032,8.559523236179635,0,26,265.6584173696369,5.238281129500061,30.389826982067536,185.196,-0.11742471647456032,5.120856413025501
250,1664.4571796628409,0.22373404887975304,0.2760205494525041,82.39999999999999,0.11754918727414942,8.629674918926362,0,27,196.42901801377462,5.120856413025501,22.182439541222692,192.876,-0.11754918727414942,5.003307225751351
250,1690.3772877435442,0.21610956775760812,0.2512703218335204,85.6,0.11807446809868072,8.694819701168365,0,28,171.6546147023624,5.003307225751351,19.22982724831401,194.412,-0.11807446809868072,4.885232757652671
250,1724.3626567973872,0.2065861447155781,0.20182955832846414,91.2,0.1190881592811257,8.759156863608315,0,29,139.30278012527546,4.885232757652671,15.46833876019012,196.864,-0.1190881592811257,4.766144598371545
250,1742.9436538775378,0.19707621223300947,0.18363505014033255,92.80000000000001,0.120571533114048,8.824316277554923,0,30,127.09146625939012,4.766144598371545,13.95169323057241,197.516,-0.120571533114048,4.645573065257497
250,1764.15928492466,0.18392159101700797,0.1495511046493016,95.6,0.12075824927696566,8.883335103753726,0,31,120.42616910243856,4.645573065257497,13.275599270842728,198.592,-0.12075824927696566,4.524814815980531
250,1784.114654261095,0.16366057253312952,0.13839992111638877,96.39999999999999,0.12127622368276025,8.939345897690625,0,32,84.0734321362984,4.524814815980531,9.102724866763799,199.58,-0.12127622368276025,4.403538592297771
250,1805.4298271270218,0.17013952563271673,0.11090696597978986,98.0,0.12225175521495579,8.998713201917049,0,33,32.47705659607481,4.403538592297771,3.2912878938190753,200.632,-0.12225175521495579,4.281286837082815
250,1810.698010030583,0.15242893308540867,0.10360465935937573,98.4,0.1236202737635983,9.051679714210072,0,34,73.17476310780974,4.281286837082815,7.872890193569322,200.04,-0.1236202737635983,4.157666563319217
250,1817.492110359706,0.14096800354965403,0.1436515381981516,96.0,0.12479415317177889,9.10439472598887,0,35,81.71463191825227,4.157666563319217,8.691698107964864,199.628,-0.12479415317177889,4.032872410147438
250,1832.2195905515464,0.14007264110813705,0.12487906875366654,97.2,0.12582534417212177,9.15597060921657,0,36,73.31370581959582,4.032872410147438,7.8058603625737515,200.112,-0.12582534417212177,3.9070470659753163
