Traj,DualReg,WeightMin,NormDeltaOmega,DualBefore,ReturnsMean,DualAfter,LossReg,NormDeltaVar,ReturnsStd,Eta,Wins,WeightMedian,Primal,ConfortViolation,RewardMean,DeltaOmega,ITERATIONS,Omega,Epsilon,TimestepsMean,WeightMax,OmegaBefore,RewardStd,WeightMean,TimestepsStd
100,0.0,0.012423397077169305,0.002093176304665656,7.306139191974394,1346.5656565656566,6.813646038425222,0.0,0.549094923508342,71.91467469640764,2.2788523497010083,0.0,0.029880804982860432,6.813643099081116,0,2.69272,[[-0.00209318]],10,[[0.94114857]],0.8801,500.0,1.0,[[0.94324175]],2.7646299936157828,0.012423397077169305,0.0
100,0.0,0.012395625126243828,0.0012695248171022966,7.323020982825691,1351.5353535353536,6.833763668126132,0.0,0.33079660290864155,62.944470177173734,2.277690733017583,0.0,0.029827355259284462,6.833760768488178,0,2.7048,[[0.00126952]],11,[[0.9424181]],0.8801,500.0,1.0,[[0.94114857]],2.775935330658839,0.012395625126243828,0.0
100,0.0,0.01238652192369246,0.0006722785106462181,7.326641224636127,1353.939393939394,6.8391285149917,0.0,0.17795657935481302,71.0972897495657,2.2773096653200535,0.0,0.02980983008245597,6.839125740893145,0,2.70696,[[0.00067228]],12,[[0.94309038]],0.8801,500.0,1.0,[[0.9424181]],2.7802531464598683,0.01238652192369246,0.0
100,0.0,0.012194107837580173,0.002675509700530432,7.347713922016797,1365.5353535353536,6.875392911049953,0.0,0.728389758593579,66.89526158746082,2.269219055920111,0.0,0.029438794712480565,6.875392896103238,0,2.73212,[[0.00267551]],13,[[0.94576589]],0.8801,500.0,1.0,[[0.94309038]],2.8016138751798043,0.012194107837580173,0.0
100,0.0,0.01215663049536071,0.00020225470938539658,7.342138384231722,1366.4040404040404,6.871982942397134,0.0,0.056231836222053744,74.84609382895619,2.2676351237254395,0.0,0.029366390741616146,6.871982939305923,0,2.7314,[[-0.00020225]],14,[[0.94556363]],0.8801,500.0,1.0,[[0.94576589]],2.7996024789244633,0.01215663049536071,0.0
100,0.0,0.01203298036688584,0.00026176026595359225,7.326547835941126,1363.8989898989898,6.865196955049973,0.0,0.07281349518849822,70.46246869028357,2.262390188220594,0.0,0.02912718850529135,6.865197318965741,0,2.72956,[[0.00026176]],15,[[0.94582539]],0.8801,500.0,1.0,[[0.94556363]],2.797767361021999,0.01203298036688584,0.0
100,0.0,0.012156633681508443,0.0015050085595008644,7.3125047134138645,1355.7575757575758,6.841876611677416,0.0,0.414204234866979,79.21242261888821,2.267635258497234,0.0,0.02936639689895764,6.841877543173206,0,2.71288,[[-0.00150501]],16,[[0.94432038]],0.8801,500.0,1.0,[[0.94582539]],2.7846080703754343,0.012156633681508443,0.0
100,0.0,0.01231982411813819,0.0010766530803087981,7.312469558660895,1350.8686868686868,6.830078764408876,0.0,0.2898969199041872,78.43476945775927,2.274512973682659,0.0,0.02968134699800237,6.830078704385002,0,2.70196,[[-0.00107665]],17,[[0.94324373]],0.8801,500.0,1.0,[[0.94432038]],2.7773894502572016,0.01231982411813819,0.0
100,0.0,0.012304116889370713,0.00016079607052621459,7.328665116892234,1357.8383838383838,6.846414318059781,0.0,0.04296536508069693,70.73563059570375,2.2738531576030083,0.0,0.029651069216552837,6.846414091134596,0,2.71428,[[0.0001608]],18,[[0.94340453]],0.8801,500.0,1.0,[[0.94324373]],2.7834015307892606,0.012304116889370713,0.0
100,0.0,0.012040477330571925,0.0025260955412687025,7.334506893552209,1367.3333333333333,6.872241866718775,0.0,0.6905009669060505,71.93431347100947,2.2627090284862637,0.0,0.029141705399115366,6.872241933910182,0,2.7344,[[0.0025261]],19,[[0.94593062]],0.8801,500.0,1.0,[[0.94340453]],2.800431509607046,0.012040477330571925,0.0
