WeightMin,NormDeltaOmega,DualAfter,RewardMean,LossReg,WeightMean,ConfortViolation,RewardStd,OmegaBefore,DualBefore,ReturnsStd,Traj,ReturnsMean,TimestepsMean,DualReg,DeltaOmega,Eta,Primal,Omega,WeightMedian,Wins,Epsilon,NormDeltaVar,TimestepsStd,ITERATIONS,WeightMax
0.0,0.0,8.002003549263028,3.02012,0.0,0.0,0,3.009862984522717,[[0.99999999]],8.45061866476931,65.91599406551907,100,1509.6969696969697,500.0,0.0,[[0.]],0.0044981331446079555,7.999999999999739,[[0.99999999]],0.0,0.0,1.8201,0.0,0.0,10,1.0
0.0,0.0,8.0019232408305,2.97676,0.0,0.0,0,2.990588554515649,[[0.99999999]],8.42668415498266,85.71501722058267,100,1487.1919191919192,500.0,0.0,[[0.]],0.004564710379429082,8.000000000000584,[[0.99999999]],0.0,0.0,1.8201,0.0,0.0,11,1.0
0.0,0.0,8.001969582128064,3.00012,0.0,0.0,0,3.0026388370231945,[[0.99999999]],8.440425047818918,92.89529022191455,100,1500.020202020202,500.0,0.0,[[0.]],0.00452606119141647,8.000000000000382,[[0.99999999]],0.0,0.0,1.8201,0.0,0.0,12,1.0
0.0,0.0,8.001873981922778,2.95644,0.0,0.0,0,2.9753424217054407,[[0.99999999]],8.412279167257086,77.26124691902204,100,1479.1515151515152,500.0,0.0,[[0.]],0.004606592483965479,8.000000000000261,[[0.99999999]],0.0,0.0,1.8201,0.0,0.0,13,1.0
0.0,0.0,8.001942788775345,2.987,0.0,0.0,0,2.9953549038469545,[[0.99999999]],8.432461130128218,81.42840690118061,100,1494.20202020202,500.0,0.0,[[0.]],0.004548328122770015,8.000000000000563,[[0.99999999]],0.0,0.0,1.8201,0.0,0.0,14,1.0
0.0,0.0,8.001969849037861,3.00248,0.0,0.0,0,3.0012253913360123,[[0.99999999]],8.440513857667344,77.32815599654195,100,1500.8484848484848,500.0,0.0,[[0.]],0.0045258436840979865,8.000000000000409,[[0.99999999]],0.0,0.0,1.8201,0.0,0.0,15,1.0
0.0,0.0,8.001961054697693,2.99892,0.0,0.0,0,2.99831933482743,[[0.99999999]],8.43789628857318,80.37616388993104,100,1499.5555555555557,500.0,0.0,[[0.]],0.004533130842301233,8.000000000000384,[[0.99999999]],0.0,0.0,1.8201,0.0,0.0,16,1.0
0.0,0.0,8.002003028824634,3.01688,0.0,0.0,0,3.011716298989664,[[0.99999999]],8.450449062638208,69.12500192575467,100,1508.5656565656566,500.0,0.0,[[0.]],0.004498562130365612,7.999999999999947,[[0.99999999]],0.0,0.0,1.8201,0.0,0.0,17,1.0
0.0,0.0,8.001976483207125,3.0082,0.0,0.0,0,3.0014017991598525,[[0.99999999]],8.442505159354477,78.16752407632228,100,1504.5858585858587,500.0,0.0,[[0.]],0.0045203650220571835,7.999999999999514,[[0.99999999]],0.0,0.0,1.8201,0.0,0.0,18,1.0
0.0,0.0,8.001910929175686,2.97872,0.0,0.0,0,2.9820575382778918,[[0.99999999]],8.423092746727109,80.8685178033898,100,1487.3333333333333,500.0,0.0,[[0.]],0.004575144370522541,7.999999999999898,[[0.99999999]],0.0,0.0,1.8201,0.0,0.0,19,1.0
