WeightMedian,WeightMax,ReturnsMean,Epsilon,DeltaOmega,DualReg,Omega,LossReg,Wins,TimestepsMean,DualBefore,Primal,Eta,Traj,WeightMin,ConfortViolation,ReturnsStd,DualAfter,WeightMean,RewardStd,RewardMean,NormDeltaVar,NormDeltaOmega,ITERATIONS,OmegaBefore,TimestepsStd
1.0,1.0,4990.0,0.1201,[[0.]],0.0,[[2.01517119e-09]],0.0,0.0,500.0,10.118098088311145,9.999999999997792,0.007124969680789249,100,0.0,0,0.0,10.000841444650334,0.0,0.4467661580737735,9.98,0.0,0.0,10,[[2.01517119e-09]],0.0
1.0,1.0,4990.0,0.1201,[[0.]],0.0,[[2.01517119e-09]],0.0,0.0,500.0,10.118098088311145,9.999999999997792,0.007124969680789249,100,0.0,0,0.0,10.000841444650334,0.0,0.4467661580737735,9.98,0.0,0.0,11,[[2.01517119e-09]],0.0
1.0,1.0,4990.0,0.1201,[[0.]],0.0,[[2.01517119e-09]],0.0,0.0,500.0,10.118098088311145,9.999999999997792,0.007124969680789249,100,0.0,0,0.0,10.000841444650334,0.0,0.4467661580737735,9.98,0.0,0.0,12,[[2.01517119e-09]],0.0
1.0,1.0,4990.0,0.1201,[[0.]],0.0,[[2.01517119e-09]],0.0,0.0,500.0,10.118098088311145,9.999999999997792,0.007124969680789249,100,0.0,0,0.0,10.000841444650334,0.0,0.4467661580737735,9.98,0.0,0.0,13,[[2.01517119e-09]],0.0
1.0,1.0,4990.0,0.1201,[[0.]],0.0,[[2.01517119e-09]],0.0,0.0,500.0,10.118098088311145,9.999999999997792,0.007124969680789249,100,0.0,0,0.0,10.000841444650334,0.0,0.4467661580737735,9.98,0.0,0.0,14,[[2.01517119e-09]],0.0
1.0,1.0,4990.0,0.1201,[[0.]],0.0,[[2.01517119e-09]],0.0,0.0,500.0,10.118098088311145,9.999999999997792,0.007124969680789249,100,0.0,0,0.0,10.000841444650334,0.0,0.4467661580737735,9.98,0.0,0.0,15,[[2.01517119e-09]],0.0
1.0,1.0,4990.0,0.1201,[[0.]],0.0,[[2.01517119e-09]],0.0,0.0,500.0,10.118098088311145,9.999999999997792,0.007124969680789249,100,0.0,0,0.0,10.000841444650334,0.0,0.4467661580737735,9.98,0.0,0.0,16,[[2.01517119e-09]],0.0
1.0,1.0,4990.0,0.1201,[[0.]],0.0,[[2.01517119e-09]],0.0,0.0,500.0,10.118098088311145,9.999999999997792,0.007124969680789249,100,0.0,0,0.0,10.000841444650334,0.0,0.4467661580737735,9.98,0.0,0.0,17,[[2.01517119e-09]],0.0
1.0,1.0,4990.0,0.1201,[[0.]],0.0,[[2.01517119e-09]],0.0,0.0,500.0,10.118098088311145,9.999999999997792,0.007124969680789249,100,0.0,0,0.0,10.000841444650334,0.0,0.4467661580737735,9.98,0.0,0.0,18,[[2.01517119e-09]],0.0
1.0,1.0,4990.0,0.1201,[[0.]],0.0,[[2.01517119e-09]],0.0,0.0,500.0,10.118098088311145,9.999999999997792,0.007124969680789249,100,0.0,0,0.0,10.000841444650334,0.0,0.4467661580737735,9.98,0.0,0.0,19,[[2.01517119e-09]],0.0
