Omega,NormDeltaOmega,TimestepsMean,TimestepsStd,WeightMedian,NormDeltaVar,Wins,ITERATIONS,Traj,ConfortViolation,Eta,ReturnsMean,LossReg,Epsilon,Primal,ReturnsStd,DualReg,RewardMean,WeightMean,RewardStd,DualAfter,WeightMax,DeltaOmega,OmegaBefore,WeightMin,DualBefore
[[0.96898546]],0.0005491333173924806,500.0,0.0,0.017262412658860006,0.2588232171840019,0.0,10,100,0,1.9708201259767573,1416.949494949495,0.0,1.0101,7.2751900757941925,82.60082589864864,0.0,2.83288,0.006257154344300879,2.880762209138408,7.275190524866694,1.0,[[0.00054913]],[[0.96843633]],0.006257154344300879,7.52472517170988
[[0.96754765]],0.001437813137881494,500.0,0.0,0.017676745227330187,0.6685966814476885,0.0,11,100,0,1.9824035260647788,1406.1818181818182,0.0,1.0101,7.251733672523212,76.98463228992802,0.0,2.81368,0.006445444574321657,2.8659945669173905,7.2517334376729945,1.0,[[-0.00143781]],[[0.96898546]],0.006445444574321657,7.512458594428565
[[0.96894388]],0.0013962276807112373,500.0,0.0,0.017336669894933626,0.6488415837751731,0.0,12,100,0,1.9729063855374647,1416.8686868686868,0.0,1.0101,7.2773416540639,74.50857810619524,0.0,2.8328,0.0062908176978007475,2.881701608425133,7.277340532705937,1.0,[[0.00139623]],[[0.96754765]],0.0062908176978007475,7.529228011336128
[[0.96970273]],0.0007588542138652343,500.0,0.0,0.017022289548044214,0.3645898179037985,0.0,13,100,0,1.9640424850582738,1421.2121212121212,0.0,1.0101,7.287599000825331,73.2676389941923,0.0,2.84372,0.006148546572251258,2.88833110318052,7.287598983436339,1.0,[[0.00075885]],[[0.96894388]],0.006148546572251258,7.530856676319585
[[0.97017187]],0.0004691366489307791,500.0,0.0,0.016813990756427335,0.2298466674867825,0.0,14,100,0,1.9581235904229657,1427.939393939394,0.0,1.0101,7.296381479906053,65.33670649638154,0.0,2.85284,0.006054642504870656,2.893016407558035,7.296381071232798,1.0,[[0.00046914]],[[0.96970273]],0.006054642504870656,7.5343931091934095
[[0.96907973]],0.0010921347736047027,500.0,0.0,0.017223545119307144,0.5298031769659772,0.0,15,100,0,1.969726326206789,1417.79797979798,0.0,1.0101,7.276717763636161,80.6416164207358,0.0,2.83444,0.006239548773138483,2.8816574894320803,7.276720377343049,1.0,[[-0.00109213]],[[0.97017187]],0.006239548773138483,7.525218807895122
[[0.96697585]],0.00210388380818205,500.0,0.0,0.01768782313677402,0.9714378381618758,0.0,16,100,0,1.9827113348583467,1402.5050505050506,0.0,1.0101,7.236768349137673,79.83383927686502,0.0,2.8054,0.006450494121263801,2.857700271197104,7.236766220415597,1.0,[[-0.00210388]],[[0.96907973]],0.006450494121263801,7.496957425458877
[[0.96854233]],0.0015664809731741336,500.0,0.0,0.01720782811075471,0.7173568144332236,0.0,17,100,0,1.9692836667440123,1417.030303030303,0.0,1.0101,7.271292708976973,68.73363232828224,0.0,2.83416,0.006232432362720794,2.876278340912089,7.271292700668994,1.0,[[0.00156648]],[[0.96697585]],0.006232432362720794,7.519758067034054
[[0.96956297]],0.001020642418743667,500.0,0.0,0.01724059238653302,0.48623128350463674,0.0,18,100,0,1.970206219824354,1416.6666666666667,0.0,1.0101,7.278919015192229,74.6125344900594,0.0,2.8326,0.00624726933902228,2.88560171194848,7.278924046188758,1.0,[[0.00102064]],[[0.96854233]],0.00624726933902228,7.52717212398939
[[0.96950283]],6.014084339389658e-05,500.0,0.0,0.017173573896890684,0.0290855958057179,0.0,19,100,0,1.9683182070146978,1417.010101010101,0.0,1.0101,7.279627496387695,77.11063741806379,0.0,2.83516,0.0062169282327247145,2.885139125657548,7.279625994836508,1.0,[[-6.01408434e-05]],[[0.96956297]],0.0062169282327247145,7.526281420432823
