RewardMean,Omega,ITERATIONS,ReturnsMean,TimestepsMean,ReturnsStd,Wins,RewardStd,TimestepsStd,OmegaBefore,ConfortViolation,Theta,DeltaOmega,NormDeltaOmega,NormDeltaVar,Traj
2.806,0.9672481816737729,54,1403.0,500.0,75.85117006348682,0.0,2.8544638726037506,0.0,0.9670410046958708,0,0.06085037422992945,0.00020717697790206824,0.00020717697790206824,0.33687187399234375,20
2.697,0.9672059700955847,55,1348.5,500.0,54.84113419687817,0.0,2.7851375190464114,0.0,0.9672481816737729,0,0.059526742543329174,-4.221157818817822e-05,4.221157818817822e-05,0.3342957847556107,20
2.7682,0.9669654831258885,56,1384.1,500.0,71.32594198466641,0.0,2.820473144704626,0.0,0.9672059700955847,0,0.05814507962140011,-0.00024048696969625194,0.00024048696969625194,0.35646346306357657,20
2.779,0.9670762724590167,57,1389.5,500.0,58.233581377071424,0.0,2.8320944546395346,0.0,0.9669654831258885,0,0.05697562216515451,0.00011078933312824724,0.00011078933312824724,0.3079806906745617,20
2.7552,0.9671746423828649,58,1377.6,500.0,71.95720950676173,0.0,2.8155413262816795,0.0,0.9670762724590167,0,0.05588569240543187,9.836992384815169e-05,9.836992384815169e-05,0.2924315879917785,20
2.7378,0.9674479918336001,59,1368.9,500.0,71.96797899065945,0.0,2.800437672936143,0.0,0.9671746423828649,0,0.054905988867937704,0.0002733494507352052,0.0002733494507352052,0.2674732289993713,20
2.7796,0.9676058691176115,60,1389.8,500.0,69.35099134114812,0.0,2.8334120491026358,0.0,0.9674479918336001,0,0.05420614299100752,0.00015787728401139844,0.00015787728401139844,0.19383454307700276,20
2.7688,0.9679851930133863,61,1384.4,500.0,95.91371122003359,0.0,2.8342453245970076,0.0,0.9676058691176115,0,0.0535633406267307,0.00037932389577477466,0.00037932389577477466,0.180125187701222,20
2.7962,0.968027823539682,62,1398.1,500.0,62.62739017394866,0.0,2.8457803077539205,0.0,0.9679851930133863,0,0.052710608153113236,4.2630526295717175e-05,4.2630526295717175e-05,0.24212498615160882,20
2.7716,0.9684923321794301,63,1385.8,500.0,53.4299541455914,0.0,2.836729356142387,0.0,0.968027823539682,0,0.05205560612805697,0.00046450863974811796,0.00046450863974811796,0.18850632047058014,20
2.7506,0.9685332229847242,64,1375.3,500.0,62.78303911089364,0.0,2.81613203525687,0.0,0.9684923321794301,0,0.05117595113572542,4.089080529412481e-05,4.089080529412481e-05,0.256718696914902,20
2.74,0.9681541312260885,65,1370.0,500.0,60.14316253739904,0.0,2.8067775116670717,0.0,0.9685332229847242,0,0.05020146734870095,-0.0003790917586357079,0.0003790917586357079,0.2893139667594937,20
2.7748,0.9679911908621632,66,1387.4,500.0,89.26835945619254,0.0,2.8417749664602225,0.0,0.9681541312260885,0,0.049207801369982804,-0.0001629403639252791,0.0001629403639252791,0.3005388592570384,20
2.7802,0.9679641785789171,67,1390.1,500.0,70.99429554548732,0.0,2.84261991127903,0.0,0.9679911908621632,0,0.04792283872247726,-2.7012283246086177e-05,2.7012283246086177e-05,0.3972933914098675,20
2.7938,0.9678009441040655,68,1396.9,500.0,69.72080033964039,0.0,2.847574680320079,0.0,0.9679641785789171,0,0.04694427312447075,-0.00016323447485167009,0.00016323447485167009,0.30940378124041956,20
2.7966,0.9679620412754305,69,1398.3,500.0,96.46610803800472,0.0,2.85451019266003,0.0,0.9678009441040655,0,0.04622726065012158,0.0001610971713650322,0.0001610971713650322,0.23062265434894869,20
2.8246,0.9681388724748853,70,1412.3,500.0,79.2017045271123,0.0,2.873958044230987,0.0,0.9679620412754305,0,0.04560273521683672,0.00017683119945477443,0.00017683119945477443,0.20366520580252256,20
2.7664,0.9686201658435604,71,1383.2,500.0,72.68397347421232,0.0,2.848127637589299,0.0,0.9681388724748853,0,0.045157210528962675,0.0004812933686750842,0.0004812933686750842,0.14692046419547466,20
2.8006,0.9688226296791063,72,1400.3,500.0,81.25090768723756,0.0,2.8626281001904528,0.0,0.9686201658435604,0,0.04481222205296707,0.0002024638355458963,0.0002024638355458963,0.11471845077191745,20
