Traj,ReturnsMean,TimestepsMean,RewardMean,Theta,TimestepsStd,ConfortViolation,Wins,NormDeltaVar,ITERATIONS,RewardStd,DeltaOmega,Omega,NormDeltaOmega,ReturnsStd,OmegaBefore
20,1225.6,500.0,2.4512,0.1739456568137777,0.0,0,0.0,0.41280376441267563,14,2.5281650579026675,0.0007984253336558167,0.8550586625157652,0.0007984253336558167,69.28376433191256,0.8542602371821094
20,1221.9,500.0,2.4438,0.16885979939658846,0.0,0,0.0,0.5116011946242764,15,2.5248052518956787,-0.0005813999336209408,0.8544772625821443,0.0005813999336209408,44.45885738522752,0.8550586625157652
20,1198.3,500.0,2.3966,0.16569623587966698,0.0,0,0.0,0.32445202028571174,16,2.490925217665115,0.0021138315174442646,0.8565910940995886,0.0021138315174442646,57.28970239056928,0.8544772625821443
20,1190.0,500.0,2.38,0.16404619453919556,0.0,0,0.0,0.17119912627744682,17,2.461787968123981,0.0030097559882761304,0.8596008500878647,0.0030097559882761304,62.953951424831146,0.8565910940995886
20,1210.4,500.0,2.4208,0.1627130142142056,0.0,0,0.0,0.13933704594800744,18,2.5213741015565305,0.004289029521740928,0.8638898796096056,0.004289029521740928,71.70383532280543,0.8596008500878647
20,1204.0,500.0,2.408,0.16197123454493537,0.0,0,0.0,0.07792550450886182,19,2.5062992638549773,0.0041794301658404365,0.868069309775446,0.0041794301658404365,63.324560795950255,0.8638898796096056
20,1217.9,500.0,2.4358,0.16073496049015454,0.0,0,0.0,0.13051548908192245,20,2.526198400759528,0.0035588205736317713,0.8716281303490778,0.0035588205736317713,62.22692343351068,0.868069309775446
20,1221.8,500.0,2.4436,0.16011682802684968,0.0,0,0.0,0.06556173868623816,21,2.5236519252860528,0.004486895098105181,0.876115025447183,0.004486895098105181,75.87595139436475,0.8716281303490778
20,1213.9,500.0,2.4278,0.15933744584170711,0.0,0,0.0,0.08295720635451431,22,2.5180522552163214,0.004010035509274923,0.8801250609564579,0.004010035509274923,64.81813017975757,0.876115025447183
20,1211.8,500.0,2.4236,0.15861235188640105,0.0,0,0.0,0.07747460432089781,23,2.5067435130064664,0.004591456357549428,0.8847165173140074,0.004591456357549428,53.75834818890923,0.8801250609564579
20,1200.8,500.0,2.4016,0.15683433923600862,0.0,0,0.0,0.19120091306185572,24,2.484897873152939,0.002558929541755073,0.8872754468557624,0.002558929541755073,64.72526554599834,0.8847165173140074
20,1235.2,500.0,2.4704,0.15479353843414864,0.0,0,0.0,0.22164777050308615,25,2.5454908838964636,0.002024042104334156,0.8892994889600966,0.002024042104334156,78.34896297973573,0.8872754468557624
20,1230.7,500.0,2.4614,0.15335536958481405,0.0,0,0.0,0.1576346705815901,26,2.5509821716350745,0.0018133999377926147,0.8911128888978892,0.0018133999377926147,54.29650080806313,0.8892994889600966
20,1219.2,500.0,2.4384,0.15197965743412425,0.0,0,0.0,0.1519258056418309,27,2.5376771741102138,0.0014509371144829641,0.8925638260123722,0.0014509371144829641,56.112030795543305,0.8911128888978892
20,1216.0,500.0,2.432,0.15139679103129994,0.0,0,0.0,0.06470890872064672,28,2.525188309809785,0.0022375870606275994,0.8948014130729998,0.0022375870606275994,54.93632677928149,0.8925638260123722
20,1230.4,500.0,2.4608,0.15272811022088004,0.0,0,0.0,0.1475029360022866,29,2.5450468286457912,0.003632690231772373,0.8984341033047721,0.003632690231772373,78.22940623576278,0.8948014130729998
20,1225.8,500.0,2.4516,0.1542822133938075,0.0,0,0.0,0.1708589243829337,30,2.5358346633800872,0.00387220231169616,0.9023063056164683,0.00387220231169616,45.37796822247554,0.8984341033047721
20,1214.1,500.0,2.4282,0.15590106814919563,0.0,0,0.0,0.17648800751633686,31,2.5098694707095826,0.0035963088226355078,0.9059026144391038,0.0035963088226355078,59.961571026783474,0.9023063056164683
20,1260.6,500.0,2.5212,0.1581575045858841,0.0,0,0.0,0.2435220329388308,32,2.6045250161977713,0.004129783670975273,0.9100323981100791,0.004129783670975273,71.30245437570855,0.9059026144391038
