ITERATIONS,ReturnsStd,NormDeltaOmega,ConfortViolation,DeltaOmega,Traj,ReturnsMean,NormDeltaVar,RewardMean,RewardStd,TimestepsStd,TimestepsMean,OmegaBefore,Wins,Omega
426,10.318536611545811,0.016621533435635882,0,-0.016621533435635882,250,-95.07916106544359,0.005185599184136412,-17.845187887658327,8.581753848109726,0.4694848240358787,5.328,25.242726359790197,0.0,25.22610482635456
427,10.732435531626535,0.028773921353430154,0,-0.028773921353430154,250,-96.49343327393628,0.0052805375963870275,-17.869154309988197,8.522533979242882,0.4898979485566356,5.4,25.22610482635456,0.0,25.19733090500113
428,10.604617388765497,0.03777178084991917,0,-0.03777178084991917,250,-95.61278161825284,0.005363764204195168,-17.798358454626364,8.516134434101655,0.48333839077813795,5.372,25.19733090500113,0.0,25.15955912415121
429,10.259090086474075,0.037810466620246785,0,-0.037810466620246785,250,-94.30141866878618,0.005448678578778003,-17.6859374847686,8.501165122263656,0.47093099282166595,5.332,25.15955912415121,0.0,25.121748657530965
430,10.521991212213772,0.039674876502203915,0,-0.039674876502203915,250,-94.8139981270013,0.005531481847787487,-17.63653238969518,8.434691617512843,0.4843800161030593,5.376,25.121748657530965,0.0,25.08207378102876
431,10.511484714678746,0.03469224686336858,0,-0.03469224686336858,250,-94.6795304445317,0.005613214927804733,-17.559260097279616,8.38252999954987,0.4881966816765555,5.392,25.08207378102876,0.0,25.047381534165392
432,10.46109621108445,0.03261230833281559,0,-0.03261230833281559,250,-94.28920708933612,0.005688032765892758,-17.499852837664463,8.358128550799165,0.4872945721019269,5.388,25.047381534165392,0.0,25.014769225832577
433,10.130794268225634,0.04135618328274049,0,-0.04135618328274049,250,-92.85449765116968,0.005751754343430241,-17.401517550818905,8.360928104539417,0.47233886141201636,5.336,25.014769225832577,0.0,24.973413042549836
434,10.346696288747628,0.025234200810050567,0,-0.025234200810050567,250,-93.40242669923708,0.005829475861186516,-17.335268503941556,8.27923951535245,0.4872945721019269,5.388,24.973413042549836,0.0,24.948178841739786
435,10.4096335156261,0.011360806493971864,0,-0.011360806493971864,250,-93.42905958304027,0.005900134950534035,-17.301677700563012,8.252171074732933,0.4898979485566356,5.4,24.948178841739786,0.0,24.936818035245814
436,10.33579718353235,0.015039271984299774,0,-0.015039271984299774,250,-93.07110645155791,0.005965185686677619,-17.27377625307311,8.249929826817866,0.4872945721019269,5.388,24.936818035245814,0.0,24.921778763261514
437,10.10085349792381,0.005966358551091844,0,-0.005966358551091844,250,-92.37798625348817,0.006038902071642437,-17.221846803409427,8.248237804246378,0.48114862568649197,5.364,24.921778763261514,0.0,24.915812404710422
